source	dest	fft	coef	power	capacity
456	3214	2.01000201	0.15	4.0	100000.0
457	3183	1.26000126	0.15	4.0	100000.0
457	3185	0.75000075	0.15	4.0	100000.0
3406	3403	1.575000984	0.15	4.0	500.0
3017	471	0.63000063	0.15	4.0	100000.0
2229	2221	2.894998553	0.15	4.0	350.0
3214	456	2.01000201	0.15	4.0	100000.0
3215	477	1.11000111	0.15	4.0	100000.0
3016	3086	0.413793389	0.15	4.0	1000.0
2885	3186	0.727272727	0.15	4.0	1650.0
3183	457	1.26000126	0.15	4.0	100000.0
3118	476	0.69000069	0.15	4.0	100000.0
1775	469	0.59999952	0.15	4.0	100000.0
3411	3451	0.8	0.15	4.0	2775.0
6951	2481	0.565714609	0.15	4.0	1850.0
3185	457	0.75000075	0.15	4.0	100000.0
3183	3194	1.89000189	0.15	4.0	400.0
1775	3138	0.843750527	0.15	4.0	2000.0
1775	3141	0.806897108	0.15	4.0	500.0
3086	3016	0.413793389	0.15	4.0	1000.0
3217	3044	0.570731986	0.15	4.0	8850.0
1778	450	1.391998886	0.15	4.0	100000.0
6949	6952	0.164999918	0.15	4.0	2700.0
3185	3188	0.310345042	0.15	4.0	500.0
3185	3227	0.475862397	0.15	4.0	500.0
3120	3122	0.620690083	0.15	4.0	500.0
3186	2885	0.727272727	0.15	4.0	1650.0
3186	3194	0.563636364	0.15	4.0	2850.0
3219	3227	0.272727273	0.15	4.0	1950.0
2598	1778	0.82	0.15	4.0	550.0
1778	2598	0.82	0.15	4.0	550.0
3121	3122	0.272727273	0.15	4.0	2850.0
42	2212	0.629999685	0.15	4.0	100000.0
469	1775	0.59999952	0.15	4.0	100000.0
3122	3121	0.272727273	0.15	4.0	2850.0
3122	3120	0.620690083	0.15	4.0	500.0
3188	3185	0.310345042	0.15	4.0	500.0
6953	6948	0.17999991	0.15	4.0	2700.0
3058	3059	0.99000099	0.15	4.0	450.0
3222	3226	1.29000129	0.15	4.0	400.0
2273	2275	0.45	0.15	4.0	650.0
3059	3058	0.99000099	0.15	4.0	450.0
3190	3236	0.82	0.15	4.0	400.0
471	3017	0.63000063	0.15	4.0	100000.0
3191	3238	0.93000093	0.15	4.0	400.0
3191	3192	0.6000006	0.15	4.0	400.0
3453	3454	0.25	0.15	4.0	2775.0
2275	2273	0.45	0.15	4.0	650.0
2212	42	0.629999685	0.15	4.0	100000.0
3192	3191	0.6000006	0.15	4.0	400.0
2211	2215	1.327660139	0.15	4.0	1150.0
3032	477	0.69000069	0.15	4.0	100000.0
3226	3222	1.29000129	0.15	4.0	400.0
3194	3183	1.89000189	0.15	4.0	400.0
6143	3215	0.218181818	0.15	4.0	1950.0
3194	3186	0.563636364	0.15	4.0	2850.0
442	2870	0.84	0.15	4.0	100000.0
3227	3185	0.475862397	0.15	4.0	500.0
6966	16	2.534998733	0.15	4.0	100000.0
2870	442	0.84	0.15	4.0	100000.0
603	6520	2.369998815	0.15	4.0	100000.0
6505	2840	0.054545455	0.15	4.0	825.0
476	3118	0.69000069	0.15	4.0	100000.0
443	3430	0.58	0.15	4.0	100000.0
3428	444	1.48	0.15	4.0	100000.0
477	3032	0.69000069	0.15	4.0	100000.0
444	3428	1.48	0.15	4.0	100000.0
477	3215	1.11000111	0.15	4.0	100000.0
52	2355	1.709999145	0.15	4.0	100000.0
2215	2211	1.327660139	0.15	4.0	1150.0
2477	2483	0.773333333	0.15	4.0	7575.0
6013	6019	0.610344617	0.15	4.0	2900.0
6013	6017	0.35217376	0.15	4.0	1050.0
3430	443	0.58	0.15	4.0	100000.0
16	6966	2.534998733	0.15	4.0	100000.0
6014	6012	1.779309731	0.15	4.0	2900.0
6509	2844	1.383333333	0.15	4.0	1850.0
2999	7301	0.096774131	0.15	4.0	1750.0
3036	3212	0.482927065	0.15	4.0	8850.0
55	2385	1.169999415	0.15	4.0	100000.0
2385	55	1.169999415	0.15	4.0	100000.0
450	1778	1.391998886	0.15	4.0	100000.0
6508	6505	0.1375	0.15	4.0	1300.0
3431	3434	0.066666667	0.15	4.0	1850.0
3138	1775	0.843750527	0.15	4.0	2000.0
2482	2467	0.536170441	0.15	4.0	7200.0
2478	6949	0.308571605	0.15	4.0	1850.0
2221	2229	2.894998553	0.15	4.0	350.0
3236	3190	0.82	0.15	4.0	400.0
2840	6505	0.054545455	0.15	4.0	825.0
2355	52	1.709999145	0.15	4.0	100000.0
3434	3431	0.066666667	0.15	4.0	1850.0
7301	2999	0.096774131	0.15	4.0	1750.0
3141	1775	0.806897108	0.15	4.0	500.0
3238	3191	0.93000093	0.15	4.0	400.0
2482	6954	0.71612857	0.15	4.0	1750.0
3403	3406	1.575000984	0.15	4.0	500.0
6520	603	2.369998815	0.15	4.0	100000.0
