source 	 dest 	 fft 	 coef 	 power 	 capacity
6014	6012	1.779309731	0.15	4.0	2900.0
3043	3285	0.395122144	0.15	4.0	8850.0
3284	3290	0.541463679	0.15	4.0	8850.0
2662	2658	1.012500633	0.15	4.0	500.0
3047	3132	0.483870656	0.15	4.0	2625.0
6573	2872	0.672727273	0.15	4.0	1650.0
2658	2662	1.012500633	0.15	4.0	500.0
3281	3282	0.709090909	0.15	4.0	1950.0
3409	3401	0.25	0.15	4.0	2775.0
3245	3022	0.363636364	0.15	4.0	2850.0
3134	3127	0.272727273	0.15	4.0	1900.0
3145	2752	0.257142857	0.15	4.0	7650.0
3022	3245	0.363636364	0.15	4.0	2850.0
6505	4483	1.761702877	0.15	4.0	1150.0
2230	7346	3.016666667	0.15	4.0	1850.0
6011	6013	1.758620083	0.15	4.0	2900.0
3127	3134	0.272727273	0.15	4.0	1900.0
3144	3142	0.229787332	0.15	4.0	7200.0
3289	3286	0.327272727	0.15	4.0	1950.0
2872	6573	0.672727273	0.15	4.0	1650.0
7346	2230	3.016666667	0.15	4.0	1850.0
6195	6193	0.228571429	0.15	4.0	2450.0
3415	3416	0.308571605	0.15	4.0	1850.0
6194	6196	0.228571429	0.15	4.0	2450.0
3420	6996	0.233333333	0.15	4.0	1850.0
3132	3047	0.483870656	0.15	4.0	2625.0
4483	6505	1.761702877	0.15	4.0	1150.0
