source	dest	fft	coef	power	capacity
4714	4664	0.357142857	0.15	4.0	2550.0
5205	5191	0.418181818	0.15	4.0	1900.0
159	4850	1.54	0.15	4.0	100000.0
3470	3469	0.666666667	0.15	4.0	1850.0
159	4851	1.2	0.15	4.0	100000.0
3470	3468	0.6	0.15	4.0	400.0
6876	5379	0.45	0.15	4.0	1300.0
1205	7445	1.124999438	0.15	4.0	350.0
6940	6939	0.817021624	0.15	4.0	4800.0
5205	5204	0.818181818	0.15	4.0	1900.0
5696	5697	0.587234292	0.15	4.0	1150.0
7339	1141	1.334999333	0.15	4.0	350.0
3961	3962	0.328571429	0.15	4.0	7650.0
1206	6466	0.05999997	0.15	4.0	350.0
1206	6467	0.044999978	0.15	4.0	350.0
6748	2283	0.75	0.15	4.0	1850.0
5827	5823	1.876596543	0.15	4.0	1150.0
4714	4713	0.428571429	0.15	4.0	7650.0
3339	3338	0.215999827	0.15	4.0	2700.0
4714	4715	0.328571429	0.15	4.0	2550.0
3339	3341	0.143999885	0.15	4.0	2700.0
3339	3340	0.15	0.15	4.0	1600.0
3473	421	0.75000075	0.15	4.0	100000.0
849	3023	0.44	0.15	4.0	100000.0
5465	7360	0.944681253	0.15	4.0	575.0
3830	3862	0.541935134	0.15	4.0	1750.0
3830	3863	0.072727273	0.15	4.0	2850.0
3601	3598	1.17000117	0.15	4.0	400.0
2785	385	0.57000057	0.15	4.0	100000.0
4452	4448	0.99000099	0.15	4.0	400.0
3601	3602	0.54000054	0.15	4.0	400.0
5074	5068	0.145454545	0.15	4.0	1950.0
5565	5563	0.313043342	0.15	4.0	1050.0
1011	4895	1.43999928	0.15	4.0	100000.0
3732	3649	0.490909091	0.15	4.0	950.0
5696	5647	0.765957773	0.15	4.0	1150.0
3637	358	0.48000048	0.15	4.0	100000.0
1044	4653	0.7	0.15	4.0	100000.0
4354	4175	0.436363636	0.15	4.0	2000.0
5565	5568	0.1375	0.15	4.0	650.0
4877	5452	0.272727273	0.15	4.0	825.0
849	3050	0.4	0.15	4.0	100000.0
6678	6677	1.72	0.15	4.0	550.0
4092	4091	0.509090909	0.15	4.0	1950.0
3470	3491	0.566666667	0.15	4.0	1850.0
159	4947	1.26	0.15	4.0	100000.0
4092	4087	0.181818182	0.15	4.0	2850.0
5799	988	2.69999865	0.15	4.0	100000.0
650	5462	0.89999955	0.15	4.0	100000.0
5629	7154	3.029998485	0.15	4.0	350.0
5799	991	2.054998973	0.15	4.0	100000.0
650	5461	1.25999937	0.15	4.0	100000.0
6121	6660	0.418181818	0.15	4.0	825.0
4190	4354	0.174193436	0.15	4.0	1750.0
1044	4676	0.74	0.15	4.0	100000.0
4583	4582	2.114998943	0.15	4.0	350.0
3768	386	0.54000054	0.15	4.0	100000.0
6187	6185	0.164999918	0.15	4.0	2700.0
2619	2608	2.137501336	0.15	4.0	500.0
4125	3958	0.15483861	0.15	4.0	1750.0
5467	5465	0.957447216	0.15	4.0	575.0
195	1740	1.1	0.15	4.0	100000.0
4816	1115	2.948937425	0.15	4.0	1150.0
5498	7223	1.425	0.15	4.0	650.0
225	4525	1.42	0.15	4.0	100000.0
225	4530	0.88	0.15	4.0	100000.0
2619	2617	0.704999648	0.15	4.0	350.0
976	7189	2.849998575	0.15	4.0	100000.0
2619	2618	1.85625116	0.15	4.0	500.0
976	7188	1.349999325	0.15	4.0	100000.0
976	7187	2.75999862	0.15	4.0	100000.0
4220	7296	0.145454545	0.15	4.0	1650.0
1076	5532	2.45999877	0.15	4.0	350.0
4092	4140	0.254545455	0.15	4.0	2850.0
4844	5913	0.05	0.15	4.0	2775.0
5275	880	0.64	0.15	4.0	100000.0
7143	638	1.844999078	0.15	4.0	100000.0
4976	4977	0.248276033	0.15	4.0	1750.0
849	3172	0.2	0.15	4.0	100000.0
6123	4769	0.2	0.15	4.0	1850.0
5336	5337	0.937500586	0.15	4.0	500.0
5597	6485	1.124999438	0.15	4.0	350.0
6123	4766	0.466666667	0.15	4.0	1850.0
5336	5338	0.454545455	0.15	4.0	825.0
4223	4212	0.34	0.15	4.0	550.0
4352	6287	0.146666667	0.15	4.0	7575.0
4223	4214	0.56	0.15	4.0	550.0
4810	7049	1.953192321	0.15	4.0	1150.0
4615	5437	1.889999055	0.15	4.0	350.0
7071	7072	0.629999685	0.15	4.0	350.0
4549	5911	0.037500023	0.15	4.0	500.0
5400	6857	1.349999325	0.15	4.0	350.0
5827	5837	0.676596033	0.15	4.0	1150.0
6815	927	0.52	0.15	4.0	100000.0
4810	7046	2.804998598	0.15	4.0	200.0
1042	6817	0.76	0.15	4.0	100000.0
357	3679	0.575999539	0.15	4.0	100000.0
3863	3835	0.254545455	0.15	4.0	2850.0
7040	5251	0.15	0.15	4.0	1900.0
4550	4925	0.668571811	0.15	4.0	2775.0
3732	3760	0.848276447	0.15	4.0	1000.0
5336	5345	0.309090909	0.15	4.0	825.0
5597	6493	1.424999288	0.15	4.0	350.0
3863	3830	0.072727273	0.15	4.0	2850.0
3863	3829	0.054545455	0.15	4.0	1950.0
291	4164	1.08000108	0.15	4.0	100000.0
357	3700	0.743999405	0.15	4.0	100000.0
6449	6452	0.583333333	0.15	4.0	1850.0
4845	4844	0.5	0.15	4.0	1850.0
357	3698	0.575999539	0.15	4.0	100000.0
878	7007	0.44	0.15	4.0	100000.0
1207	5688	1.50638362	0.15	4.0	575.0
4843	6999	0.3	0.15	4.0	650.0
3375	412	0.239999808	0.15	4.0	100000.0
7235	7082	1.334999333	0.15	4.0	350.0
4616	4617	1.114285714	0.15	4.0	7650.0
3765	3617	0.181818182	0.15	4.0	1900.0
3539	235	0.69000069	0.15	4.0	100000.0
456	3038	0.87000087	0.15	4.0	100000.0
5729	5734	1.106250691	0.15	4.0	500.0
5729	5730	0.375000234	0.15	4.0	500.0
3965	218	1.02000102	0.15	4.0	100000.0
5468	4589	2.85	0.15	4.0	650.0
7235	7096	0.509999745	0.15	4.0	350.0
5729	5728	0.618750387	0.15	4.0	500.0
5468	4588	1.07999946	0.15	4.0	350.0
4686	181	0.8	0.15	4.0	100000.0
3801	362	1.28	0.15	4.0	100000.0
6553	932	0.98	0.15	4.0	100000.0
3801	361	0.72	0.15	4.0	100000.0
7436	2685	0.471428571	0.15	4.0	2450.0
5369	5335	0.981818182	0.15	4.0	1650.0
5729	5777	0.862500539	0.15	4.0	500.0
6842	6839	0.817241098	0.15	4.0	2900.0
946	4588	2.729998635	0.15	4.0	100000.0
946	4589	1.424999288	0.15	4.0	100000.0
3372	3367	0.310345042	0.15	4.0	500.0
3241	3292	0.160975688	0.15	4.0	8850.0
3372	3365	0.248276033	0.15	4.0	500.0
5238	5239	0.21000021	0.15	4.0	1675.0
7071	7228	1.349999325	0.15	4.0	350.0
6121	6969	0.2	0.15	4.0	1850.0
390	3543	0.959999232	0.15	4.0	100000.0
5598	5601	1.072340882	0.15	4.0	575.0
5238	5157	0.84	0.15	4.0	7950.0
4522	243	1.86	0.15	4.0	100000.0
3012	3014	0.310345042	0.15	4.0	500.0
7038	7409	0.154285802	0.15	4.0	1850.0
3012	3008	0.37241405	0.15	4.0	500.0
4485	4493	1.41702188	0.15	4.0	575.0
5374	209	1.48	0.15	4.0	100000.0
6226	183	1.83000183	0.15	4.0	100000.0
5598	5599	2.084998958	0.15	4.0	350.0
6679	5987	0.056250035	0.15	4.0	500.0
5531	7057	0.764999618	0.15	4.0	350.0
5832	967	1.694999153	0.15	4.0	100000.0
7333	7334	4.409997795	0.15	4.0	350.0
4125	4119	0.327272727	0.15	4.0	2000.0
3765	3666	1.057142857	0.15	4.0	475.0
4483	6505	1.761702877	0.15	4.0	1150.0
4844	5954	0.822857613	0.15	4.0	2775.0
3670	353	0.671999462	0.15	4.0	100000.0
5107	5101	0.257143004	0.15	4.0	2775.0
291	4275	0.63000063	0.15	4.0	100000.0
4844	5957	0.290909091	0.15	4.0	1650.0
1015	1191	1.07999946	0.15	4.0	100000.0
6220	6211	0.583783468	0.15	4.0	2500.0
3503	3504	0.671428571	0.15	4.0	7650.0
4745	6817	0.545454545	0.15	4.0	1650.0
192	4999	1.751998598	0.15	4.0	100000.0
3765	3764	0.191999846	0.15	4.0	1800.0
5500	5501	2.35	0.15	4.0	925.0
5500	5503	0.449999775	0.15	4.0	350.0
6717	931	0.23999988	0.15	4.0	100000.0
3827	7295	0.454545455	0.15	4.0	1900.0
4387	4376	0.127272727	0.15	4.0	1900.0
1015	1219	1.37999931	0.15	4.0	100000.0
2652	2640	0.433333333	0.15	4.0	1850.0
6127	1071	1.14	0.15	4.0	100000.0
5500	5526	1.0875	0.15	4.0	650.0
6122	6121	0.4	0.15	4.0	1850.0
4850	159	1.54	0.15	4.0	100000.0
7237	5184	0.1	0.15	4.0	1850.0
2652	2607	0.356250223	0.15	4.0	500.0
7237	5182	0.825000516	0.15	4.0	2000.0
456	3188	0.45000045	0.15	4.0	100000.0
6128	110	0.84	0.15	4.0	100000.0
5767	660	0.671999462	0.15	4.0	100000.0
5009	5008	0.566666667	0.15	4.0	1850.0
3634	3633	0.522580308	0.15	4.0	1750.0
4780	4639	1.2	0.15	4.0	1650.0
5500	5512	1.636363636	0.15	4.0	825.0
2652	2613	0.783333333	0.15	4.0	1850.0
5734	889	0.4	0.15	4.0	100000.0
6482	6483	0.2625	0.15	4.0	1300.0
2782	3768	0.232257915	0.15	4.0	1750.0
4747	4746	0.833333333	0.15	4.0	1850.0
3896	3889	0.310345042	0.15	4.0	500.0
6646	6334	1.163636364	0.15	4.0	1650.0
5369	5366	0.883333333	0.15	4.0	1850.0
3896	3895	1.17000117	0.15	4.0	400.0
5860	5866	0.740425847	0.15	4.0	4800.0
3535	4427	0.327272727	0.15	4.0	1950.0
3834	348	0.93000093	0.15	4.0	100000.0
3535	4424	0.145454545	0.15	4.0	1950.0
423	3462	0.64	0.15	4.0	100000.0
423	3463	0.84	0.15	4.0	100000.0
324	4156	0.6	0.15	4.0	100000.0
1140	7336	1.049999475	0.15	4.0	350.0
6684	1119	3.524998238	0.15	4.0	350.0
2783	2782	0.251612741	0.15	4.0	1750.0
7041	4559	0.26808522	0.15	4.0	1150.0
1140	7341	1.162500727	0.15	4.0	500.0
5860	5861	0.236363636	0.15	4.0	1650.0
423	3459	0.24	0.15	4.0	100000.0
7041	4558	1.59574536	0.15	4.0	1150.0
3340	2828	0.743999405	0.15	4.0	2700.0
5826	7144	1.085106845	0.15	4.0	575.0
7138	5820	2.09999895	0.15	4.0	350.0
5990	6986	0.116128957	0.15	4.0	450.0
4260	265	1.41000141	0.15	4.0	100000.0
6253	6125	0.066666667	0.15	4.0	1850.0
4260	266	0.791999366	0.15	4.0	100000.0
4878	4849	0.766666667	0.15	4.0	1850.0
3274	3273	0.475862397	0.15	4.0	500.0
6390	156	0.78	0.15	4.0	100000.0
5826	7143	0.83999958	0.15	4.0	350.0
5369	5370	0.145454545	0.15	4.0	1650.0
4224	3506	0.572726752	0.15	4.0	475.0
4878	4879	2.45	0.15	4.0	1850.0
423	3480	0.68	0.15	4.0	100000.0
324	4178	0.48	0.15	4.0	100000.0
5407	150	0.8	0.15	4.0	100000.0
7110	1057	0.53999973	0.15	4.0	100000.0
7138	5827	0.734999633	0.15	4.0	350.0
5762	5770	0.675000422	0.15	4.0	500.0
7171	5814	2.144998928	0.15	4.0	350.0
1179	1177	0.181818182	0.15	4.0	1650.0
3274	3365	0.600000414	0.15	4.0	500.0
4027	4028	0.671428571	0.15	4.0	7650.0
5762	5761	1.331250832	0.15	4.0	500.0
6717	1057	0.389999805	0.15	4.0	100000.0
946	4815	1.91999904	0.15	4.0	100000.0
880	5275	0.64	0.15	4.0	100000.0
