source 	 destination 	 fft 	 flow 	 cost(min)
4900	4849	1.583333333	821.1134300000006	1.5925503273658128
2213	2000035	1.08	87.0	1.0800000000000929
7348	1153	3.037501898	69.385095	3.037670861364427
4062	4061	0.618181818	3748.138140488535	2.0224674026437306
4645	4646	2.249998875	511.00000000000006	3.783503122247494
5815	5800	2.129998935	30.0	2.1300161808056215
6083	6087	1.0625	0.0	1.0625
2939	2929	2.34	9.0	2.340000089957461
3729	2000315	1.52	26.621449999999992	1.5200000000000011
5285	5358	0.254545455	958.7795	0.25889852637181404
6988	5418	0.944999528	276.3243449999999	1.0000710742285255
3728	3729	0.525000328	9.21	0.5250003370658668
5570	5566	0.2125	23.615805	0.21250005554024398
6256	6245	0.416666667	2900.492970000005	0.7943087399173808
4784	4632	1.531915545	1068.6948299999992	1.7032913684181576
2943	2918	0.975000609	138.99999999999986	0.9758741339815568
4630	4777	2.174998913	205.0	2.21339558378341
5543	5542	2.048275156	4851.000000000002	2.3687837694893763
2923	2000530	1.583998733	364.3542250000011	1.5839987330418739
4610	5344	0.973333333	5530.9324411715825	1.0075374005819984
6188	2672	0.166666667	499.24096000000077	0.16679925186002542
5650	5645	1.25999937	11.0	1.2599995543996747
2633	7438	0.528571429	4082.8007579296136	1.1400248130105497
4525	2000225	1.42	119.31502499999996	1.4200000000004316
3872	3771	0.289655372	713.9183442610707	0.47024258460250146
3817	3816	0.69000069	395.47621902820964	0.7517414857507219
1000767	1383	0.809999595	7.0	0.809999595
5166	5160	0.366666667	2161.2036599999883	0.46910406858182113
1301	1299	4.49999775	2.0	4.4999977567499965
3726	3631	0.206896694	126.95334	0.20702567962651622
5519	5513	0.909090909	222.99999999999997	0.9098188601422684
4826	7052	1.212766474	43.847415	1.2127726253868865
7154	2000990	1.964999018	2.0	1.964999018
6593	6595	0.22285727	374.0000000000001	0.22286829941616965
6026	6021	0.822857613	58.048509999999915	0.8228577326446666
4557	4630	1.91999904	244.0	1.9880257391976621
6596	2000156	0.64	2.0	0.64
5433	4906	1.67999916	4.0	1.6799991642990064
4126	4127	0.066666667	3824.5746956812013	0.1193031740184996
2734	6089	0.063829814	1209.8718449999938	0.25150244420010526
2393	2000537	0.7	123.0	0.7000000000002402
3648	3632	0.455172728	1522.538835488537	0.8220670647918592
3156	3020	0.206896694	1935.839186307679	0.6427315072757599
5842	2000886	3.134998433	2.0	3.134998433
4087	4093	0.690909091	3975.837794915878	1.0834160469609146
3341	3051	0.167999866	3008.119328612529	0.20682610992209305
1000145	5173	0.98	285.0	0.9800000000096983
1000911	1661	0.39000039	53.0	0.3900003900000046
2927	2998	0.243750152	2020.0450540972852	0.28180065436703705
3039	3038	0.563636364	3873.1504830494773	0.8520184687956773
5361	7006	0.533333333	604.0	0.547876895789255
1000749	1302	1.769999115	39.0	1.7699991150000063
2790	2793	0.727272727	749.5007148211911	0.7296536114622987
3772	3773	0.537931405	707.1283442610708	0.8607296196565983
1562	1516	0.135483784	748.0	0.13616210111254
2029	2032	0.243750152	822.2057549999997	0.5110989193346679
1952	1947	0.589654969	4958.425307258504	0.6903711788844996
2668	2669	0.843750527	500.6589850000024	0.9709816490079328
3783	3843	0.234146456	10193.357504959922	0.5470711426872099
7205	5725	0.509999745	283.7002950000002	0.5430236320455549
4637	6372	0.497872552	1202.1648649999993	0.5870539354997346
4538	6387	0.41999979	709.1393200000024	1.4816817092045729
1688	6715	0.41999979	312.0	0.4597817824817052
3541	3540	0.654545455	1815.68435	0.7364254990923784
6194	6196	11.42857145	5167.597412523684	45.357766611270684
6813	6814	0.187500117	108.0	0.18756133904140251
