source 	 destination 	 flow 	 cost(min)
192	193	0	1.666667
474	373	0	14.333333
139	695	1112.756074	2.049888192
171	106	20.115	14.33333304
130	131	4.947	1.666667
482	492	0	13
81	324	92.727	0
601	603	0	0.666667
258	888	739.2597538	3.880578434
708	44	0	0
189	210	553.3915427	4.339944805
347	348	0	0.333333
497	490	0	3.666667
58	125	384.33	0
409	410	101.2915427	8.666694498
861	46	321.313304	0
551	64	595.695	0
466	459	13.71	3.333333179
33	347	0	0
16	770	0	0
36	494	515.7968738	0
296	101	0	7.333333
609	927	843.039	1.015224593
483	77	0	0
399	630	25.76312618	13.00000009
229	231	322.1822462	7.668010943
568	10	0	0
818	1	0	0
397	395	359.622	4.443801138
763	759	300.5131577	11.33790681
767	368	0	9.666667
597	93	106.668	0
837	836	115.377	2.000540178
863	567	0	13
68	602	501.291	0
99	100	0	0.333333
843	844	504.546	10.3442276
769	767	0	6.333333
173	217	0	9
248	247	0	1.666667
809	707	0	1
955	952	388.497	5.173600369
456	24	519.981	0
217	216	0	0.666667
108	90	0	0
42	830	289.7116647	0
603	714	109.911	11.00244674
885	935	0	0.666667
162	198	0	8.333333
42	912	0	0
359	362	150.324	0.333592431
364	335	0	1
330	321	0	4
45	936	0	0
312	94	0	0
345	32	0	0
745	778	0	4.666667
84	308	0	0
161	163	457.356	11.34140058
32	352	0	0
967	517	0	3.666667
457	59	729.8905427	0
368	311	620.916	15.37041267
887	883	0	5.666667
356	953	892.944	12.47037619
218	210	0	1
440	441	0	6.666667
780	786	482.1925405	5.671650994
689	684	435.9780553	8.951423622
705	799	543.864	24.17812111
878	278	0	10.666667
332	227	66.213	16.00000927
639	22	136.335	0
678	580	249.6327538	15.08878252
157	184	314.7123458	3.000478789
352	32	473.973	0
373	366	453.3299415	20.93262222
266	269	0	6.666667
155	156	0	0.666667
124	125	0	9.666667
16	769	0	0
934	45	453.633	0
489	495	0	5.333333
609	68	1248.060246	0
376	883	0	9
472	17	0	0
40	801	0	0
261	788	0	8.666667
45	934	400.365	0
738	79	348.186	0
917	796	0	18.666667
701	41	0	0
781	2	0	0
305	298	0	18.333333
313	455	1081.443	3.066758053
749	304	0	13.333333
796	43	1491.146865	0
297	299	0	14.666667
421	426	0	4.333333
502	501	426.666	2.092849861
393	869	27.393	2.000000034
783	564	252.099	0.687444268
91	187	0	0
362	877	0	11.333333
291	909	0	1
465	135	61.056	8.000001809
81	322	56.133	0
84	309	388.656	0
205	204	687.8818563	2.727628726
62	266	0	0
111	114	692.661	0.669163662
653	678	249.6327538	2.347143613
