<NUMBER OF ZONES> 98											
<NUMBER OF NODES> 975											
<FIRST THRU NODE> 99											
<NUMBER OF LINKS> 2184											
<END OF METADATA> 											
											
											
~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B 	Power 	Speed limit 	Toll 	Type 	; 
 	1	817	999999	0	0.0001	0	4	0	0	0	; 
 	1	818	999999	0	0.0001	0	4	0	0	0	; 
 	1	821	999999	0	0.0001	0	4	0	0	0	; 
 	1	822	999999	0	0.0001	0	4	0	0	0	; 
 	2	751	999999	0	0.0001	0	4	0	0	0	; 
 	2	753	999999	0	0.0001	0	4	0	0	0	; 
 	2	754	999999	0	0.0001	0	4	0	0	0	; 
 	2	781	999999	0	0.0001	0	4	0	0	0	; 
 	3	756	999999	0	0.0001	0	4	0	0	0	; 
 	3	757	999999	0	0.0001	0	4	0	0	0	; 
 	3	758	999999	0	0.0001	0	4	0	0	0	; 
 	3	759	999999	0	0.0001	0	4	0	0	0	; 
 	4	719	999999	0	0.0001	0	4	0	0	0	; 
 	4	724	999999	0	0.0001	0	4	0	0	0	; 
 	4	725	999999	0	0.0001	0	4	0	0	0	; 
 	4	761	999999	0	0.0001	0	4	0	0	0	; 
 	5	752	999999	0	0.0001	0	4	0	0	0	; 
 	5	753	999999	0	0.0001	0	4	0	0	0	; 
 	5	892	999999	0	0.0001	0	4	0	0	0	; 
 	5	893	999999	0	0.0001	0	4	0	0	0	; 
 	6	679	999999	0	0.0001	0	4	0	0	0	; 
 	6	707	999999	0	0.0001	0	4	0	0	0	; 
 	6	762	999999	0	0.0001	0	4	0	0	0	; 
 	6	809	999999	0	0.0001	0	4	0	0	0	; 
 	7	222	999999	0	0.0001	0	4	0	0	0	; 
 	7	223	999999	0	0.0001	0	4	0	0	0	; 
 	7	232	999999	0	0.0001	0	4	0	0	0	; 
 	7	241	999999	0	0.0001	0	4	0	0	0	; 
 	8	899	999999	0	0.0001	0	4	0	0	0	; 
 	8	900	999999	0	0.0001	0	4	0	0	0	; 
 	8	901	999999	0	0.0001	0	4	0	0	0	; 
 	8	904	999999	0	0.0001	0	4	0	0	0	; 
 	9	588	999999	0	0.0001	0	4	0	0	0	; 
 	9	651	999999	0	0.0001	0	4	0	0	0	; 
 	9	659	999999	0	0.0001	0	4	0	0	0	; 
 	9	902	999999	0	0.0001	0	4	0	0	0	; 
 	10	564	999999	0	0.0001	0	4	0	0	0	; 
 	10	566	999999	0	0.0001	0	4	0	0	0	; 
 	10	568	999999	0	0.0001	0	4	0	0	0	; 
 	10	570	999999	0	0.0001	0	4	0	0	0	; 
 	11	258	999999	0	0.0001	0	4	0	0	0	; 
 	11	784	999999	0	0.0001	0	4	0	0	0	; 
 	11	788	999999	0	0.0001	0	4	0	0	0	; 
 	11	792	999999	0	0.0001	0	4	0	0	0	; 
 	12	433	999999	0	0.0001	0	4	0	0	0	; 
 	12	437	999999	0	0.0001	0	4	0	0	0	; 
 	12	443	999999	0	0.0001	0	4	0	0	0	; 
 	12	444	999999	0	0.0001	0	4	0	0	0	; 
 	13	649	999999	0	0.0001	0	4	0	0	0	; 
 	13	684	999999	0	0.0001	0	4	0	0	0	; 
