source	dest	fft	coef	power	capacity
171	106	14.333333	1.0	4.0	2800.0
130	131	1.666667	1.0	4.0	2400.0
482	492	13.0	1.0	4.0	600.0
601	603	0.666667	1.0	4.0	900.0
347	348	0.333333	1.0	4.0	2400.0
497	490	3.666667	1.0	4.0	900.0
58	125	0.0	0.0	4.0	999999.0
551	64	0.0	0.0	4.0	999999.0
466	459	3.333333	1.0	4.0	900.0
33	347	0.0	0.0	4.0	999999.0
36	494	0.0	0.0	4.0	999999.0
609	927	1.0	1.0	4.0	2400.0
483	77	0.0	0.0	4.0	999999.0
399	630	13.0	1.0	4.0	2800.0
597	93	0.0	0.0	4.0	999999.0
837	836	2.0	1.0	4.0	900.0
68	602	0.0	0.0	4.0	999999.0
173	217	9.0	1.0	4.0	2800.0
955	952	5.0	1.0	4.0	900.0
217	216	0.666667	1.0	4.0	2800.0
108	90	0.0	0.0	4.0	999999.0
603	714	11.0	1.0	4.0	900.0
162	198	8.333333	1.0	4.0	2800.0
359	362	0.333333	1.0	4.0	900.0
345	32	0.0	0.0	4.0	999999.0
84	308	0.0	0.0	4.0	999999.0
161	163	11.333333	1.0	4.0	2800.0
967	517	3.666667	1.0	4.0	900.0
32	352	0.0	0.0	4.0	999999.0
356	953	6.333333	1.0	4.0	900.0
440	441	6.666667	1.0	4.0	900.0
878	278	10.666667	1.0	4.0	900.0
639	22	0.0	0.0	4.0	999999.0
678	580	15.0	1.0	4.0	900.0
352	32	0.0	0.0	4.0	999999.0
155	156	0.666667	1.0	4.0	2400.0
124	125	9.666667	1.0	4.0	2800.0
489	495	5.333333	1.0	4.0	600.0
609	68	0.0	0.0	4.0	999999.0
502	501	1.666667	1.0	4.0	600.0
91	187	0.0	0.0	4.0	999999.0
362	877	11.333333	1.0	4.0	900.0
84	309	0.0	0.0	4.0	999999.0
111	114	0.666667	1.0	4.0	2800.0
653	678	2.333333	1.0	4.0	900.0
191	527	13.0	1.0	4.0	900.0
444	460	0.666667	1.0	4.0	900.0
87	620	0.0	0.0	4.0	999999.0
938	22	0.0	0.0	4.0	999999.0
982	555	0.0	0.0	4.0	999999.0
556	161	13.333333	1.0	4.0	600.0
841	611	10.0	1.0	4.0	900.0
110	120	1.333333	1.0	4.0	2800.0
948	541	10.666667	1.0	4.0	2800.0
534	76	0.0	0.0	4.0	999999.0
595	596	3.333333	1.0	4.0	2400.0
278	284	0.666667	1.0	4.0	900.0
434	104	1.0	1.0	4.0	600.0
90	520	0.0	0.0	4.0	999999.0
632	633	12.0	1.0	4.0	2400.0
553	583	6.333333	1.0	4.0	2400.0
543	603	7.333333	1.0	4.0	2800.0
359	360	25.333333	1.0	4.0	2400.0
949	948	5.666667	1.0	4.0	900.0
