NodeID	ClusterNumber
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	1
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	1
24	0
25	0
26	0
27	0
28	0
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
50	0
51	1
52	0
53	0
55	0
56	1
57	1
58	1
59	0
60	0
61	0
62	0
63	0
64	1
66	0
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	0
79	0
80	0
81	0
82	1
83	0
84	1
85	1
86	0
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	0
95	1
96	0
97	1
98	1
99	0
100	0
101	0
102	0
103	1
104	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	1
148	1
149	0
150	0
151	1
152	1
153	0
154	1
155	1
156	1
157	0
158	0
159	1
160	1
161	1
162	1
163	1
164	0
165	1
166	1
167	0
168	0
169	1
170	1
171	1
172	1
173	1
174	0
175	1
176	1
177	0
178	1
179	0
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	0
190	1
191	1
192	0
193	0
194	1
195	1
196	1
197	0
198	1
199	1
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	1
208	1
209	1
210	1
211	1
212	0
213	0
214	0
215	1
216	1
217	1
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	1
256	1
257	1
258	0
259	1
260	1
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
