source	dest	fft	coef	power	capacity
189	210	4.333333	1.0	4.0	2800.0
409	410	8.666667	1.0	4.0	2400.0
218	210	1.0	1.0	4.0	900.0
157	184	3.0	1.0	4.0	2800.0
583	584	4.0	1.0	4.0	2400.0
210	218	1.0	1.0	4.0	900.0
650	653	4.333333	1.0	4.0	900.0
287	114	23.0	1.0	4.0	900.0
672	666	9.666667	1.0	4.0	2800.0
656	244	5.0	1.0	4.0	600.0
655	656	4.0	1.0	4.0	600.0
667	671	7.666667	1.0	4.0	2800.0
648	658	3.666667	1.0	4.0	2400.0
696	693	7.333333	1.0	4.0	900.0
209	213	3.0	1.0	4.0	2800.0
615	149	1.0	1.0	4.0	2400.0
149	615	0.333333	1.0	4.0	2400.0
674	665	6.666667	1.0	4.0	2400.0
464	689	4.666667	1.0	4.0	600.0
586	946	2.666667	1.0	4.0	2400.0
407	449	5.333333	1.0	4.0	2400.0
111	289	8.333333	1.0	4.0	900.0
178	179	0.666667	1.0	4.0	2800.0
653	650	5.0	1.0	4.0	900.0
693	698	2.0	1.0	4.0	900.0
694	688	0.666667	1.0	4.0	600.0
