Origin	Destination	Demand	Cost
1	2	7.155	65.15400359432131
1	3	6.153	71.66531385863541
1	4	12.291	60.247954526194164
1	5	9.252	65.15380089213618
1	6	14.649	103.94641514294375
1	7	32.067	128.42915637750872
1	8	23.394	81.33503667164472
1	9	29.868	122.60269086637241
1	10	4.137	116.5217138322036
1	11	1.806	140.209078144947
1	12	3.444	181.13575837516547
1	13	1.566	155.24650652003342
1	14	1.734	163.65568218570684
1	15	8.256	134.27857830981404
1	16	5.946	117.56782886744928
1	17	5.697	110.31995637582548
1	18	6.666	169.09689566302941
1	19	5.727	146.6002403580546
1	20	5.778	139.92145371010966
1	21	1.986	127.22900779918382
1	22	2.949	161.99141366673481
1	23	2.625	152.97424774808647
1	24	2.727	78.38687773009092
1	25	1.785	71.03718603302612
1	26	4.356	71.03698603302607
1	27	1.755	101.88400929740276
1	28	5.898	102.37056682159927
1	29	1.836	141.59312014507623
1	30	1.998	141.59332014507623
1	31	1.977	170.1910970397147
1	32	0.873	179.20498730782055
1	33	0.375	190.71093046293677
1	34	1.773	167.51647442084214
1	35	2.619	151.5072931494105
1	36	0.729	188.30857425276798
1	37	9.309	71.01504310711276
1	38	10.116	71.01464310711275
1	39	20.28	71.01484310711275
1	40	10.572	51.48690631019835
1	41	4.821	43.15313352683762
1	42	7.998	14.337207665221797
1	43	4.476	51.487106310198364
1	44	6.138	60.247952592940635
1	45	2.499	71.01524310711277
1	46	5.271	87.51517156912433
1	47	5.583	87.51497156912433
1	48	4.866	133.19587250554565
1	49	2.154	159.94490000281377
1	50	16.602	103.55037653295489
1	51	9.735	132.19552892057916
1	52	7.713	110.3201563758254
1	53	1.866	110.32035637582558
1	54	0.957	116.88083831687547
1	55	2.091	185.99137086249843
1	56	3.927	140.32387792098075
1	57	0.783	130.06921610424652
1	58	1.5	125.07534179138116
1	59	0.933	92.30302091928652
1	60	1.608	101.88373235993288
1	61	3.225	92.30322091928655
1	62	4.167	92.30322091928633
1	63	1.947	101.8839323599328
1	64	3.306	96.36787757023487
1	65	3.15	96.3676775702349
1	66	3.018	96.3674775702348
1	67	6.441	103.55065790507734
1	68	3.399	119.71382693848678
1	69	2.34	119.71402693848655
1	70	2.991	161.27398576162634
1	71	1.026	181.87233618645246
1	72	0.519	196.15713439807215
1	73	2.496	173.84547567759105
1	74	0.738	184.71022971923756
1	75	3.885	147.34410354965922
1	76	3.918	127.18949026093587
1	77	0.249	188.30889731529842
1	78	14.016	71.01484310711275
1	79	14.337	71.01444310711274
1	80	5.454	71.01484310711275
1	81	4.923	82.15654183298417
1	82	9.015	148.6430597281561
1	83	2.031	127.65789081926133
1	84	2.196	116.88103831687563
1	85	3.987	138.56278362976636
1	86	1.536	101.88393235993288
1	87	1.038	100.04189083381802
1	88	1.632	141.59292014507653
1	89	1.938	161.27410257134147
1	90	1.542	173.92237996888093
1	91	1.755	151.5074162119405
1	92	3.897	151.5072162119404
1	93	0.729	151.50741621194038
1	94	1.365	99.22350135173798
1	95	0.636	188.72047016894578
1	96	5.778	71.01464310711275
1	97	1.107	159.4420335264912
1	98	0.534	173.92217996888093
2	1	7.26	48.25019289850506
2	3	0.795	6.511309878629055
2	4	2.355	17.796476166404375
2	5	1.89	1.9999999999999998E-4
2	6	2.487	38.792414250807546
2	7	4.71	66.12777035608393
2	8	5.004	38.8835602451083
2	9	3.588	76.47474321130817
2	10	1.437	64.84109166164968
2	11	0.375	81.1484910318184
2	12	1.425	129.30745576506476
2	13	0.771	96.18580204705108
2	14	0.423	108.85376342681784
2	15	2.403	79.47665955092465
2	16	1.578	106.21885541911479
2	17	1.518	98.97098292749112
2	18	1.602	157.747922214695
2	19	1.221	135.2512669097199
2	20	1.386	128.5724802617747
2	21	0.573	113.57108284414085
2	22	0.468	148.33348871169184
2	23	0.171	137.71410658510985
2	24	1.161	67.03790428175594
2	25	0.669	59.688212584691705
2	26	1.716	59.688012584691535
2	27	0.579	59.432532870866446
2	28	1.605	78.79806976454869
2	29	0.42	99.14163746572501
2	30	0.639	99.141837465725
2	31	0.618	127.7396206131785
2	32	0.261	136.75351088128443
2	33	0.066	148.25945403639994
2	34	0.237	125.06499799430573
2	35	0.825	109.05581672287389
2	36	0.201	145.85709782623212
2	37	1.506	19.334420936558903
2	38	1.086	19.334020936558893
2	39	2.211	19.3342209365589
2	40	2.616	9.035429883662022
2	41	1.704	31.804160078503028
2	42	3.807	40.802017658008126
2	43	1.113	9.035629883662022
2	44	1.716	17.796476166404336
2	45	0.288	19.334620936558885
2	46	1.026	35.834549398570466
2	47	1.497	35.834349398570424
2	48	0.981	79.12950859878663
