source 	 destination 	 fft 	 flow 	 cost(min)
192	193	1.666667	0.0	1.666667
474	373	14.333333	0.0	14.333333
139	695	2.0	1112.7675925099234	2.0498902576254903
171	106	14.333333	20.115000000000002	14.33333303817642
130	131	1.666667	4.947	1.6666670000300863
482	492	13.0	0.0	13.0
81	324	1.0E-4	92.72700000000003	1.0E-4
601	603	0.666667	0.0	0.666667
258	888	2.666667	739.2625234447343	3.880596625741266
708	44	1.0E-4	0.0	1.0E-4
189	210	4.333333	553.3887679176114	4.339944671979101
347	348	0.333333	0.0	0.333333
497	490	3.666667	0.0	3.666667
58	125	1.0E-4	384.33000000000015	1.0E-4
861	46	1.0E-4	315.62564436636325	1.0E-4
409	410	8.666667	101.28876791761103	8.666694494909635
551	64	1.0E-4	595.6949999999946	1.0E-4
466	459	3.333333	13.709999999999955	3.333333179497533
33	347	1.0E-4	0.0	1.0E-4
16	770	1.0E-4	0.0	1.0E-4
36	494	1.0E-4	515.7915906460044	1.0E-4
296	101	7.333333	0.0	7.333333
609	927	1.0	843.0390000000015	1.0152245932109398
483	77	1.0E-4	0.0	1.0E-4
399	630	13.0	25.768409353994738	13.000000093252755
229	231	7.666667	322.1794765552648	7.668010896927829
568	10	1.0E-4	0.0	1.0E-4
818	1	1.0E-4	0.0	1.0E-4
397	395	4.333333	359.62199999999996	4.443801138146242
763	759	10.666667	300.5103287414597	11.337881531161779
767	368	9.666667	0.0	9.666667
597	93	1.0E-4	408.7589999999999	1.0E-4
837	836	2.0	115.37699999999998	2.000540178043299
863	567	13.0	0.0	13.0
68	602	1.0E-4	501.29099999999937	1.0E-4
99	100	0.333333	0.0	0.333333
843	844	10.333333	504.5460000000008	10.344227602008363
769	767	6.333333	0.0	6.333333
248	247	1.666667	0.0	1.666667
173	217	9.0	0.0	9.0
809	707	1.0	0.0	1.0
955	952	5.0	388.4970000000005	5.173600369242976
456	24	1.0E-4	519.980999999999	1.0E-4
217	216	0.666667	0.0	0.666667
108	90	1.0E-4	0.0	1.0E-4
42	830	1.0E-4	289.68462837265685	1.0E-4
603	714	11.0	109.91100000000004	11.00244673697043
885	935	0.666667	0.0	0.666667
162	198	8.333333	0.0	8.333333
42	912	1.0E-4	0.0	1.0E-4
359	362	0.333333	150.32400000000015	0.33359243081925527
364	335	1.0	0.0	1.0
330	321	4.0	0.0	4.0
45	936	1.0E-4	0.0	1.0E-4
312	94	1.0E-4	0.0	1.0E-4
345	32	1.0E-4	0.0	1.0E-4
745	778	4.666667	0.0	4.666667
84	308	1.0E-4	0.0	1.0E-4
161	163	11.333333	457.35600000000017	11.341400575675184
32	352	1.0E-4	0.0	1.0E-4
967	517	3.666667	0.0	3.666667
457	59	1.0E-4	729.8877679176348	1.0E-4
887	883	5.666667	0.0	5.666667
368	311	15.333333	620.9159999999995	15.370412668804706
356	953	6.333333	892.9440000000001	12.47037618583747
218	210	1.0	0.0	1.0
440	441	6.666667	0.0	6.666667
780	786	5.666667	482.18772714837775	5.671650795070112
689	684	7.0	435.9713019746064	8.951302714584457
705	799	21.333333	543.863999999999	24.17812111398046
878	278	10.666667	0.0	10.666667
639	22	1.0E-4	136.33500000000015	1.0E-4
332	227	16.0	66.213	16.00000926932432
678	580	15.0	249.6355234447353	15.088786465090996
352	32	1.0E-4	473.9729999999997	1.0E-4
157	184	3.0	311.7987371482094	3.0004613032738963
373	366	19.666667	453.3377024458626	20.932708913171627
266	269	6.666667	0.0	6.666667
155	156	0.666667	0.0	0.666667
124	125	9.666667	0.0	9.666667
16	769	1.0E-4	0.0	1.0E-4
934	45	1.0E-4	453.6330000000002	1.0E-4
489	495	5.333333	0.0	5.333333
609	68	1.0E-4	1248.0574765552633	1.0E-4
472	17	1.0E-4	0.0	1.0E-4
376	883	9.0	0.0	9.0
40	801	1.0E-4	0.0	1.0E-4
261	788	8.666667	0.0	8.666667
45	934	1.0E-4	400.3650000000002	1.0E-4
738	79	1.0E-4	348.1859999999998	1.0E-4
917	796	18.666667	0.0	18.666667
701	41	1.0E-4	0.0	1.0E-4
781	2	1.0E-4	0.0	1.0E-4
305	298	18.333333	0.0	18.333333
313	455	3.0	1081.4429999999943	3.066758053434439
749	304	13.333333	0.0	13.333333
796	43	1.0E-4	1491.1316670465476	1.0E-4
502	501	1.666667	426.6660000000001	2.092849860795306
421	426	4.333333	0.0	4.333333
297	299	14.666667	0.0	14.666667
393	869	2.0	27.393	2.000000033942468
783	564	0.666667	252.099	0.6874442683236207
91	187	1.0E-4	0.0	1.0E-4
362	877	11.333333	0.0	11.333333
291	909	1.0	0.0	1.0
465	135	8.0	61.05600000000013	8.000001808719649
81	322	1.0E-4	56.13299999999998	1.0E-4
84	309	1.0E-4	388.6560000000041	1.0E-4
205	204	1.0	687.6663811406969	2.7254650630376576
62	266	1.0E-4	0.0	1.0E-4
111	114	0.666667	692.6609999999979	0.6691636621362623
653	678	2.333333	249.6355234447353	2.3471442259300113
273	272	0.666667	0.0	0.666667
444	460	0.666667	0.0	0.666667
191	527	13.0	0.0	13.0
87	620	1.0E-4	57.45299999999999	1.0E-4
938	22	1.0E-4	0.0	1.0E-4
904	8	1.0E-4	189.68400000000003	1.0E-4
754	972	3.666667	97.49400000000009	3.667171908856244
556	161	13.333333	0.0	13.333333
695	691	0.666667	328.1955925099163	0.6667928368419076
48	302	1.0E-4	0.0	1.0E-4
589	590	7.0	207.75600000000017	7.000212168162399
841	611	10.0	0.0	10.0
310	269	18.0	1222.698000000013	19.21256309337686
913	42	1.0E-4	0.0	1.0E-4
880	882	3.666667	0.0	3.666667
110	120	1.333333	0.0	1.333333
948	541	10.666667	0.0	10.666667
684	13	1.0E-4	435.9713019746064	1.0E-4
534	76	1.0E-4	383.1660000000003	1.0E-4
595	596	3.333333	0.0	3.333333
266	145	7.0	0.0	7.0
278	284	0.666667	414.58800000000025	0.6966866642420555
40	800	1.0E-4	0.0	1.0E-4
415	416	1.0	369.43799999999715	1.000303063847545
90	520	1.0E-4	0.0	1.0E-4
434	104	1.0	0.0	1.0
782	38	1.0E-4	0.0	1.0E-4
861	47	1.0E-4	521.9169172179853	1.0E-4
143	140	2.666667	0.0	2.666667
632	633	12.0	0.0	12.0
96	894	1.0E-4	0.0	1.0E-4
553	583	6.333333	492.9027377593716	6.344600622233546
315	366	24.0	426.1752975541407	24.012880484772857
149	150	1.333333	38.993999999999986	1.3333330929147815
543	603	7.333333	0.0	7.333333
359	360	25.333333	11.399999999999995	25.333333012896347
949	948	5.666667	0.0	5.666667
883	376	10.0	176.25227285162154	10.074461863872697
812	815	10.0	290.97899999999873	10.001166311244452
151	953	11.0	0.0	11.0
463	432	14.0	302.18100000000044	14.177920755557787
36	497	1.0E-4	0.0	1.0E-4
121	56	1.0E-4	451.50876791761056	1.0E-4
208	188	9.333333	0.0	9.333333
232	7	1.0E-4	0.0	1.0E-4
733	24	1.0E-4	0.0	1.0E-4
328	329	1.666667	0.0	1.666667
760	569	6.666667	387.2369999999998	7.82334146665594
62	264	1.0E-4	669.6192002858022	1.0E-4
266	62	1.0E-4	0.0	1.0E-4
531	51	1.0E-4	31.83300000000002	1.0E-4
83	274	1.0E-4	241.02000000000203	1.0E-4
212	206	0.666667	0.0	0.666667
583	584	4.0	0.0	4.0
441	438	19.0	0.0	19.0
936	934	7.333333	0.0	7.333333
