source 	 destination 	 fft 	 flow 	 cost(min)
192	193	1.666667	0.0	1.666667
474	373	14.333333	0.0	14.333333
139	695	2.0	1112.7560738532666	2.0498881919297274
171	106	14.333333	20.115000000000002	14.33333303817642
130	131	1.666667	4.947000000000002	1.6666670000300863
482	492	13.0	0.0	13.0
81	324	0.0	92.72700000000003	0.0
601	603	0.666667	0.0	0.666667
258	888	2.666667	739.2597538215248	3.8805784340506806
708	44	0.0	0.0	0.0
189	210	4.333333	553.39154267259	4.339944804586835
347	348	0.333333	0.0	0.333333
497	490	3.666667	0.0	3.666667
58	125	0.0	384.33000000000027	0.0
409	410	8.666667	101.29154267258858	8.666694497922595
861	46	0.0	321.31330401540873	0.0
551	64	0.0	595.6949999999928	0.0
466	459	3.333333	13.709999999999955	3.333333179497533
33	347	0.0	0.0	0.0
16	770	0.0	0.0	0.0
36	494	0.0	515.7968738227795	0.0
296	101	7.333333	0.0	7.333333
609	927	1.0	843.0390000000004	1.0152245932109398
483	77	0.0	0.0	0.0
399	630	13.0	25.763126177219227	13.0000000931763
229	231	7.666667	322.18224617847466	7.6680109431397865
568	10	0.0	0.0	0.0
818	1	0.0	0.0	0.0
397	395	4.333333	359.62199999999996	4.443801138146242
763	759	10.666667	300.51315768691614	11.33790680624792
767	368	9.666667	0.0	9.666667
597	93	0.0	106.66799999999976	0.0
837	836	2.0	115.37699999999998	2.000540178043299
863	567	13.0	0.0	13.0
68	602	0.0	501.2909999999994	0.0
99	100	0.333333	0.0	0.333333
843	844	10.333333	504.54600000000056	10.344227602008363
769	767	6.333333	0.0	6.333333
173	217	9.0	0.0	9.0
248	247	1.666667	0.0	1.666667
809	707	1.0	0.0	1.0
955	952	5.0	388.49700000000064	5.173600369242976
456	24	0.0	519.9810000000026	0.0
217	216	0.666667	0.0	0.666667
108	90	0.0	0.0	0.0
42	830	0.0	289.7116646970843	0.0
603	714	11.0	109.91100000000007	11.00244673697043
885	935	0.666667	0.0	0.666667
162	198	8.333333	0.0	8.333333
42	912	0.0	0.0	0.0
359	362	0.333333	150.32400000000013	0.33359243081925527
364	335	1.0	0.0	1.0
330	321	4.0	0.0	4.0
45	936	0.0	0.0	0.0
312	94	0.0	0.0	0.0
345	32	0.0	0.0	0.0
745	778	4.666667	0.0	4.666667
84	308	0.0	0.0	0.0
161	163	11.333333	457.35600000000017	11.341400575675184
32	352	0.0	0.0	0.0
967	517	3.666667	0.0	3.666667
457	59	0.0	729.890542672611	0.0
368	311	15.333333	620.9159999999991	15.370412668804706
887	883	5.666667	0.0	5.666667
356	953	6.333333	892.9439999999986	12.470376185837429
218	210	1.0	0.0	1.0
440	441	6.666667	0.0	6.666667
780	786	5.666667	482.19254046007507	5.671650994070766
689	684	7.0	435.9780552875959	8.951423622213953
705	799	21.333333	543.8640000000017	24.178121113980517
878	278	10.666667	0.0	10.666667
332	227	16.0	66.21300000000004	16.00000926932432
639	22	0.0	136.33500000000015	0.0
678	580	15.0	249.6327538215253	15.088782524931217
157	184	3.0	314.7123458289318	3.000478789094678
352	32	0.0	473.9729999999997	0.0
373	366	19.666667	453.3299414581778	20.932622218565587
266	269	6.666667	0.0	6.666667
155	156	0.666667	0.0	0.666667
124	125	9.666667	0.0	9.666667
16	769	0.0	0.0	0.0
934	45	0.0	453.63299999999964	0.0
489	495	5.333333	0.0	5.333333
609	68	0.0	1248.0602461784695	0.0
376	883	9.0	0.0	9.0
472	17	0.0	0.0	0.0
40	801	0.0	0.0	0.0
261	788	8.666667	0.0	8.666667
45	934	0.0	400.3649999999996	0.0
738	79	0.0	348.1859999999998	0.0
917	796	18.666667	0.0	18.666667
701	41	0.0	0.0	0.0
781	2	0.0	0.0	0.0
305	298	18.333333	0.0	18.333333
313	455	3.0	1081.4429999999948	3.066758053434439
749	304	13.333333	0.0	13.333333
796	43	0.0	1491.1468646426372	0.0
297	299	14.666667	0.0	14.666667
421	426	4.333333	0.0	4.333333
502	501	1.666667	426.6660000000001	2.092849860795306
393	869	2.0	27.393	2.000000033942468
783	564	0.666667	252.09900000000007	0.6874442683236207
91	187	0.0	0.0	0.0
362	877	11.333333	0.0	11.333333
291	909	1.0	0.0	1.0
465	135	8.0	61.05600000000013	8.000001808719649
81	322	0.0	56.13299999999998	0.0
84	309	0.0	388.65600000000416	0.0
205	204	1.0	687.881856256198	2.727628725994755
62	266	0.0	0.0	0.0
111	114	0.666667	692.660999999998	0.6691636621362623
653	678	2.333333	249.6327538215253	2.3471436130163554
273	272	0.666667	0.0	0.666667
191	527	13.0	0.0	13.0
444	460	0.666667	0.0	0.666667
87	620	0.0	57.45299999999998	0.0
938	22	0.0	0.0	0.0
904	8	0.0	189.68399999999988	0.0
754	972	3.666667	97.49400000000009	3.667171908856244
556	161	13.333333	0.0	13.333333
695	691	0.666667	328.18407385326077	0.6667928191768918
48	302	0.0	0.0	0.0
589	590	7.0	207.75600000000017	7.000212168162399
841	611	10.0	0.0	10.0
310	269	18.0	1222.698000000017	19.212563093376875
913	42	0.0	0.0	0.0
880	882	3.666667	0.0	3.666667
110	120	1.333333	0.0	1.333333
948	541	10.666667	0.0	10.666667
684	13	0.0	435.9780552875959	0.0
534	76	0.0	383.16600000000017	0.0
266	145	7.0	0.0	7.0
595	596	3.333333	0.0	3.333333
278	284	0.666667	414.58800000000025	0.6966866642420555
40	800	0.0	0.0	0.0
415	416	1.0	369.4379999999969	1.000303063847545
90	520	0.0	0.0	0.0
434	104	1.0	0.0	1.0
782	38	0.0	0.0	0.0
861	47	0.0	527.5997635553354	0.0
143	140	2.666667	0.0	2.666667
632	633	12.0	0.0	12.0
96	894	0.0	0.0	0.0
553	583	6.333333	492.9029261590622	6.3446006394606185
315	366	24.0	426.18305854182626	24.012881423053564
149	150	1.333333	38.993999999999986	1.3333330929147815
543	603	7.333333	0.0	7.333333
359	360	25.333333	11.399999999999995	25.333333012896347
883	376	10.0	176.24745953992618	10.074453730224878
949	948	5.666667	0.0	5.666667
812	815	10.0	290.97899999999805	10.001166311244452
151	953	11.0	0.0	11.0
463	432	14.0	302.18100000000044	14.177920755557787
36	497	0.0	0.0	0.0
121	56	0.0	451.51154267258755	0.0
208	188	9.333333	0.0	9.333333
232	7	0.0	0.0	0.0
733	24	0.0	0.0	0.0
328	329	1.666667	0.0	1.666667
760	569	6.666667	387.2369999999995	7.823341466655937
62	264	0.0	669.8345588028579	0.0
266	62	0.0	0.0	0.0
531	51	0.0	31.83300000000002	0.0
83	274	0.0	241.02000000000234	0.0
212	206	0.666667	0.0	0.666667
583	584	4.0	0.0	4.0
441	438	19.0	0.0	19.0
109	169	22.0	5.715000000000001	22.000000000381814
936	934	7.333333	0.0	7.333333
210	218	1.0	553.39154267259	1.142942058764741
51	531	0.0	129.09	0.0
282	838	0.666667	129.04199999999997	0.6669487495702489
745	740	30.666667	0.0	30.666667
629	279	1.333333	243.51899999999955	1.3334743269765028
288	676	8.666667	919.056000000004	8.853036586549084
23	278	0.0	515.8409999999982	0.0
5	753	0.0	388.6229999999997	0.0
370	17	0.0	870.4423004879179	0.0
911	465	11.333333	61.05600000000013	11.333337747074827
5	752	0.0	0.0	0.0
8	899	0.0	132.69299999999978	0.0
174	132	1.666667	1348.3620000000176	1.756294798569294
137	136	3.0	0.0	3.0
260	259	2.333333	430.0019999999959	2.4549204044781834
