source	dest	fft	coef	power	capacity
712	713	4.28	0.15	4.0	1000.0
667	662	5.39	0.15	4.0	2500.0
667	669	4.32	0.15	4.0	7000.0
798	799	3.66	0.15	4.0	2000.0
655	451	2.48	0.15	4.0	5000.0
663	655	4.39	0.15	4.0	6000.0
393	392	2.55	0.15	4.0	3500.0
790	791	4.62	0.15	4.0	2000.0
700	699	4.09	0.15	4.0	5000.0
655	663	4.39	0.15	4.0	6000.0
655	650	4.94	0.15	4.0	3000.0
475	473	3.17	0.15	4.0	5000.0
651	649	3.9	0.15	4.0	2000.0
393	716	1.87	0.15	4.0	3500.0
815	638	5.72	0.15	4.0	2000.0
508	450	3.8	0.15	4.0	5000.0
909	912	9.83	0.15	4.0	1500.0
905	854	8.33	0.15	4.0	1000.0
684	683	4.5	0.15	4.0	2500.0
684	674	4.29	0.15	4.0	1500.0
905	907	7.1	0.15	4.0	5000.0
410	411	2.72	0.15	4.0	3500.0
668	519	0.64	0.15	4.0	2000.0
807	806	5.86	0.15	4.0	2000.0
451	452	2.18	0.15	4.0	5000.0
672	722	3.58	0.15	4.0	1000.0
668	666	4.18	0.15	4.0	3000.0
713	712	4.28	0.15	4.0	1000.0
701	474	1.73	0.15	4.0	3500.0
799	798	3.66	0.15	4.0	2000.0
451	654	1.81	0.15	4.0	5000.0
451	655	2.48	0.15	4.0	5000.0
410	700	1.09	0.15	4.0	2000.0
791	790	4.62	0.15	4.0	2000.0
701	699	3.66	0.15	4.0	5000.0
517	518	6.64	0.15	4.0	3500.0
918	919	7.89	0.15	4.0	1500.0
828	826	3.94	0.15	4.0	2000.0
783	784	4.94	0.15	4.0	3500.0
783	788	5.53	0.15	4.0	1500.0
648	650	3.99	0.15	4.0	3500.0
783	919	9.0	0.15	4.0	1500.0
603	718	3.99	0.15	4.0	1000.0
685	690	3.82	0.15	4.0	4000.0
685	683	3.73	0.15	4.0	4000.0
906	908	7.63	0.15	4.0	3500.0
722	672	3.58	0.15	4.0	1000.0
718	603	3.99	0.15	4.0	1000.0
517	908	2.55	0.15	4.0	2500.0
411	410	2.72	0.15	4.0	3500.0
452	451	2.18	0.15	4.0	5000.0
804	805	3.6	0.15	4.0	4500.0
669	667	4.32	0.15	4.0	7000.0
796	797	3.58	0.15	4.0	1000.0
919	783	9.0	0.15	4.0	1500.0
788	783	5.53	0.15	4.0	1500.0
825	638	3.63	0.15	4.0	1000.0
788	789	4.39	0.15	4.0	2000.0
825	649	4.01	0.15	4.0	1500.0
919	918	7.89	0.15	4.0	1500.0
518	517	6.64	0.15	4.0	3500.0
473	475	3.17	0.15	4.0	5000.0
784	783	4.94	0.15	4.0	3500.0
473	474	3.23	0.15	4.0	5000.0
649	651	3.9	0.15	4.0	2000.0
825	826	3.68	0.15	4.0	2000.0
690	685	3.82	0.15	4.0	4000.0
821	826	4.39	0.15	4.0	2500.0
649	825	4.01	0.15	4.0	1500.0
473	707	4.39	0.15	4.0	1000.0
854	670	10.31	0.15	4.0	500.0
907	905	7.1	0.15	4.0	5000.0
854	905	8.33	0.15	4.0	1000.0
674	684	4.29	0.15	4.0	1500.0
707	473	4.39	0.15	4.0	1000.0
805	804	3.6	0.15	4.0	4500.0
674	724	4.5	0.15	4.0	2000.0
666	668	4.18	0.15	4.0	3000.0
797	796	3.58	0.15	4.0	1000.0
662	654	4.35	0.15	4.0	5000.0
654	451	1.81	0.15	4.0	5000.0
662	667	5.39	0.15	4.0	2500.0
670	854	10.31	0.15	4.0	500.0
392	393	2.55	0.15	4.0	3500.0
908	517	2.55	0.15	4.0	2500.0
789	788	4.39	0.15	4.0	2000.0
699	700	4.09	0.15	4.0	5000.0
699	701	3.66	0.15	4.0	5000.0
654	662	4.35	0.15	4.0	5000.0
474	473	3.23	0.15	4.0	5000.0
650	648	3.99	0.15	4.0	3500.0
650	655	4.94	0.15	4.0	3000.0
826	828	3.94	0.15	4.0	2000.0
826	825	3.68	0.15	4.0	2000.0
826	821	4.39	0.15	4.0	2500.0
519	668	0.64	0.15	4.0	2000.0
912	909	9.83	0.15	4.0	1500.0
474	701	1.73	0.15	4.0	3500.0
716	393	1.87	0.15	4.0	3500.0
908	906	7.63	0.15	4.0	3500.0
601	716	5.17	0.15	4.0	3000.0
683	684	4.5	0.15	4.0	2500.0
683	685	3.73	0.15	4.0	4000.0
724	674	4.5	0.15	4.0	2000.0
716	601	5.17	0.15	4.0	3000.0
638	815	5.72	0.15	4.0	2000.0
638	825	3.63	0.15	4.0	1000.0
806	807	5.86	0.15	4.0	2000.0
450	508	3.8	0.15	4.0	5000.0
700	410	1.09	0.15	4.0	2000.0
