source	dest	fft	coef	power	capacity
872	460	5.86	0.15	4.0	3500.0
913	417	3.45	0.15	4.0	3500.0
733	187	0.0	0.15	4.0	49500.0
335	881	0.0	0.15	4.0	49500.0
290	836	0.0	0.15	4.0	49500.0
888	861	9.06	0.15	4.0	4000.0
888	860	8.33	0.15	4.0	3500.0
720	913	9.25	0.15	4.0	3000.0
462	876	4.35	0.15	4.0	1500.0
245	791	0.0	0.15	4.0	49500.0
462	873	3.45	0.15	4.0	1500.0
413	734	0.65	0.15	4.0	4000.0
413	730	3.35	0.15	4.0	4000.0
864	318	0.0	0.15	4.0	49500.0
888	894	6.94	0.15	4.0	1000.0
155	701	0.0	0.15	4.0	49500.0
888	887	7.89	0.15	4.0	1500.0
888	910	7.51	0.15	4.0	2000.0
843	848	6.45	0.15	4.0	2000.0
819	273	0.0	0.15	4.0	49500.0
462	927	7.78	0.15	4.0	3500.0
843	844	4.25	0.15	4.0	3000.0
442	443	3.59	0.15	4.0	3500.0
843	841	4.18	0.15	4.0	500.0
729	183	0.0	0.15	4.0	49500.0
331	877	0.0	0.15	4.0	49500.0
684	138	0.0	0.15	4.0	49500.0
708	714	6.99	0.15	4.0	4000.0
708	709	6.96	0.15	4.0	3000.0
286	832	0.0	0.15	4.0	49500.0
241	787	0.0	0.15	4.0	49500.0
663	665	4.29	0.15	4.0	2000.0
417	913	3.45	0.15	4.0	3500.0
417	926	6.29	0.15	4.0	3500.0
839	837	4.94	0.15	4.0	2500.0
151	697	0.0	0.15	4.0	49500.0
884	889	7.86	0.15	4.0	1500.0
860	314	0.0	0.15	4.0	49500.0
884	881	7.09	0.15	4.0	3000.0
794	793	6.96	0.15	4.0	3500.0
794	795	7.03	0.15	4.0	4000.0
839	844	3.95	0.15	4.0	1500.0
815	269	0.0	0.15	4.0	49500.0
839	847	6.38	0.15	4.0	2000.0
839	840	3.9	0.15	4.0	2000.0
794	786	6.89	0.15	4.0	3000.0
454	838	1.93	0.15	4.0	3000.0
725	179	0.0	0.15	4.0	49500.0
372	918	0.0	0.15	4.0	49500.0
454	840	2.45	0.15	4.0	3000.0
794	802	7.41	0.15	4.0	3000.0
327	873	0.0	0.15	4.0	49500.0
282	828	0.0	0.15	4.0	49500.0
237	783	0.0	0.15	4.0	49500.0
880	877	7.79	0.15	4.0	2000.0
880	879	7.78	0.15	4.0	500.0
901	355	0.0	0.15	4.0	49500.0
733	415	3.01	0.15	4.0	3500.0
835	836	3.73	0.15	4.0	6000.0
856	310	0.0	0.15	4.0	49500.0
880	881	7.8	0.15	4.0	2500.0
880	883	7.01	0.15	4.0	1000.0
819	469	0.34	0.15	4.0	3000.0
835	846	6.96	0.15	4.0	1500.0
389	390	4.34	0.15	4.0	1000.0
835	840	3.85	0.15	4.0	3500.0
811	265	0.0	0.15	4.0	49500.0
827	651	3.99	0.15	4.0	1000.0
700	702	5.1	0.15	4.0	4500.0
368	914	0.0	0.15	4.0	49500.0
917	782	8.24	0.15	4.0	3000.0
323	869	0.0	0.15	4.0	49500.0
917	781	7.44	0.15	4.0	1000.0
721	175	0.0	0.15	4.0	49500.0
700	695	5.5	0.15	4.0	10500.0
913	708	20.04	0.15	4.0	3000.0
663	841	4.16	0.15	4.0	3500.0
278	824	0.0	0.15	4.0	49500.0
913	726	9.38	0.15	4.0	4000.0
913	720	9.25	0.15	4.0	3000.0
708	913	20.04	0.15	4.0	3000.0
188	734	0.0	0.15	4.0	49500.0
913	714	13.61	0.15	4.0	3500.0
876	877	7.71	0.15	4.0	1500.0
876	879	8.12	0.15	4.0	1000.0
897	351	0.0	0.15	4.0	49500.0
831	836	3.68	0.15	4.0	1000.0
786	781	6.76	0.15	4.0	2500.0
807	261	0.0	0.15	4.0	49500.0
852	306	0.0	0.15	4.0	49500.0
815	471	3.84	0.15	4.0	3000.0
786	794	6.89	0.15	4.0	3000.0
831	845	5.97	0.15	4.0	1000.0
364	910	0.0	0.15	4.0	49500.0
786	785	7.03	0.15	4.0	4000.0
786	787	6.96	0.15	4.0	1500.0
696	698	4.31	0.15	4.0	5000.0
872	830	5.96	0.15	4.0	3000.0
717	171	0.0	0.15	4.0	49500.0
815	472	2.22	0.15	4.0	3000.0
319	865	0.0	0.15	4.0	49500.0
696	695	3.99	0.15	4.0	8500.0
274	820	0.0	0.15	4.0	49500.0
913	801	24.92	0.15	4.0	3500.0
651	650	4.35	0.15	4.0	2500.0
446	858	2.41	0.15	4.0	8500.0
446	859	5.21	0.15	4.0	8500.0
872	832	6.29	0.15	4.0	2000.0
917	918	8.14	0.15	4.0	500.0
917	916	7.64	0.15	4.0	1000.0
696	734	4.2	0.15	4.0	1500.0
184	730	0.0	0.15	4.0	49500.0
848	302	0.0	0.15	4.0	49500.0
139	685	0.0	0.15	4.0	49500.0
872	869	7.96	0.15	4.0	2500.0
471	470	4.12	0.15	4.0	3500.0
872	871	6.94	0.15	4.0	2000.0
893	347	0.0	0.15	4.0	49500.0
897	443	1.3	0.15	4.0	500.0
827	837	3.84	0.15	4.0	2500.0
782	783	7.02	0.15	4.0	3000.0
803	257	0.0	0.15	4.0	49500.0
782	781	6.76	0.15	4.0	3000.0
471	472	2.92	0.15	4.0	3500.0
827	828	3.99	0.15	4.0	2000.0
827	825	4.35	0.15	4.0	1000.0
737	736	4.67	0.15	4.0	6500.0
713	167	0.0	0.15	4.0	49500.0
913	864	23.35	0.15	4.0	2500.0
782	787	7.12	0.15	4.0	3500.0
737	735	5.19	0.15	4.0	3000.0
737	733	5.9	0.15	4.0	2500.0
668	122	0.0	0.15	4.0	49500.0
315	861	0.0	0.15	4.0	49500.0
864	732	7.94	0.15	4.0	4000.0
270	816	0.0	0.15	4.0	49500.0
889	343	0.0	0.15	4.0	49500.0
180	726	0.0	0.15	4.0	49500.0
823	821	3.73	0.15	4.0	4000.0
467	458	5.17	0.15	4.0	3500.0
844	298	0.0	0.15	4.0	49500.0
868	869	7.02	0.15	4.0	2000.0
868	871	8.29	0.15	4.0	2500.0
