<NUMBER OF ZONES>49
<NUMBER OF NODES>50
<FIRST THRU NODE> 1
<NUMBER OF LINKS>158
<END OF METADATA>


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	2021	2024	4885.357564	20	3.0	0.15	4.0	0	0	1	;
	2013	2012	25900.20064	20	3.0	0.15	4.0	0	0	1	;
	2005	2006	4947.995469	20	4.0	0.15	4.0	0	0	1	;
	2005	2004	17782.7941	20	2.0	0.15	4.0	0	0	1	;
	1021	1020	5059.91234	20	6.0	0.15	4.0	0	0	1	;
	2005	2009	10000.0	20	5.0	0.15	4.0	0	0	1	;
	1021	1022	5229.910063	20	2.0	0.15	4.0	0	0	1	;
	2021	2022	5229.910063	20	2.0	0.15	4.0	0	0	1	;
	2021	2020	5059.91234	20	6.0	0.15	4.0	0	0	1	;
	2018	2007	23403.47319	20	2.0	0.15	4.0	0	0	1	;
	2008	2016	5045.822583	20	5.0	0.15	4.0	0	0	1	;
	1013	1012	25900.20064	20	3.0	0.15	4.0	0	0	1	;
	2008	2007	7841.81131	20	3.0	0.15	4.0	0	0	1	;
	2008	2006	4898.587646	20	2.0	0.15	4.0	0	0	1	;
	2018	2020	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2018	2016	19679.89671	20	3.0	0.15	4.0	0	0	1	;
	1013	1024	5091.256152	20	4.0	0.15	4.0	0	0	1	;
	1018	1016	19679.89671	20	3.0	0.15	4.0	0	0	1	;
	1018	1020	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2008	2009	5050.193156	20	10.0	0.15	4.0	0	0	1	;
	1003	1012	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2023	2014	4924.790605	20	4.0	0.15	4.0	0	0	1	;
	1010	1015	13512.00155	20	6.0	0.15	4.0	0	0	1	;
	1003	1001	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	1010	1009	13915.78842	20	3.0	0.15	4.0	0	0	1	;
	1021	1024	4885.357564	20	3.0	0.15	4.0	0	0	1	;
	1010	1011	10000.0	20	5.0	0.15	4.0	0	0	1	;
	1003	1004	17110.52372	20	4.0	0.15	4.0	0	0	1	;
	1021	2	5000.0	20	4.0	0.15	4.0	0	0	1	;
	2015	2010	13512.00155	20	6.0	0.15	4.0	0	0	1	;
	1010	1017	4993.510694	20	8.0	0.15	4.0	0	0	1	;
	2015	2014	5127.526119	20	5.0	0.15	4.0	0	0	1	;
	1007	2012	3000.0	20	8.0	0.15	4.0	0	0	1	;
	1010	1016	4854.917717	20	4.0	0.15	4.0	0	0	1	;
	1018	1007	23403.47319	20	2.0	0.15	4.0	0	0	1	;
	2011	2012	4908.82673	20	6.0	0.15	4.0	0	0	1	;
	2003	2001	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2015	2019	14564.75315	20	3.0	0.15	4.0	0	0	1	;
	2011	2014	4876.508287	20	4.0	0.15	4.0	0	0	1	;
	2003	2004	17110.52372	20	4.0	0.15	4.0	0	0	1	;
	2015	2022	9599.180565	20	3.0	0.15	4.0	0	0	1	;
	1023	1022	5000.0	20	4.0	0.15	4.0	0	0	1	;
	2023	2024	5078.508436	20	2.0	0.15	4.0	0	0	1	;
	2011	2010	10000.0	20	5.0	0.15	4.0	0	0	1	;
	2023	2022	5000.0	20	4.0	0.15	4.0	0	0	1	;
	2011	2004	4908.82673	20	6.0	0.15	4.0	0	0	1	;
	2003	2012	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	1023	1014	4924.790605	20	4.0	0.15	4.0	0	0	1	;
	1006	1008	4898.587646	20	2.0	0.15	4.0	0	0	1	;
	1007	1008	7841.81131	20	3.0	0.15	4.0	0	0	1	;
	1006	1005	4947.995469	20	4.0	0.15	4.0	0	0	1	;
	1015	1022	9599.180565	20	3.0	0.15	4.0	0	0	1	;
	1006	1002	4958.180928	20	5.0	0.15	4.0	0	0	1	;
	1015	1019	14564.75315	20	3.0	0.15	4.0	0	0	1	;
	1007	1018	23403.47319	20	2.0	0.15	4.0	0	0	1	;
	1015	1014	5127.526119	20	5.0	0.15	4.0	0	0	1	;
	1015	1010	13512.00155	20	6.0	0.15	4.0	0	0	1	;
	2006	2005	4947.995469	20	4.0	0.15	4.0	0	0	1	;
	1012	1003	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2006	2002	4958.180928	20	5.0	0.15	4.0	0	0	1	;
	2020	2018	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	1020	1021	5059.91234	20	6.0	0.15	4.0	0	0	1	;
	2020	2019	5002.607563	20	4.0	0.15	4.0	0	0	1	;
	1020	1022	5075.697193	20	5.0	0.15	4.0	0	0	1	;
	2020	2022	5075.697193	20	5.0	0.15	4.0	0	0	1	;
	2006	2008	4898.587646	20	2.0	0.15	4.0	0	0	1	;
	1020	1018	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2020	2021	5059.91234	20	6.0	0.15	4.0	0	0	1	;
	1020	1019	5002.607563	20	4.0	0.15	4.0	0	0	1	;
	1	2001	5000.0	20	4.0	0.15	4.0	0	0	1	;
	1023	1024	5078.508436	20	2.0	0.15	4.0	0	0	1	;
	1012	1011	4908.82673	20	6.0	0.15	4.0	0	0	1	;
	1001	1003	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	1012	1013	25900.20064	20	3.0	0.15	4.0	0	0	1	;
	1001	1002	25900.20064	20	6.0	0.15	4.0	0	0	1	;
	2017	2010	4993.510694	20	8.0	0.15	4.0	0	0	1	;
	2009	2008	5050.193156	20	10.0	0.15	4.0	0	0	1	;
	2009	2010	13915.78842	20	3.0	0.15	4.0	0	0	1	;
	2017	2016	5229.910063	20	2.0	0.15	4.0	0	0	1	;
	2017	2019	4823.950831	20	2.0	0.15	4.0	0	0	1	;
	1004	1011	4908.82673	20	6.0	0.15	4.0	0	0	1	;
	1	1002	5000.0	20	5.0	0.15	4.0	0	0	1	;
	2009	2005	10000.0	20	5.0	0.15	4.0	0	0	1	;
	1009	1005	10000.0	20	5.0	0.15	4.0	0	0	1	;
	1004	1003	17110.52372	20	4.0	0.15	4.0	0	0	1	;
	1009	1010	13915.78842	20	3.0	0.15	4.0	0	0	1	;
	2022	2015	9599.180565	20	3.0	0.15	4.0	0	0	1	;
	1009	1008	5050.193156	20	10.0	0.15	4.0	0	0	1	;
	1017	1019	4823.950831	20	2.0	0.15	4.0	0	0	1	;
	1004	1005	17782.7941	20	2.0	0.15	4.0	0	0	1	;
	1017	1016	5229.910063	20	2.0	0.15	4.0	0	0	1	;
	2014	2011	4876.508287	20	4.0	0.15	4.0	0	0	1	;
	1017	1010	4993.510694	20	8.0	0.15	4.0	0	0	1	;
	2001	2003	23403.47319	20	4.0	0.15	4.0	0	0	1	;
	2014	2015	5127.526119	20	5.0	0.15	4.0	0	0	1	;
