ODtype	Origin	Destination	Demand	Cost
Regular	1024	1001	100.0	28.15668798969592
Regular	1024	1004	200.0	28.469140801930553
Regular	1024	1006	100.0	40.78358558032875
Regular	1024	1007	100.0	26.5440872325852
Regular	1024	1008	200.0	32.32879241927601
Regular	1024	1009	200.0	40.7610320011286
Regular	1024	1010	800.0	39.01022574136194
Regular	1024	1011	600.0	26.699243008006384
Regular	1024	1012	500.0	20.12445835309716
Regular	1024	1013	700.0	17.101126408891894
Regular	1024	1014	400.0	13.102464620221571
Regular	1024	1015	400.0	25.66096881188927
Regular	1024	1016	300.0	27.6563452522845
Regular	1024	1017	300.0	37.423554532813824
Regular	1024	1019	100.0	30.093418536812628
Regular	1024	1020	400.0	20.172778073334754
Regular	1024	1021	500.0	12.27419490512972
Regular	1024	1022	1100.0	16.478663155785057
Regular	1024	1023	700.0	3.8768401710696976
Regular	1	2016	200.0	42.82914377648718
Regular	1	2	1000.0	20.111703259759956
Regular	1	1011	300.0	26.751935088179486
Regular	2001	2016	500.0	38.825674941829945
Regular	2001	2017	400.0	42.829466579648745
Regular	2001	2018	100.0	35.645662930317215
Regular	2001	2019	300.0	44.933763827207216
Regular	2001	2020	300.0	39.912730342096346
Regular	2001	2021	100.0	41.15007273740804
Regular	2001	2022	400.0	45.34322935826894
Regular	2001	2023	300.0	32.889940738984365
Regular	2001	2024	100.0	29.158752168730565
Regular	2001	2002	100.0	6.000931201076299
Regular	2001	2003	100.0	4.015401233352574
Regular	2001	2004	500.0	8.318329434052906
Regular	2001	2005	200.0	10.663932617937695
Regular	2001	2006	300.0	12.635788395964807
Regular	2001	2007	500.0	33.579915357956054
Regular	2001	2008	800.0	27.939831661334274
Regular	2001	2009	500.0	20.711432715896326
Regular	2001	2010	1300.0	26.52144942890828
Regular	2001	2011	500.0	15.4516299142328
Regular	2001	2012	200.0	8.059355404194996
Regular	2001	2013	500.0	11.107224283759958
Regular	2001	2014	300.0	29.34715765014511
Regular	2001	2015	500.0	40.6513304240705
Regular	2002	2016	400.0	32.82474374075363
Regular	2002	2017	200.0	42.16395433133696
