source 	 destination 	 fft 	 flow 	 cost(min)
1003	1001	4.0	8238.164405588082	4.009211955150015
1014	1011	4.0	9752.198230453521	13.596778387784797
2016	2010	4.0	11002.995360654508	19.829510121278037
1001	1002	6.0	4638.164405588082	6.000925581254702
1023	1022	4.0	9728.549263460573	12.599309157242203
2004	2003	4.0	15028.600320969645	4.3570854698425165
2001	2002	6.0	4645.188780120962	6.000931201076299
2023	2022	4.0	9686.98068919794	12.453274443068171
1004	1003	4.0	14128.81377046948	4.278946452707739
1011	1010	5.0	17668.8742130812	12.3096533091831
2003	2001	4.0	8045.188780120961	4.008378667437866
2011	2010	5.0	17625.84308625821	12.238704721446222
2020	2021	6.0	6385.551050438782	8.282780019133286
1020	1021	6.0	6237.056487295809	8.077730652020696
1006	1002	5.0	6032.40520457097	6.643364137792915
2013	2024	4.0	11199.999999999998	18.051527884970607
1022	1020	5.0	7000.0	7.713130000305228
2006	2002	5.0	6147.060012145691	6.771909732878706
2014	2011	4.0	9812.712507730861	13.837204152749248
1016	1010	4.0	11239.957581041792	21.237824088971905
2022	2020	5.0	7000.0	7.713130000305228
1009	1008	10.0	6915.157087599951	15.273118167443744
1023	1014	4.0	8460.275503705787	9.225624449151873
1013	1024	4.0	11140.874784377202	17.757155025904716
2020	2018	4.0	19189.184686836317	4.271179019994567
1004	1011	6.0	5500.0	7.418346875225139
2022	2015	3.0	18388.389154084474	9.059692889599091
2008	2006	2.0	12779.743488051505	15.89716681360457
2021	2020	6.0	6328.436693676786	8.202197663057467
2006	2005	4.0	8812.077950748337	10.035974525807802
1002	1001	6.0	4954.188751074556	6.001204814515541
2008	2016	5.0	8445.3729684657	10.88584328049565
1010	1015	6.0	23323.018079957863	13.989190183245489
1023	1024	2.0	8116.943758856751	3.957702471777435
1003	1004	4.0	14641.189564964165	4.32166476738465
1008	1009	10.0	7090.508560922215	15.828661654795404
1016	1018	3.0	15424.877238312281	3.1698275405524186
1004	1005	2.0	18341.189564964163	2.3394933352650873
1010	1011	5.0	17736.653365947794	12.422461908402905
2002	2006	5.0	6024.583254963487	6.634857194888508
2013	1020	5.0	1500.0	5.0029296875
2016	2008	5.0	8465.602556183707	10.942440748081996
2022	2023	4.0	9746.915115312744	12.664429423277298
2018	2016	3.0	15693.61981963578	3.1819758535735945
1018	1007	2.0	16268.244602866796	2.070042683227223
2004	2005	2.0	18423.159837176943	2.345603183884787
1017	1010	8.0	8099.999999999997	16.308017150740408
1015	1019	3.0	19454.225437789293	4.432371848943623
1014	1023	4.0	8378.714395574478	9.027009656292915
1011	1012	6.0	8333.166573663982	13.474324531134856
1010	1016	4.0	11105.200189020863	20.42590560561286
2017	2010	8.0	8099.999999999999	16.30801715074042
1016	1008	5.0	8494.398795741181	11.023708461525041
2011	2012	6.0	8715.877053631295	14.944912158559182
1018	1020	4.0	18856.632635445487	4.252863739841552
2005	2006	4.0	8795.958211700543	9.991929667511428
1015	1014	5.0	9018.199165870847	12.17643949944269
1020	1018	4.0	19700.634007425804	4.301266476023205
2015	2014	5.0	9161.751307992969	12.644405805537932
2016	2018	3.0	15589.917623290541	3.1772133912433946
2021	2022	2.0	8600.344983029574	4.193854706319202
2009	2008	10.0	6908.6611094436585	15.25333216766608
1007	1018	2.0	15599.984890579306	2.059223860186211
1021	1020	6.0	6098.033027776037	7.898583168205034
2015	2019	3.0	18923.81550559744	4.282433403136725
1014	1015	5.0	9135.927644778902	12.55858225714514
2010	2015	6.0	23425.027323781604	14.129880995162207
2022	2021	2.0	8626.146593348481	4.2203002604452475
2006	2008	2.0	12641.146991821506	15.304043265369446
1008	1007	3.0	12199.984890579306	5.636235067135319
2011	2004	6.0	5300.0	7.2230245551941366
2008	2009	10.0	6859.7457229188785	15.106124189120415
2012	2011	6.0	8552.256907859572	14.291911386552853
2002	2001	6.0	4767.665537303166	6.001033363505687
1015	1022	3.0	18389.843568425295	9.061610262533137
1012	1003	4.0	10357.57042404866	4.023017681448744
1007	1008	3.0	12368.244602866796	5.784705186690799
2015	2022	3.0	18474.12519051818	9.173499238125235
1005	1009	5.0	16030.1861662348	9.952397863932914
2007	2008	3.0	12273.886654786678	5.7006940963618105
1019	1020	4.0	8680.423851850323	9.43912745234093
2019	2020	4.0	8676.511501252391	9.429328211323487
2005	2009	5.0	16106.596100318926	10.047500097958633
2005	2004	2.0	19028.600320969646	2.393322355812127
2010	2009	3.0	22736.17112214496	6.206642638066024
1021	1024	3.0	10288.670692438827	11.852463798871423
1011	1014	4.0	9788.365601230264	13.739936211383439
2012	2003	4.0	10247.743092140427	4.022056820702122
2021	2024	3.0	10411.697643787264	12.283532923160022
1005	1004	2.0	18128.813770469482	2.32404013574931
1010	1009	3.0	21598.575576432475	5.611449834711777
2011	2014	4.0	9827.224875492622	13.895527735912292
1012	1011	6.0	8501.554791574134	14.097018486307173
1021	1022	2.0	8611.045426854631	4.204793368343797
1024	1023	2.0	8031.796329746537	3.8768401710696976
2007	2018	2.0	16012.897746052837	2.06574757236116
2014	2015	5.0	9110.651455697063	12.47528004511608
2009	2010	3.0	21997.934990875274	5.810016713011955
1006	1008	2.0	12627.384257813861	15.246200030917183
1024	1013	4.0	11005.614451295576	17.101126408891894
2008	2007	3.0	12204.435132799463	5.640083696621769
1011	1004	6.0	5300.0	7.2230245551941366
2012	2013	3.0	14791.53738674663	3.0478688795649624
1019	1017	2.0	9901.966972223967	7.32593250392148
2020	2022	5.0	7000.0	7.713130000305228
1022	1021	2.0	8651.614205143022	4.246637236763123
1017	1016	2.0	11708.891101010813	9.53715488733163
1001	1003	4.0	8554.188751074555	4.010708911054155
2019	2015	3.0	19071.964377936336	4.323066605050508
2009	2005	5.0	16695.916845063835	10.827769356611121
2010	2017	8.0	8100.0	16.308017150740422
1007	2012	8.0	499.99999999999994	8.000925925925927
1	1002	5.0	300.0	5.00000972
2010	2011	5.0	18003.975599791695	12.880158014161282
1002	1006	5.0	6016.380859084497	6.625972009378111
2016	2017	2.0	11631.246082640582	9.339210590583328
2013	2012	3.0	12300.0	3.0228886641039363
2018	2007	2.0	16082.349268040041	2.0668956624639976
1018	1016	3.0	15700.618898005108	3.1823007029265433
1017	1019	2.0	9991.108898989187	7.5203235797890216
2014	2023	4.0	8448.78637229641	9.197296436120439
1015	1010	6.0	22839.58633860114	13.347112661578382
1022	1023	4.0	9595.257800702097	12.137627827234097
2017	2019	2.0	9940.179445475276	7.408622405963171
1024	1021	3.0	10409.078454630668	12.27419490512972
2003	2012	4.0	12175.660333115338	4.0439541708424205
1021	2	4.0	300.0	4.000007776
2010	2016	4.0	11097.93969946062	20.38299122021974
1005	1006	4.0	8789.219852225779	9.973589697044357
2020	2019	4.0	8646.24342615795	9.353962721540807
1016	1017	2.0	11798.033027776037	9.769316309779068
2018	2020	4.0	19116.030968503874	4.26706741177916
1003	1012	4.0	10161.218975040447	4.021321278259215
2024	2021	3.0	10328.78167670636	11.991320568677445
1020	1019	4.0	9297.399020350234	11.158324628115988
2024	2023	2.0	7871.2183232936395	3.731188570253803
2004	2011	6.0	5200.000000000001	7.133300480179894
1012	1013	3.0	12394.385548704424	3.023599348085928
2023	2014	4.0	8383.174152238742	9.037721154413521
1008	1006	2.0	12672.134837685762	15.43497506244774
1009	1010	3.0	21915.029078634856	5.76789397840571
1006	1005	4.0	8817.94608661121	10.052068488988631
1022	1015	3.0	18482.56625289538	9.184789974263415
2023	2024	2.0	7996.764969466112	3.844309782601468
1008	1016	5.0	8442.556454834505	10.877995543342296
2019	2017	2.0	9961.76249804194	7.455750460600416
2003	2004	4.0	14423.159837176943	4.302928200700332
1020	1022	5.0	7000.0	7.713130000305228
2015	2010	6.0	23036.340307390885	13.603572761393911
2013	2	5.0	1200.0	5.00248832
2001	2003	4.0	9367.665537303168	4.015401233352574
1013	1012	3.0	12359.125215622795	3.0233319442052666
1	2001	4.0	1200.0000000000002	4.001990656
2017	2016	2.0	11652.829135207241	9.393837244521109
1019	1015	3.0	18660.34253305443	4.212490783461184
2024	2013	4.0	11308.462613253376	18.603794905214265
1009	1005	5.0	15789.084137354688	9.661106429182276
1010	1017	8.0	8100.0	16.308017150740422
