source 	 destination 	 fft 	 flow 	 cost(min)
1003	1001	4.0	8243.559300440287	4.0092361092533455
1014	1011	4.0	9751.558215582245	13.594259375710026
2016	2010	4.0	11108.300039710855	20.444253470527805
1001	1002	6.0	4643.559300440288	6.000929895144441
1023	1022	4.0	9727.076576329098	12.594103358808034
2004	2003	4.0	14088.005887071537	4.275737692897691
2001	2002	6.0	4270.530884082098	6.00066520800025
2023	2022	4.0	9796.068689540845	12.840534430440972
1004	1003	4.0	14131.356270397384	4.27914729413957
1011	1010	5.0	17668.865991278668	12.30963970367923
2003	2001	4.0	7670.5308840821	4.006923595507386
2011	2010	5.0	17859.974683490855	12.63105562304311
2020	2021	6.0	6780.358764887964	8.901891921769911
1020	1021	6.0	6241.814033815208	8.084077374143064
1006	1002	5.0	6028.697652546186	6.639327775465633
2013	2024	4.0	10194.463896369849	13.6451509195468
2006	2002	5.0	6585.3973397933105	7.333993902203036
1022	1020	5.0	7000.0	7.713130000305228
2014	2011	4.0	9905.583807543968	14.2149369651704
1016	1010	4.0	11239.821001513847	21.236986259843768
2022	2020	5.0	7000.0	7.713130000305228
1009	1008	10.0	6921.824448340762	15.29348424746922
1023	1014	4.0	8459.051729273273	9.22260156972966
1013	1024	4.0	11138.726849033683	17.74654870079373
2020	2018	4.0	19264.51001324176	4.275462107139356
1004	1011	6.0	5500.0	7.418346875225139
2022	2015	3.0	18396.63680385363	9.0705718978718
2008	2006	2.0	12621.81068106578	15.222828651794108
2021	2020	6.0	6713.339194988536	8.788848356641164
2006	2005	4.0	9036.41334127247	10.674495270879564
1002	1001	6.0	4955.961912752076	6.0012065403102035
2008	2016	5.0	8643.391064161124	11.457583194060025
1010	1015	6.0	23316.29481714002	13.979982077527982
1023	1024	2.0	8117.940238255829	3.958664000898664
1003	1004	4.0	14645.385473969836	4.322033659922925
1008	1009	10.0	7089.234154602053	15.824472346901853
1016	1018	3.0	15432.226726956655	3.170151442752859
1004	1005	2.0	18345.38547396984	2.339804105082989
1010	1011	5.0	17736.9882177782	12.42302244150677
2002	2006	5.0	6470.530884082099	7.175361506327276
