Origin 	 destination 	 od demand 	od travel time
1024	1001	100.0	28.164763978894342
1024	1004	200.0	28.47756152956392
1024	1006	100.0	40.7915731119501
1024	1007	100.0	26.53519946662975
1024	1008	200.0	32.31892078473317
1024	1009	200.0	40.767895234645096
1024	1010	800.0	39.003238546433515
1024	1011	600.0	26.69359884292838
1024	1012	500.0	20.132473630942425
1024	1013	700.0	17.109125462749503
1024	1014	400.0	13.099339467218355
1024	1015	400.0	25.655967170579547
1024	1016	300.0	27.6478005298912
1024	1017	300.0	37.414021870636894
1024	1019	100.0	30.085560653315884
1024	1020	400.0	20.16405210879845
1024	1021	500.0	12.26693200157884
1024	1022	1100.0	16.47084125601726
1024	1023	700.0	3.876737897488696
1	2016	200.0	43.28075049694328
1	2	1000.0	20.099415507896744
1	1011	300.0	26.752314588493483
2001	2016	500.0	39.27875984094328
2001	2017	400.0	44.18016949523031
2001	2018	100.0	36.07997456341164
2001	2019	300.0	46.46450798786449
2001	2020	300.0	40.35180558487766
2001	2021	100.0	37.501026349181984
2001	2022	400.0	43.05588514457777
2001	2023	300.0	30.21535071961
2001	2024	100.0	24.740087451443568
2001	2002	100.0	6.00066520800025
2001	2003	100.0	4.0130370443357455
2001	2004	500.0	8.245066530456702
2001	2005	200.0	10.595946681197162
2001	2006	300.0	13.176026714327525
2001	2007	500.0	34.01605369249336
2001	2008	800.0	27.82117664688325
2001	2009	500.0	20.027053851387876
2001	2010	1300.0	27.872152344489933
2001	2011	500.0	16.831556835943253
2001	2012	200.0	8.050175166907856
2001	2013	500.0	11.094936531896739
2001	2014	300.0	31.147664461998865
2001	2015	500.0	42.427430948131956
2002	2016	400.0	33.278094632943024
2002	2017	200.0	43.02323551921525
2002	2019	100.0	44.22479972273655
2002	2020	100.0	34.35114037687741
2002	2022	100.0	42.07765575441461
2002	2001	100.0	6.000739717325933
2002	2003	100.0	10.01377676166168
2002	2004	200.0	14.245806247782609
2002	2005	100.0	16.59668639852309
2002	2006	400.0	7.175361506327275
2002	2007	200.0	28.01538848449311
2002	2008	400.0	21.820511438883003
2002	2009	200.0	27.280963947397534
2002	2010	600.0	35.12606244049961
2002	2011	200.0	28.833885425476737
2002	2012	100.0	14.050914884233814
2002	2013	300.0	17.095676249222677
2002	2014	100.0	43.149993051532356
2002	2015	100.0	49.681341044141575
2003	2016	200.0	43.285683069796384
2003	2017	100.0	40.16713245089458
2003	2022	100.0	39.04284810024197
2003	2023	100.0	26.202313675274258
2003	2001	100.0	4.006923595507386
2003	2002	100.0	10.007588803507636
2003	2004	200.0	4.232029486120924
2003	2005	100.0	6.582909636861415
2003	2006	300.0	17.18295030554197
2003	2007	100.0	38.02297692134647
2003	2008	200.0	31.82809987573637
2003	2009	100.0	16.014016807052126
2003	2010	300.0	23.85911530015418
2003	2011	300.0	12.818519791607505
2003	2012	200.0	4.037138122572124
2003	2013	100.0	7.081899487561
2003	2014	100.0	27.134627417663122
2003	2015	100.0	38.41439390379616
2004	2016	800.0	39.0536535836755
2004	2017	500.0	35.93510296477363
2004	2018	100.0	35.85486830614386
2004	2019	200.0	38.21944145740783
2004	2020	300.0	40.12669932760988
2004	2021	200.0	50.58471699985276
2004	2022	400.0	56.13957579524845
2004	2023	500.0	43.299041370280776
2004	2024	200.0	37.82377810211429
2004	2001	500.0	8.282661288405105
2004	2002	200.0	14.283326496405328
2004	2003	200.0	4.275737692897691
2004	2005	500.0	2.350880150740511
2004	2006	400.0	12.950920457059746
2004	2007	400.0	33.790947435225576
2004	2008	700.0	27.596070389615473
2004	2009	700.0	11.7819873209312
2004	2010	1200.0	19.627085814033272
2004	2011	1400.0	8.586490305486583
2004	2012	600.0	8.312875815469825
2004	2013	600.0	11.357637180458688
2004	2014	500.0	22.902597931542214
2004	2015	500.0	34.18236441767529
2005	2016	500.0	36.70277343293502
2005	2017	200.0	33.584222814033154
2005	2019	100.0	35.868561306667345
2005	2020	100.0	37.77581917686938
2005	2021	100.0	52.98225534263609
2005	2022	200.0	57.975458865783835
2005	2023	100.0	45.69657971306404
2005	2001	200.0	10.680199631188396
2005	2002	100.0	16.680864839188647
2005	2003	100.0	6.673276035681014
2005	2004	500.0	2.39753834278332
2005	2006	200.0	10.60004030631925
2005	2007	200.0	31.44006728448508
2005	2008	500.0	25.24519023887498
2005	2009	800.0	9.431107170190707
2005	2010	1000.0	17.276205663292778
2005	2011	500.0	10.984028648269902
2005	2012	200.0	10.710414158253142
2005	2013	200.0	13.755175523242004
2005	2014	100.0	25.30013627432554
2005	2015	200.0	31.831484266934766
2006	2016	900.0	26.102733126615753
2006	2017	500.0	35.84787401288796
2006	2018	100.0	22.903947849084105
2006	2019	200.0	37.04943821640927
2006	2020	300.0	27.17577887055013
2006	2021	100.0	36.07767079232004
2006	2022	200.0	34.90229424808733
2006	2023	100.0	56.3710749839436
2006	2024	100.0	50.895811715777164
2006	2001	300.0	13.33473361952897
2006	2002	400.0	7.333993902203035
2006	2003	300.0	17.34777068378193
2006	2004	400.0	13.072033613662889
2006	2005	200.0	10.674495270879566
2006	2007	400.0	20.840026978165827
2006	2008	800.0	14.645149932555729
2006	2009	400.0	20.10560244107027
2006	2010	800.0	27.950700934172342
2006	2011	400.0	21.658523919149467
2006	2012	200.0	21.384908786436846
2006	2013	200.0	24.429670202915943
2006	2014	100.0	35.97463154520509
2006	2015	200.0	42.50597953781434
2007	2016	1400.0	5.262706148403508
2007	2017	1000.0	15.007847034675715
2007	2018	200.0	2.0639208709182775
2007	2019	400.0	16.209411238243437
2007	2020	500.0	6.335751892384298
2007	2021	200.0	15.23764381415421
2007	2022	500.0	14.062267269921495
2007	2023	200.0	27.143286614369053
2007	2024	100.0	28.39825868692696
2007	2001	500.0	34.82676023827421
2007	2002	200.0	28.826020520948283
2007	2003	100.0	38.8397979253058
2007	2004	400.0	34.564060232408124
2007	2005	200.0	32.1665218896248
2007	2006	400.0	21.492026618745243
2007	2008	1000.0	6.269197966951134
2007	2009	600.0	23.593960389493574
2007	2010	1900.0	25.706959618931315
2007	2011	500.0	39.346948436263766
2007	2012	700.0	53.218473374741926
2007	2013	400.0	63.300516561496046
2007	2014	200.0	33.32981394859324
2007	2015	500.0	20.27848673583384
2008	2016	2200.0	11.457583194060025
2008	2017	1400.0	21.20272408033223
2008	2018	300.0	8.258797916528382
2008	2019	700.0	22.404288283853536
2008	2020	900.0	12.530628937994402
