iteration 	 gap
0	0.30311673686479645
1	0.39989470883789935
2	0.18068007469306835
3	0.10936603002164214
4	0.07631046267057529
5	0.05312448711537121
6	0.03932435527653577
7	0.029828573021961957
8	0.02334438850723053
9	0.019049814578593116
10	0.01503860883611996
11	0.009883587134732474
12	0.012737974546171427
13	0.009785547076843537
14	0.007422191942371481
15	0.006464798016150408
16	0.005491711763011886
17	0.003981142769063806
18	0.003144426425442881
19	0.003092360029303687
20	0.002999309827092067
21	0.0022132621017465492
22	0.0016926866702871024
23	0.0014915186049735407
24	0.0011195063145768014
25	7.86425338983987E-4
26	7.122642209664853E-4
27	9.519515616779328E-4
28	6.766224069758575E-4
29	3.5514851307705264E-4
30	4.090874834200564E-4
31	2.492147597968897E-4
32	2.0247983490540022E-4
33	2.68445930318828E-4
34	1.888531723366338E-4
35	2.2132937240082473E-4
36	4.735761052288012E-5
37	4.496453140001577E-5
38	9.5299315185704E-5
39	4.646899032412222E-5
40	2.939341776220239E-5
41	2.755327469827762E-5
42	4.6342187608905405E-5
43	3.717912913514532E-5
44	2.343853825081954E-5
45	3.460287571432907E-5
46	2.610180347240032E-5
47	2.269097828311306E-5
48	2.461644962603593E-5
49	2.16419900160858E-5
50	1.823027146918843E-5
51	1.85748867694846E-5
52	2.474546922726084E-5
53	1.9905933310804258E-5
54	1.7398268206458845E-5
55	1.850459189267628E-5
56	1.86070946790462E-5
57	1.7369833713365423E-5
58	1.602765228969627E-5
59	1.648426117695223E-5
60	1.519335098387753E-5
61	1.4761697958776132E-5
62	1.5510940538754348E-5
63	1.3677145627388754E-5
64	1.701710848955873E-5
65	1.4421837723932462E-5
66	1.39542795342118E-5
67	1.4418753488287805E-5
68	1.3304830241422927E-5
69	1.3482940214193384E-5
70	1.3340493047686586E-5
71	1.2496911989567927E-5
72	1.2726286273800902E-5
73	1.2885809756446598E-5
74	1.199246679739474E-5
75	1.2256635597784893E-5
76	1.2377803618957017E-5
77	1.1506638728731033E-5
78	1.1655776725794098E-5
79	1.1764412625736576E-5
80	1.1128293803563949E-5
81	1.1163428362381822E-5
82	1.128193574362335E-5
83	1.0712225492537364E-5
84	1.0757042084086343E-5
85	1.0840485491825369E-5
86	1.034121009413358E-5
87	1.0623375317098116E-5
88	1.010965502756811E-5
89	1.0155321704674591E-5
90	1.024767678470262E-5
91	9.809409254657453E-6
92	9.843048247248909E-6
93	9.917341438847593E-6
94	9.522730997746365E-6
95	9.744294010460841E-6
96	9.346414648225831E-6
97	9.372995588452504E-6
98	9.454305606393376E-6
99	9.10098018780392E-6
100	9.126185750885085E-6
101	9.189931558739595E-6
102	8.876007537739206E-6
103	9.049392952209523E-6
104	8.734365632645513E-6
105	8.75416000456486E-6
106	8.804224616354439E-6
107	8.541701396302948E-6
108	8.547853572293818E-6
109	8.611636087008101E-6
110	8.358849707512661E-6
