iteration 	 gap
0	0.5008092358905742
1	0.29055063886336696
2	0.21579860601272316
3	0.19560062031304837
4	0.15702619082760216
5	0.13658765914463922
6	0.1264481466165216
7	0.10597519877599171
8	0.08391642367767971
9	0.06601769184350414
10	0.06545268474002708
11	0.06117920908051111
12	0.053290646393687746
13	0.036131994274310464
14	0.031116306492359413
15	0.022292579014088543
16	0.019820459414290892
17	0.01735444761398075
18	0.016594445279722425
19	0.014017785116712256
20	0.01084939035007515
21	0.008755669030178326
22	0.005879775290535072
23	0.005493224442251421
24	0.005436652741158787
25	0.003350662946958183
26	0.00327060629396958
27	0.0030955937588789117
28	0.002395872966638457
29	0.0018197797358644463
30	0.0014123535492479578
31	0.0012500223737850202
32	0.0010072872951266687
33	7.704579219641738E-4
34	7.719262688310469E-4
35	6.458805365598952E-4
36	5.375042957445064E-4
37	5.057090837020661E-4
38	4.555550484796056E-4
39	3.867205645874394E-4
40	3.5679330968385603E-4
41	4.204591775371913E-4
42	1.895270533294191E-4
43	1.728914255435532E-4
44	1.0769650978825762E-4
45	1.0390344230082338E-4
46	1.0293971541019964E-4
47	1.0983905431527496E-4
48	1.06858734441162E-4
49	1.0878093382349352E-4
50	3.747088821814959E-5
51	3.229995448272849E-5
52	3.165125165516258E-5
53	3.6380548501302457E-5
54	1.7064526954047032E-5
55	2.1727905862634067E-5
56	2.6051643364111143E-5
57	1.5282379919989708E-5
58	1.658713534269385E-5
59	1.5303937132671308E-5
60	6.563317833108151E-6
61	1.0979458522686336E-5
62	5.633270274918445E-6
63	5.491813759084252E-6
64	3.962837846649414E-6
65	3.1522697896413376E-6
66	3.1945635571295483E-6
67	2.995822028784012E-6
68	2.5549127464774557E-6
69	1.790938374157669E-6
70	2.054853246225008E-6
71	1.5903934430516742E-6
72	1.1957270503737405E-6
73	1.2855241112719185E-6
74	1.3892993147024413E-6
75	1.3521605415345306E-6
76	1.11118951751088E-6
77	1.2428401814368328E-6
78	9.95181091645314E-7
79	9.72250564723609E-7
80	9.068869383233036E-7
81	9.564475165202424E-7
82	7.370807534323731E-7
83	7.050952876008765E-7
84	6.420686492480954E-7
85	6.282673570279229E-7
86	5.909518213664811E-7
87	5.747256877075557E-7
88	5.226696903060102E-7
89	5.772568818507295E-7
90	5.07734084997935E-7
91	4.884308987262997E-7
92	5.247697593135925E-7
93	4.712866872313981E-7
94	4.5120598612946594E-7
95	4.5036458418135084E-7
96	4.218329021643541E-7
97	4.5966924555607136E-7
98	3.9223122361153884E-7
99	3.758358357863756E-7
100	4.136272229171567E-7
101	3.590154858956751E-7
102	3.4519862268656E-7
103	3.456993862283042E-7
104	3.2334064414829555E-7
105	9.38525228644238E-8
106	2.5049869589732765E-7
107	8.109435578607105E-8
108	6.170052591070174E-8
109	7.842579019534668E-8
110	5.830400340300912E-8
111	5.577476969165218E-8
112	6.979383748717538E-8
113	4.805057263190804E-8
114	4.3530412274783714E-8
115	6.124167573062778E-8
116	3.8070194330330764E-8
117	3.224041122962262E-8
118	2.69029246657837E-8
119	3.2102307701009636E-8
120	2.5984557061597968E-8
121	2.2089648665790662E-8
122	8.770792869761124E-9
123	5.665137137178533E-9
124	8.291019870654281E-9
125	8.12638545344413E-9
126	5.350819676230856E-9
127	6.864542156925779E-9
128	7.623306208515146E-9
129	4.849897483616417E-9
130	2.782934660494618E-9
131	3.766857159526182E-9
132	2.3473711863175595E-9
133	2.487644756854479E-9
134	1.6507432087919938E-9
135	2.1318660170521753E-9
136	2.0239425690959933E-9
137	1.3520288222323984E-9
138	8.51086645603516E-10
139	8.208332902270854E-10
140	7.675156066255795E-10
141	4.049456325816436E-10
142	6.136494645758717E-10
143	3.552574900922423E-10
144	3.494777800483462E-10
145	3.6215330734279405E-10
146	3.68860497701462E-10
147	1.3760881323321428E-10
148	1.4174328377691836E-10
149	1.426432305606795E-10
150	1.5284074006416404E-10
151	1.4313394913756383E-10
152	1.473433597354301E-10
153	5.956024562436824E-11
154	6.022593534993348E-11
155	6.011546815898328E-11
156	6.035105748480873E-11
157	5.87292436904363E-11
158	5.94516658125599E-11
159	5.833433736057714E-11
160	5.769806854516446E-11
161	5.7373439332764065E-11
162	5.656153323485569E-11
163	5.913014522462845E-11
164	5.4966475815376725E-11
165	5.595801599866945E-11
166	5.790545820616444E-11
167	5.249656265249314E-11
168	5.184042084493967E-11
169	5.568245864395749E-11
170	4.980993395520272E-11
171	4.9212300901047E-11
172	4.9142689917403004E-11
173	4.79730699609604E-11
174	4.479194792850194E-11
175	4.664990616021214E-11
176	4.668798680995678E-11
177	4.53100890140945E-11
178	9.861245153786058E-11
179	9.524159239049368E-11
180	9.421385893659817E-11
181	9.308953607956028E-11
182	8.860323585935248E-11
183	9.02573571437415E-11
184	8.886580360467633E-11
185	8.486422675701988E-11
186	8.577483168181743E-11
187	8.45069569876955E-11
188	8.098377524135003E-11
189	7.993705697373343E-11
190	8.083245184309362E-11
191	7.804112911458105E-11
192	7.700684534484026E-11
193	7.543121682829224E-11
194	7.075828811764495E-11
195	7.268141644090065E-11
196	6.880307434897759E-11
197	6.99093005707141E-11
198	6.715272782287229E-11
199	6.705591637512498E-11
200	6.25817175858856E-11
201	6.352285364386034E-11
202	6.363598537006965E-11
203	6.136124941491516E-11
204	6.156686271907574E-11
205	5.896849675224303E-11
206	5.641032085890174E-11
207	5.552180937229423E-11
208	5.5332738391200564E-11
209	5.3677839950694306E-11
210	5.057110286088573E-11
211	5.23068255375847E-11
212	5.140132763870042E-11
213	4.979794354653677E-11
214	4.762223948517885E-11
215	4.842581891040254E-11
216	4.643951889704567E-11
217	4.820899235369325E-11
218	4.43187708754067E-11
219	4.4348191785559266E-11
220	4.2896242113954486E-11
221	4.388045482528469E-11
222	4.186495594638018E-11
223	4.1233239045368464E-11
224	3.9821035358045265E-11
225	4.0133896206384634E-11
226	3.928113390117005E-11
227	3.714317742264939E-11
228	3.5364933204107274E-11
229	3.556688277228659E-11
230	3.5915825868926277E-11
231	9.88321646744339E-11
232	9.76643210748307E-11
233	9.613709828215633E-11
234	9.306377890538897E-11
235	9.265344047548751E-11
236	9.187395288989819E-11
237	8.698552989017116E-11
238	8.738731960278301E-11
239	8.78117578650972E-11
240	8.626388492416481E-11
241	8.078426816382489E-11
242	7.903078191873192E-11
243	7.770128984674329E-11
244	7.872769103300925E-11
245	7.612921404387407E-11
246	7.651412836651161E-11
247	7.142986202524071E-11
248	6.958122966693736E-11
249	6.986966560873498E-11
250	6.76677602839959E-11
251	6.548128705929912E-11
252	6.758427151254409E-11
253	6.393552354211351E-11
254	6.449452083501228E-11
255	6.215683523436155E-11
256	6.275524544463451E-11
257	6.185829626303985E-11
258	5.919442713775425E-11
259	5.8055782403698686E-11
260	5.514533274464384E-11
261	5.438149930370173E-11
262	5.667022406896649E-11
263	5.4589555098516485E-11
264	5.295897054224952E-11
265	5.204603414910025E-11
266	5.095324162596171E-11
267	5.191014285088613E-11
268	4.72589745115215E-11
269	4.8178017131306206E-11
270	4.657885188663613E-11
271	4.490585681082848E-11
272	4.393385655276916E-11
273	4.4170778146224166E-11
274	4.1775694015200315E-11
275	4.160871647229669E-11
276	4.111477824864096E-11
277	3.8161696025440506E-11
278	3.86335408109062E-11
279	3.879074839119312E-11
280	3.7984282386105406E-11
281	3.8059222440267604E-11
282	9.861611527384184E-11
283	9.436518233485458E-11
284	9.530953803960074E-11
285	9.340439532934397E-11
286	8.927858452523196E-11
287	8.900791215182835E-11
288	8.380685034836688E-11
289	8.283074226511644E-11
290	8.348399749280588E-11
291	7.89893705999134E-11
292	7.860212480892415E-11
293	7.9032003164059E-11
294	7.540246205195444E-11
295	7.379308275545782E-11
296	7.373501809126992E-11
297	7.092937348573969E-11
298	7.116218725400358E-11
299	6.909017802314565E-11
300	6.771294636109815E-11
301	6.58580967538569E-11
302	6.65043575764912E-11
303	6.46973585816113E-11
304	6.299705201939787E-11
305	6.253442208503657E-11
306	6.09592376576984E-11
307	5.976241723715248E-11
308	5.686540127669559E-11
309	5.802813785038552E-11
310	5.625089283256557E-11
311	5.4907300928164204E-11
312	5.471201269813264E-11
313	5.1518012078588526E-11
314	5.1739057482791395E-11
315	5.0785708971545773E-11
316	4.906453021646939E-11
317	4.847733325874515E-11
318	4.719835633437697E-11
319	4.782174656270399E-11
320	9.961986791040545E-11
