source	dest	fft	coef	power	capacity
1023	1014	4.0	0.15	4.0	4924.790605
1012	1003	4.0	0.15	4.0	23403.47319
1013	1024	4.0	0.15	4.0	5091.256152
2003	2012	4.0	0.15	4.0	23403.47319
2003	2004	4.0	0.15	4.0	17110.52372
2003	2001	4.0	0.15	4.0	23403.47319
1023	1024	2.0	0.15	4.0	5078.508436
1023	1022	4.0	0.15	4.0	5000.0
1012	1013	3.0	0.15	4.0	25900.20064
1012	1011	6.0	0.15	4.0	4908.82673
1001	1003	4.0	0.15	4.0	23403.47319
1001	1002	6.0	0.15	4.0	25900.20064
1022	1023	4.0	0.15	4.0	5000.0
1011	1014	4.0	0.15	4.0	4876.508287
1022	1021	2.0	0.15	4.0	5229.910063
2012	2013	3.0	0.15	4.0	25900.20064
1022	1020	5.0	0.15	4.0	5075.697193
1011	1012	6.0	0.15	4.0	4908.82673
2001	2002	6.0	0.15	4.0	25900.20064
2001	2003	4.0	0.15	4.0	23403.47319
1011	1010	5.0	0.15	4.0	10000.0
1022	1015	3.0	0.15	4.0	9599.180565
1011	1004	6.0	0.15	4.0	4908.82673
2012	2003	4.0	0.15	4.0	23403.47319
2002	2006	5.0	0.15	4.0	4958.180928
2013	2012	3.0	0.15	4.0	25900.20064
2002	2001	6.0	0.15	4.0	25900.20064
1021	2	4.0	0.15	4.0	5000.0
1010	1017	8.0	0.15	4.0	4993.510694
1021	1024	3.0	0.15	4.0	4885.357564
1010	1016	4.0	0.15	4.0	4854.917717
1010	1015	6.0	0.15	4.0	13512.00155
1021	1022	2.0	0.15	4.0	5229.910063
1021	1020	6.0	0.15	4.0	5059.91234
1010	1011	5.0	0.15	4.0	10000.0
1010	1009	3.0	0.15	4.0	13915.78842
1020	1022	5.0	0.15	4.0	5075.697193
1020	1021	6.0	0.15	4.0	5059.91234
1020	1019	4.0	0.15	4.0	5002.607563
2013	2	5.0	0.15	4.0	5000.0
1020	1018	4.0	0.15	4.0	23403.47319
1009	1010	3.0	0.15	4.0	13915.78842
1009	1008	10.0	0.15	4.0	5050.193156
1009	1005	5.0	0.15	4.0	10000.0
2013	1020	5.0	0.15	4.0	6000.0
1019	1015	3.0	0.15	4.0	14564.75315
1008	1007	3.0	0.15	4.0	7841.81131
1008	1006	2.0	0.15	4.0	4898.587646
1018	1007	2.0	0.15	4.0	23403.47319
1008	1016	5.0	0.15	4.0	5045.822583
1007	2012	8.0	0.15	4.0	3000.0
1019	1020	4.0	0.15	4.0	5002.607563
1019	1017	2.0	0.15	4.0	4823.950831
1008	1009	10.0	0.15	4.0	5050.193156
1018	1020	4.0	0.15	4.0	23403.47319
1018	1016	3.0	0.15	4.0	19679.89671
1007	1008	3.0	0.15	4.0	7841.81131
1006	1005	4.0	0.15	4.0	4947.995469
1006	1002	5.0	0.15	4.0	4958.180928
1017	1010	8.0	0.15	4.0	4993.510694
1007	1018	2.0	0.15	4.0	23403.47319
1017	1019	2.0	0.15	4.0	4823.950831
1006	1008	2.0	0.15	4.0	4898.587646
1017	1016	2.0	0.15	4.0	5229.910063
1016	1018	3.0	0.15	4.0	19679.89671
1005	1009	5.0	0.15	4.0	10000.0
1016	1017	2.0	0.15	4.0	5229.910063
1	2001	4.0	0.15	4.0	5000.0
1005	1006	4.0	0.15	4.0	4947.995469
1005	1004	2.0	0.15	4.0	17782.7941
1016	1010	4.0	0.15	4.0	4854.917717
1016	1008	5.0	0.15	4.0	5045.822583
2005	2006	4.0	0.15	4.0	4947.995469
1015	1014	5.0	0.15	4.0	5127.526119
2005	2004	2.0	0.15	4.0	17782.7941
1004	1005	2.0	0.15	4.0	17782.7941
1004	1003	4.0	0.15	4.0	17110.52372
1015	1010	6.0	0.15	4.0	13512.00155
1	1002	5.0	0.15	4.0	5000.0
1015	1022	3.0	0.15	4.0	9599.180565
2006	2005	4.0	0.15	4.0	4947.995469
1015	1019	3.0	0.15	4.0	14564.75315
2006	2002	5.0	0.15	4.0	4958.180928
1004	1011	6.0	0.15	4.0	4908.82673
1014	1023	4.0	0.15	4.0	4924.790605
1003	1012	4.0	0.15	4.0	23403.47319
1014	1015	5.0	0.15	4.0	5127.526119
1003	1004	4.0	0.15	4.0	17110.52372
2004	2005	2.0	0.15	4.0	17782.7941
1014	1011	4.0	0.15	4.0	4876.508287
2004	2003	4.0	0.15	4.0	17110.52372
1003	1001	4.0	0.15	4.0	23403.47319
1024	1023	2.0	0.15	4.0	5078.508436
1002	1006	5.0	0.15	4.0	4958.180928
1024	1021	3.0	0.15	4.0	4885.357564
1013	1012	3.0	0.15	4.0	25900.20064
1002	1001	6.0	0.15	4.0	25900.20064
1024	1013	4.0	0.15	4.0	5091.256152
