source 	 destination 	 fft 	 flow 	 cost(min)
1003	1001	4.0	8243.559297882506	4.009236109241883
1014	1011	4.0	9751.558216096239	13.594259377732834
2016	2010	4.0	11002.946364767582	19.829228170524765
1001	1002	6.0	4643.559297882505	6.000929895142393
1023	1022	4.0	9727.0765709955	12.594103339958592
2004	2003	4.0	15036.115050386481	4.3578002174474
2001	2002	6.0	4650.175630168671	6.00093520629002
2023	2022	4.0	9687.024118204046	12.453426036134369
1004	1003	4.0	14131.356254196991	4.279147292859496
1011	1010	5.0	17668.866001720544	12.309639720958518
2003	2001	4.0	8050.175630168672	4.008399460995137
2011	2010	5.0	17624.76592864563	12.236935385108417
2020	2021	6.0	6389.221199347073	8.288032733211246
1020	1021	6.0	6241.814035326635	8.084077376161666
1006	1002	5.0	6028.697673060682	6.639327797778899
2013	2024	4.0	11200.0	18.051527884970618
1022	1020	5.0	7000.0	7.713130000305228
2006	2002	5.0	6142.809928147049	6.767014411461107
2014	2011	4.0	9815.704096618378	13.849205862267224
1016	1010	4.0	11239.821001570075	21.23698626018869
2022	2020	5.0	7000.0	7.713130000305228
1009	1008	10.0	6921.8244521292545	15.293484259058264
1023	1014	4.0	8459.051726051664	9.222601561773603
1013	1024	4.0	11138.726847898895	17.746548695191862
2020	2018	4.0	19174.538702718448	4.2703520669026815
1004	1011	6.0	5500.0	7.418346875225139
2022	2015	3.0	18391.01580560945	9.063155968859235
2008	2006	2.0	12779.87729009113	15.897748827936608
2021	2020	6.0	6323.591496318516	8.195461190733342
2006	2005	4.0	8810.523742101308	10.03171733140901
1002	1001	6.0	4955.961918063553	6.001206540315377
2008	2016	5.0	8449.225852130188	10.896591411026101
1010	1015	6.0	23316.294813563163	13.979982072631277
1023	1024	2.0	8117.940243777641	3.9586640062277856
1003	1004	4.0	14645.385465813175	4.322033659205506
1008	1009	10.0	7089.234157404908	15.824472356113088
1016	1018	3.0	15432.22674096437	3.17015144337064
1004	1005	2.0	18345.38546581318	2.3398041044786586
1010	1011	5.0	17736.98822331932	12.423022450782728
2002	2006	5.0	6023.6320103259	6.633824903830288
2013	1020	5.0	1500.0	5.0029296875
2016	2008	5.0	8465.439405796928	10.941982666817953
2022	2023	4.0	9746.05287511627	12.66136390851163
2018	2016	3.0	15689.281620485017	3.1817747221019577
1018	1007	2.0	16267.152004472378	2.0700238684587458
2004	2005	2.0	18426.70259624461	2.3458690974507825
1017	1010	8.0	8100.0	16.308017150740422
1015	1019	3.0	19444.78474250339	4.429593481625572
1014	1023	4.0	8376.849411007926	9.0225353824449
1011	1012	6.0	8332.65210387679	13.4724789143308
1010	1016	4.0	11103.526530473744	20.41600568749997
2017	2010	8.0	8100.0	16.308017150740422
1016	1008	5.0	8494.465128969716	11.023896621615027
2011	2012	6.0	8719.577268808785	14.960111630768782
1018	1020	4.0	18865.07473649199	4.2533168716956435
2005	2006	4.0	8796.741585729136	9.99406453403661
1015	1014	5.0	9018.071911370494	12.176034445228908
1020	1018	4.0	19698.296021197355	4.3011234894580745
2015	2014	5.0	9160.80980851465	12.641264006774641
2016	2018	3.0	15582.88385617216	3.176893791245406
2021	2022	2.0	8604.166897469448	4.197757022236054
2009	2008	10.0	6917.051553998949	15.278899005665359
1007	1018	2.0	15609.299273935378	2.0593654316016754
1021	1020	6.0	6096.8578861851865	7.8971201002361155
2015	2019	3.0	18916.466862914727	4.280442545262041
1014	1015	5.0	9135.336977544515	12.556627699669178
2010	2015	6.0	23416.372285167166	14.117872395064111
2022	2021	2.0	8622.331357015857	4.21637482195073
2006	2008	2.0	12646.917215897807	15.328351151050645
1008	1007	3.0	12209.299273935378	5.644295089881526
2011	2004	6.0	5300.0	7.2230245551941366
2008	2009	10.0	6856.788277166482	15.097324258101212
2012	2011	6.0	8549.665393429492	14.281865456940299
2002	2001	6.0	4769.353547989819	6.001034827748702
