source	dest	fft	coef	power	capacity
2024	2013	4.0	0.15	4.0	5091.256152
2014	2023	4.0	0.15	4.0	4924.790605
2003	2012	4.0	0.15	4.0	23403.47319
2014	2015	5.0	0.15	4.0	5127.526119
2003	2004	4.0	0.15	4.0	17110.52372
2014	2011	4.0	0.15	4.0	4876.508287
2003	2001	4.0	0.15	4.0	23403.47319
2023	2022	4.0	0.15	4.0	5000.0
2012	2013	3.0	0.15	4.0	25900.20064
2001	2002	6.0	0.15	4.0	25900.20064
2001	2003	4.0	0.15	4.0	23403.47319
2012	2011	6.0	0.15	4.0	4908.82673
2023	2014	4.0	0.15	4.0	4924.790605
2012	2003	4.0	0.15	4.0	23403.47319
2013	2024	4.0	0.15	4.0	5091.256152
2002	2006	5.0	0.15	4.0	4958.180928
2024	2023	2.0	0.15	4.0	5078.508436
2013	2012	3.0	0.15	4.0	25900.20064
2024	2021	3.0	0.15	4.0	4885.357564
2002	2001	6.0	0.15	4.0	25900.20064
2011	2014	4.0	0.15	4.0	4876.508287
2022	2023	4.0	0.15	4.0	5000.0
2011	2012	6.0	0.15	4.0	4908.82673
2022	2020	5.0	0.15	4.0	5075.697193
2022	2021	2.0	0.15	4.0	5229.910063
2011	2010	5.0	0.15	4.0	10000.0
2022	2015	3.0	0.15	4.0	9599.180565
2011	2004	6.0	0.15	4.0	4908.82673
2013	2	5.0	0.15	4.0	5000.0
2023	2024	2.0	0.15	4.0	5078.508436
2009	2005	5.0	0.15	4.0	10000.0
2021	2024	3.0	0.15	4.0	4885.357564
2010	2016	4.0	0.15	4.0	4854.917717
2010	2017	8.0	0.15	4.0	4993.510694
2021	2022	2.0	0.15	4.0	5229.910063
2010	2015	6.0	0.15	4.0	13512.00155
2021	2020	6.0	0.15	4.0	5059.91234
2010	2011	5.0	0.15	4.0	10000.0
2010	2009	3.0	0.15	4.0	13915.78842
2019	2020	4.0	0.15	4.0	5002.607563
2008	2009	10.0	0.15	4.0	5050.193156
2019	2017	2.0	0.15	4.0	4823.950831
2008	2006	2.0	0.15	4.0	4898.587646
2008	2007	3.0	0.15	4.0	7841.81131
2019	2015	3.0	0.15	4.0	14564.75315
2020	2022	5.0	0.15	4.0	5075.697193
2020	2021	6.0	0.15	4.0	5059.91234
2020	2018	4.0	0.15	4.0	23403.47319
2009	2010	3.0	0.15	4.0	13915.78842
2020	2019	4.0	0.15	4.0	5002.607563
2009	2008	10.0	0.15	4.0	5050.193156
2007	2018	2.0	0.15	4.0	23403.47319
2018	2020	4.0	0.15	4.0	23403.47319
2018	2016	3.0	0.15	4.0	19679.89671
2007	2008	3.0	0.15	4.0	7841.81131
2018	2007	2.0	0.15	4.0	23403.47319
1	2001	4.0	0.15	4.0	5000.0
2008	2016	5.0	0.15	4.0	5045.822583
2005	2006	4.0	0.15	4.0	4947.995469
2005	2004	2.0	0.15	4.0	17782.7941
2016	2010	4.0	0.15	4.0	4854.917717
2016	2008	5.0	0.15	4.0	5045.822583
2017	2019	2.0	0.15	4.0	4823.950831
2006	2008	2.0	0.15	4.0	4898.587646
2017	2016	2.0	0.15	4.0	5229.910063
2006	2005	4.0	0.15	4.0	4947.995469
2006	2002	5.0	0.15	4.0	4958.180928
2017	2010	8.0	0.15	4.0	4993.510694
2015	2022	3.0	0.15	4.0	9599.180565
2015	2019	3.0	0.15	4.0	14564.75315
2004	2011	6.0	0.15	4.0	4908.82673
2015	2014	5.0	0.15	4.0	5127.526119
2004	2005	2.0	0.15	4.0	17782.7941
2015	2010	6.0	0.15	4.0	13512.00155
2004	2003	4.0	0.15	4.0	17110.52372
2016	2018	3.0	0.15	4.0	19679.89671
2005	2009	5.0	0.15	4.0	10000.0
2016	2017	2.0	0.15	4.0	5229.910063
