source 	 destination 	 flow 	 cost(min)
37	28	3051.597757	2.461509361
112	109	9855.070002	14.00815996
37	38	4347.363498	1.000377388
4	8	0	1.78788
52	87	0	20
11	10	1825.905027	0.523192877
13	9	2265.169678	10.07193486
51	52	1300.818439	4.384169637
10	5	0	2.97398
36	44	3815.5756	2.32429345
121	120	9629.784453	12.25538816
82	83	7427.593591	17.01862169
8	6	2270.047171	0.775656635
60	32	1830.533677	2.250406955
28	37	3814.236354	2.36564616
27	33	0	4.5575
19	16	339.307516	1.384921125
28	27	0	0.97988
8	16	1440.806849	3.555694361
9	1	35.255907	8.064381393
99	100	4450.391692	6.000784554
49	73	0	4.98904
60	63	2419.433215	3.5763777
57	59	654.513526	5.340071626
52	118	3000	19.36936
34	35	3179.993591	2.651841667
101	110	10177.60257	4.021459122
96	97	9978.427437	13.51742903
118	117	8882.094798	9.962482607
87	86	12615.54885	3.025329382
43	36	0	4.55336
91	93	9930.575039	7.387748993
16	22	3327.493968	1.016817522
89	84	24268.3338	15.36534118
107	106	6750.452789	14.78840549
7	1	724.768919	4.378100801
100	104	5983.915289	6.591158814
31	30	690.418499	0.659977356
29	22	2830.535701	6.221695922
22	40	0	9.13784
119	122	10284.75902	11.83900893
78	85	5577.840129	7.500361627
110	111	12482.77275	3.024279753
6	17	0	7.29774
20	21	1635.224493	6.105329595
23	24	3553.886092	0.738066583
40	41	4561.284458	1.109164925
9	12	422.756	2.884079401
14	13	4189.596976	2.833156408
114	108	11080.94828	20.28288917
47	74	2452.341716	1.575367163
84	83	24045.1028	7.011324525
104	103	8807.203429	10.02263008
98	95	10466.49396	12.48051652
74	47	293.605903	1.594674676
89	96	18476.89733	9.177205537
7	13	1289.402512	1.771777914
22	21	2382.247677	2.109410019
96	95	8649.323728	4.244259031
7	3	123.040888	6.939351091
65	64	483.886643	1.683264719
26	27	0	1.00362
59	57	454.963878	5.277599049
94	96	7223.242397	8.076147813
107	108	21896.50993	5.758549872
36	35	872.116002	1.930389241
35	71	0	2.38376
11	19	0	7.51206
28	26	3599.031712	0.467749335
70	69	0	1.65742
110	109	8446.443146	13.88909436
113	112	9082.11561	12.38206461
48	47	0	5.3877
53	52	2146.915535	2.991481688
45	43	0	2.1767
60	31	0	3.58638
49	41	144.888398	11.66202106
32	34	6091.623387	1.900621243
54	46	1578.575817	3.07918815
85	88	10053.05886	14.83698032
60	72	0	2.24792
121	122	7873.303652	3.73302388
40	22	1001.203864	9.107754957
13	7	1734.830322	1.855595316
80	82	13141.98827	17.54110964
25	24	1506.286962	0.535289678
82	81	12795.02781	6.189421362
52	48	3199.73057	7.032577656
85	78	5813.198115	7.770077145
39	48	4850.786741	6.029656177
76	75	5356.062144	6.001645934
31	60	0	3.52698
29	41	4690.07163	1.923021241
26	28	3642.918028	0.54649076
43	45	0	2.15782
59	58	840.3264663	2.723191151
