<NUMBER OF ZONES> 122											
<NUMBER OF NODES> 122											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 424											
<END OF METADATA>											
											
											
~	Init node	Term node	Capacity	Length	Free Flow Time	B	Power	Speed limit	Toll	Type	;
	1	3	4938.061313	16.106817	4.7793	0.15	4	0	0	0	;
	3	1	5254.12851	16.057131	4.80594	0.15	4	0	0	0	;
	1	7	7309.824721	16.05874	4.45626	0.15	4	0	0	0	;
	7	1	7388.626964	15.865263	4.37804	0.15	4	0	0	0	;
	1	9	1164.37484	17.455401	8.04092	0.15	4	0	0	0	;
	9	1	1076.221509	17.450099	8.06438	0.15	4	0	0	0	;
	2	3	885.069883	3.874725	2.13984	0.15	4	0	0	0	;
	3	2	879.33766	3.975121	2.16064	0.15	4	0	0	0	;
	3	6	5963.515309	7.587822	2.18998	0.15	4	0	0	0	;
	6	3	6000	7.44745	2.1533	0.15	4	0	0	0	;
	3	7	870.143949	11.592971	6.98116	0.15	4	0	0	0	;
	7	3	987.279904	11.736039	6.9391	0.15	4	0	0	0	;
	4	6	1397.463467	3.509127	3.06624	0.15	4	0	0	0	;
	6	4	1032.23265	3.509127	3.03286	0.15	4	0	0	0	;
	4	8	6680.104456	6.269461	1.78788	0.15	4	0	0	0	;
	8	4	6223.710971	6.412615	1.81946	0.15	4	0	0	0	;
	5	10	3970.233407	10.449604	3.0204	0.15	4	0	0	0	;
	10	5	3954.624913	10.554494	2.97398	0.15	4	0	0	0	;
	5	11	934.463935	11.677805	7.6494	0.15	4	0	0	0	;
	11	5	882.819848	11.588228	7.4949	0.15	4	0	0	0	;
	6	8	6000	2.959879	0.86024	0.15	4	0	0	0	;
	8	6	6000	2.647408	0.77328	0.15	4	0	0	0	;
	6	13	2232.228547	11.650116	5.66392	0.15	4	0	0	0	;
	13	6	1834.137753	11.522613	5.58812	0.15	4	0	0	0	;
	6	17	1370.884143	12.288557	7.29774	0.15	4	0	0	0	;
	17	6	1245.94996	12.326099	7.22742	0.15	4	0	0	0	;
	7	9	827.932876	4.074788	2.1113	0.15	4	0	0	0	;
	9	7	825	4.074788	2.09206	0.15	4	0	0	0	;
	7	13	5919.941039	6.485868	1.77118	0.15	4	0	0	0	;
	13	7	8000	6.868068	1.85498	0.15	4	0	0	0	;
	8	11	6000	5.919129	1.70146	0.15	4	0	0	0	;
	11	8	6000	5.949186	1.70366	0.15	4	0	0	0	;
	8	16	6441.70193	12.635124	3.55436	0.15	4	0	0	0	;
	16	8	4445.01501	12.54521	3.53592	0.15	4	0	0	0	;
	9	12	973.89264	5.229189	2.8688	0.15	4	0	0	0	;
	12	9	970.976785	5.395143	2.85296	0.15	4	0	0	0	;
	9	13	875	2.987829	1.28116	0.15	4	0	0	0	;
	13	9	875	3.036319	1.3018	0.15	4	0	0	0	;
	10	11	8000	1.839467	0.52556	0.15	4	0	0	0	;
	11	10	8000	1.804264	0.52298	0.15	4	0	0	0	;
	10	18	3900	10.528474	3.02168	0.15	4	0	0	0	;
	18	10	2913.625342	10.484211	2.99508	0.15	4	0	0	0	;
	10	20	5719.303943	11.754735	3.33796	0.15	4	0	0	0	;
	20	10	6009.002354	11.782103	3.39014	0.15	4	0	0	0	;
	11	19	1124.407633	12.511216	7.51206	0.15	4	0	0	0	;
