source	dest	fft	coef	power	capacity
37	28	2.4491	0.15	4.0	7118.104798
37	38	0.95562	0.15	4.0	5815.725402
4	8	1.78788	0.15	4.0	6680.104456
11	10	0.52298	0.15	4.0	8000.0
13	9	1.3018	0.15	4.0	875.0
51	52	4.26956	0.15	4.0	2000.0
10	5	2.97398	0.15	4.0	3954.624913
36	44	2.26864	0.15	4.0	6000.0
8	6	0.77328	0.15	4.0	6000.0
60	32	2.17214	0.15	4.0	2614.736215
28	37	2.32326	0.15	4.0	6458.755608
27	33	4.5575	0.15	4.0	2656.304461
19	16	1.38492	0.15	4.0	7034.073767
28	27	0.97988	0.15	4.0	1906.378666
8	16	3.55436	0.15	4.0	6441.70193
9	1	8.06438	0.15	4.0	1076.221509
49	73	4.98904	0.15	4.0	825.846988
60	63	2.70684	0.15	4.0	2000.0
57	59	5.3309	0.15	4.0	2000.0
34	35	2.6072	0.15	4.0	5470.884476
43	36	4.55336	0.15	4.0	875.0
16	22	0.97204	0.15	4.0	4469.882549
7	1	4.37804	0.15	4.0	7388.626964
31	30	0.65996	0.15	4.0	6000.0
29	22	1.8607	0.15	4.0	1423.685694
22	40	9.13784	0.15	4.0	2210.802571
6	17	7.29774	0.15	4.0	1370.884143
20	21	5.97436	0.15	4.0	2644.724412
23	24	0.73378	0.15	4.0	8000.0
40	41	1.05954	0.15	4.0	6101.8896
9	12	2.8688	0.15	4.0	973.89264
14	13	2.50132	0.15	4.0	4320.225018
47	74	1.5688	0.15	4.0	6000.0
74	47	1.59466	0.15	4.0	3317.446565
7	13	1.77118	0.15	4.0	5919.941039
22	21	2.08476	0.15	4.0	4495.928831
7	3	6.9391	0.15	4.0	987.279904
65	64	1.6824	0.15	4.0	2000.0
26	27	1.00362	0.15	4.0	1316.906179
59	57	5.27548	0.15	4.0	2000.0
36	35	1.93026	0.15	4.0	6000.0
35	71	2.38376	0.15	4.0	1957.382228
11	19	7.51206	0.15	4.0	1124.407633
28	26	0.46532	0.15	4.0	8332.485651
70	69	1.65742	0.15	4.0	2919.745558
48	47	5.3877	0.15	4.0	825.0
53	52	2.49462	0.15	4.0	2000.0
45	43	2.1767	0.15	4.0	1213.74346
60	31	3.58638	0.15	4.0	1055.139505
49	41	11.662	0.15	4.0	2459.63678
32	34	0.5289	0.15	4.0	2987.327149
54	46	3.07662	0.15	4.0	5779.651242
60	72	2.24792	0.15	4.0	2000.0
40	22	8.93234	0.15	4.0	1664.447067
13	7	1.85498	0.15	4.0	8000.0
25	24	0.53284	0.15	4.0	3600.0
52	48	4.80966	0.15	4.0	2415.093648
39	48	4.91218	0.15	4.0	4371.132753
31	60	3.52698	0.15	4.0	965.579981
29	41	1.57752	0.15	4.0	4266.616474
26	28	0.54248	0.15	4.0	7731.459177
43	45	2.15782	0.15	4.0	1828.679811
59	58	2.71052	0.15	4.0	2000.0
14	22	3.05304	0.15	4.0	2840.485893
63	65	0.5279	0.15	4.0	2000.0
19	18	1.11916	0.15	4.0	6293.127608
6	8	0.86024	0.15	4.0	6000.0
39	38	0.97462	0.15	4.0	6422.20606
41	49	11.46794	0.15	4.0	2188.67685
45	47	1.52214	0.15	4.0	2462.627044
1	7	4.45626	0.15	4.0	7309.824721
21	23	1.33934	0.15	4.0	8000.0
3	6	2.18998	0.15	4.0	5963.515309
47	46	0.80178	0.15	4.0	4074.530263
10	18	3.02168	0.15	4.0	3900.0
32	33	1.9213	0.15	4.0	2423.744805
48	51	11.50236	0.15	4.0	2121.346035
53	48	4.09132	0.15	4.0	2000.0
74	48	1.95868	0.15	4.0	6000.0
58	20	3.81164	0.15	4.0	2630.412693
33	27	4.77812	0.15	4.0	2787.223131
22	28	5.18454	0.15	4.0	2080.186891
72	60	2.18312	0.15	4.0	2000.0
65	63	0.57242	0.15	4.0	2000.0
23	22	3.56516	0.15	4.0	960.16703
39	40	0.37524	0.15	4.0	7532.420303
71	35	2.40634	0.15	4.0	1576.243145
44	43	1.36866	0.15	4.0	1763.71284
57	56	3.25382	0.15	4.0	2000.0
50	49	3.76776	0.15	4.0	2928.314458
72	59	1.63894	0.15	4.0	2000.0
60	30	2.35382	0.15	4.0	4803.175011
55	57	3.7455	0.15	4.0	2000.0
24	26	0.47382	0.15	4.0	7980.28931
60	71	6.79448	0.15	4.0	1400.478511
23	21	1.32348	0.15	4.0	8000.0
51	50	5.88184	0.15	4.0	2000.0
69	67	5.62408	0.15	4.0	2000.0
18	10	2.99508	0.15	4.0	2913.625342
48	40	12.92354	0.15	4.0	1688.727995
60	61	12.98788	0.15	4.0	2000.0
54	53	4.0929	0.15	4.0	2000.0
22	17	3.3478	0.15	4.0	1884.190009
37	42	3.39272	0.15	4.0	1816.106654
54	44	5.25274	0.15	4.0	1860.992488
60	59	2.48996	0.15	4.0	2000.0
17	16	0.44172	0.15	4.0	4209.45379
57	58	3.24744	0.15	4.0	2000.0
60	69	3.84718	0.15	4.0	2075.828365
48	39	5.10246	0.15	4.0	5233.501727
25	22	3.80074	0.15	4.0	1506.692042
41	40	0.98966	0.15	4.0	6005.599197
3	7	6.98116	0.15	4.0	870.143949
2	3	2.13984	0.15	4.0	885.069883
17	6	7.22742	0.15	4.0	1245.94996
47	45	1.62606	0.15	4.0	2262.705882
22	29	1.9281	0.15	4.0	5879.862476
22	19	3.55502	0.15	4.0	1606.326133
32	31	1.2071	0.15	4.0	5459.290242
67	60	2.61018	0.15	4.0	2000.0
20	10	3.39014	0.15	4.0	6009.002354
63	62	1.16434	0.15	4.0	2000.0
29	49	17.25312	0.15	4.0	1060.253828
41	29	1.69782	0.15	4.0	6304.110442
18	21	1.5829	0.15	4.0	8000.0
42	43	1.65948	0.15	4.0	1518.910867
26	25	1.1323	0.15	4.0	2372.861722
1	9	8.04092	0.15	4.0	1164.37484
71	36	4.0763	0.15	4.0	1017.341605
9	13	1.28116	0.15	4.0	875.0
45	46	0.53824	0.15	4.0	6000.0
48	49	4.92886	0.15	4.0	2121.019835
20	30	3.70652	0.15	4.0	6000.0
34	60	2.81798	0.15	4.0	5898.700106
46	44	0.91226	0.15	4.0	6000.0
13	14	2.71324	0.15	4.0	4394.231889
35	34	2.58198	0.15	4.0	6000.0
15	13	5.93064	0.15	4.0	2863.541072
28	22	5.1471	0.15	4.0	2102.073051
46	54	3.1479	0.15	4.0	5972.591129
48	53	4.03918	0.15	4.0	2164.620818
22	25	4.19924	0.15	4.0	2853.10466
66	65	1.92622	0.15	4.0	2000.0
27	28	0.9896	0.15	4.0	2020.835188
8	11	1.70146	0.15	4.0	6000.0
12	9	2.85296	0.15	4.0	970.976785
48	74	2.22954	0.15	4.0	6000.0
19	11	7.45594	0.15	4.0	1617.706447
67	69	5.58706	0.15	4.0	2000.0
10	11	0.52556	0.15	4.0	8000.0
47	48	5.48942	0.15	4.0	1285.011529
38	37	1.08288	0.15	4.0	5772.233647
16	17	0.42506	0.15	4.0	6321.013829
19	22	3.63906	0.15	4.0	2023.075785
22	14	2.92858	0.15	4.0	2895.84662
33	24	3.459	0.15	4.0	5555.608069
21	20	5.61206	0.15	4.0	2416.390697
26	24	0.31382	0.15	4.0	8000.0
30	31	0.64718	0.15	4.0	6000.0
33	34	1.35372	0.15	4.0	5444.285031
65	60	4.81432	0.15	4.0	2000.0
24	23	0.71578	0.15	4.0	8000.0
11	5	7.4949	0.15	4.0	882.819848
48	52	4.76286	0.15	4.0	1884.440173
22	16	0.97362	0.15	4.0	7627.741159
50	51	5.77256	0.15	4.0	2000.0
20	58	3.75694	0.15	4.0	2479.370349
51	48	11.41664	0.15	4.0	2173.005205
38	39	0.9852	0.15	4.0	5733.056963
32	60	2.2228	0.15	4.0	2599.322451
30	20	3.74744	0.15	4.0	6000.0
42	45	1.6821	0.15	4.0	6000.0
69	60	3.6628	0.15	4.0	2333.427091
64	65	1.6541	0.15	4.0	2000.0
67	68	0.78412	0.15	4.0	2000.0
21	22	2.1093	0.15	4.0	4493.711985
60	67	2.52294	0.15	4.0	2000.0
57	55	3.66628	0.15	4.0	2000.0
40	48	12.49212	0.15	4.0	1003.245496
23	31	9.17106	0.15	4.0	1139.317496
69	70	1.54498	0.15	4.0	3179.348082
44	54	5.24372	0.15	4.0	1745.164116
24	25	0.53574	0.15	4.0	4500.0
10	20	3.33796	0.15	4.0	5719.303943
17	14	2.10788	0.15	4.0	4904.241929
35	36	1.8506	0.15	4.0	5276.538355
52	53	2.4859	0.15	4.0	2000.0
6	3	2.1533	0.15	4.0	6000.0
14	17	2.02468	0.15	4.0	5946.288757
18	19	0.70452	0.15	4.0	6192.450268
36	71	4.1094	0.15	4.0	1058.124261
58	59	2.6114	0.15	4.0	2000.0
6	13	5.66392	0.15	4.0	2232.228547
71	69	4.72208	0.15	4.0	1145.20634
63	60	2.7734	0.15	4.0	2000.0
56	57	3.17772	0.15	4.0	2000.0
71	60	6.7478	0.15	4.0	1400.154626
25	26	1.20616	0.15	4.0	1750.0
34	32	0.53958	0.15	4.0	4790.345753
31	23	9.33646	0.15	4.0	904.280899
21	18	1.59278	0.15	4.0	5449.818119
69	71	4.6318	0.15	4.0	875.0
45	42	1.7462	0.15	4.0	6000.0
3	1	4.80594	0.15	4.0	5254.12851
61	60	12.99918	0.15	4.0	2000.0
73	49	5.07378	0.15	4.0	825.0
40	39	0.39706	0.15	4.0	8352.013267
30	60	2.28428	0.15	4.0	4882.896652
68	67	0.83124	0.15	4.0	2000.0
7	9	2.1113	0.15	4.0	827.932876
33	32	1.96706	0.15	4.0	2621.675199
49	50	3.74346	0.15	4.0	2664.129248
6	4	3.03286	0.15	4.0	1032.23265
11	8	1.70366	0.15	4.0	6000.0
49	29	17.54204	0.15	4.0	1117.781868
53	54	4.01776	0.15	4.0	2000.0
35	27	9.29384	0.15	4.0	1388.367239
46	47	0.81022	0.15	4.0	6000.0
4	6	3.06624	0.15	4.0	1397.463467
13	6	5.58812	0.15	4.0	1834.137753
27	26	1.01146	0.15	4.0	985.369469
59	72	1.61714	0.15	4.0	2000.0
43	44	1.31612	0.15	4.0	1750.0
54	48	7.22634	0.15	4.0	1755.928729
34	33	1.35858	0.15	4.0	5400.0
1	3	4.7793	0.15	4.0	4938.061313
5	10	3.0204	0.15	4.0	3970.233407
42	37	3.44578	0.15	4.0	1809.167052
9	7	2.09206	0.15	4.0	825.0
44	36	2.1456	0.15	4.0	5867.300085
16	19	1.3791	0.15	4.0	6703.328686
73	50	4.23654	0.15	4.0	825.0
31	32	1.20308	0.15	4.0	6000.0
62	63	1.04546	0.15	4.0	2000.0
44	46	0.91204	0.15	4.0	6000.0
46	45	0.55042	0.15	4.0	4768.359065
24	33	3.42734	0.15	4.0	3559.213894
43	42	1.73888	0.15	4.0	1921.767308
58	57	3.15794	0.15	4.0	2000.0
38	42	1.72428	0.15	4.0	6000.0
59	60	2.3796	0.15	4.0	2000.0
3	2	2.16064	0.15	4.0	879.33766
22	23	3.56624	0.15	4.0	877.861868
60	34	4.15086	0.15	4.0	5784.05003
65	66	1.7671	0.15	4.0	2000.0
5	11	7.6494	0.15	4.0	934.463935
16	8	3.53592	0.15	4.0	4445.01501
52	51	4.241	0.15	4.0	2000.0
60	65	4.89084	0.15	4.0	2000.0
27	35	9.22166	0.15	4.0	1139.332695
42	38	2.02104	0.15	4.0	5747.695049
8	4	1.81946	0.15	4.0	6223.710971
17	22	3.47984	0.15	4.0	1886.210086
49	48	4.88246	0.15	4.0	2063.929153
50	73	4.23654	0.15	4.0	825.0
13	15	5.7175	0.15	4.0	1910.935331
48	54	7.10176	0.15	4.0	1893.169265
36	43	4.7388	0.15	4.0	875.0
