IterationNo	solveNetTime (ms)
0	78.0
1	817.0
2	529.0
3	266.0
4	203.0
5	188.0
6	156.0
7	127.0
8	93.0
9	94.0
10	74.0
11	61.0
12	52.0
13	46.0
14	55.0
15	41.0
16	42.0
17	31.0
18	32.0
19	47.0
20	31.0
21	31.0
22	31.0
23	33.0
24	31.0
25	31.0
26	32.0
27	15.0
28	32.0
29	36.0
30	27.0
31	19.0
32	31.0
33	15.0
34	32.0
35	15.0
36	32.0
37	15.0
38	31.0
39	16.0
40	16.0
41	31.0
42	16.0
43	15.0
44	31.0
45	16.0
46	16.0
47	31.0
48	16.0
49	15.0
50	15.0
51	16.0
52	30.0
53	15.0
54	16.0
