IterationNo	Gap
0	1.0
1	0.9221727932636262
2	0.40732993987403376
3	0.12013373517354065
4	0.0373035901362021
5	0.015846753546460812
6	0.005934995993182812
7	0.0028974609046575894
8	0.0012959445653495383
9	8.262620844875501E-4
10	5.523945315272227E-4
11	2.8984721947777903E-4
12	1.5283380349362385E-4
13	1.0072688655771156E-4
14	8.388573556550316E-5
15	5.394789867119165E-5
16	3.647322154198829E-5
17	3.0155495522099507E-5
18	2.189039919209268E-5
19	1.8083300018179038E-5
20	1.5298579627787134E-5
21	1.315555251446554E-5
22	1.1436811125808966E-5
23	1.0058316666450295E-5
24	8.925245168711626E-6
25	8.006067211407952E-6
26	7.183168210134205E-6
27	6.535681023600581E-6
28	5.992233372498212E-6
29	5.4719999045271805E-6
30	5.0421031829728236E-6
31	4.6651835909905515E-6
32	4.283728208154258E-6
33	3.977285060074998E-6
34	3.6848186815152673E-6
35	3.4330936233839537E-6
36	3.2042600478510153E-6
37	2.993509085280621E-6
38	2.756367166178997E-6
39	2.580714242750304E-6
40	2.406038807079014E-6
41	2.2329952044097823E-6
42	2.080615131072605E-6
43	1.9469250858161757E-6
44	1.8209229386556558E-6
45	1.7088513272200956E-6
46	1.6028451007565891E-6
47	1.498758760543062E-6
48	1.403048217052394E-6
49	1.3295401014579156E-6
50	1.2454621129975862E-6
51	1.1782149683670085E-6
52	1.1105793263910257E-6
53	1.0473489796547497E-6
54	9.902993056698506E-7
55	9.420660297410066E-7
