source 	 destination 	 fft 	 flow 	 cost(min)
37	28	2.4491	3051.597757412956	2.4615093608846563
112	109	4.0	9855.070002114157	14.008159959210213
37	38	0.95562	4347.363498000006	1.0003773884374487
4	8	1.78788	0.0	1.78788
52	87	20.0	0.0	20.0
11	10	0.52298	1825.9050269999987	0.523192877190088
13	9	1.3018	2265.1696777784296	10.071934862648218
51	52	4.26956	1300.818439448724	4.384169636629349
10	5	2.97398	0.0	2.97398
36	44	2.26864	3815.5756000000074	2.324293450314705
121	120	4.0	9629.784452713033	12.255388157411666
82	83	10.0	7427.593591405021	17.018621693308496
8	6	0.77328	2270.047171000003	0.7756566354050427
60	32	2.17214	1830.5336770987437	2.2504069548219885
28	37	2.32326	3814.236353999996	2.3656461599100793
27	33	4.5575	0.0	4.5575
19	16	1.38492	339.30751599999974	1.38492112476603
28	27	0.97988	0.0	0.97988
8	16	3.55436	1440.8068489999969	3.5556943606546167
9	1	8.06438	35.255906999999986	8.064381393102721
99	100	6.0	4450.391691981527	6.0007845541798
49	73	4.98904	0.0	4.98904
60	63	2.70684	2419.4332150000023	3.5763776998723666
57	59	5.3309	654.5135260000004	5.340071625565928
52	118	19.0	3000.0000000000005	19.369359999999997
34	35	2.6072	3179.9935910000086	2.651841667489522
101	110	4.0	10177.602572334285	4.021459121953557
96	97	4.0	9978.427436911985	13.517429028714641
118	117	4.0	8882.09479757284	9.96248260676164
87	86	3.0	12615.548854429859	3.025329382312247
43	36	4.55336	0.0	4.55336
91	93	2.0	9930.57503925203	7.387748993107218
16	22	0.97204	3327.493967630188	1.0168175220272584
89	84	6.0	24268.333800928336	15.36534117899528
107	106	10.0	6750.452789396627	14.788405491433899
7	1	4.37804	724.7689189999987	4.378100801496034
100	104	5.0	5983.91528908669	6.591158813931385
31	30	0.65996	690.4184990000012	0.6599773561561445
29	22	1.8607	2830.535701438411	6.221695922122469
22	40	9.13784	0.0	9.13784
119	122	3.0	10284.759020490646	11.839008925078709
78	85	6.0	5577.840129355703	7.5003616267960815
110	111	3.0	12482.772747656174	3.024279752569278
6	17	7.29774	0.0	7.29774
20	21	5.97436	1635.224493331685	6.105329595491187
23	24	0.73378	3553.8860923398256	0.7380665826020542
40	41	1.05954	4561.284458438473	1.109164924834472
9	12	2.8688	422.756	2.8840794005666885
14	13	2.50132	4189.59697599998	2.833156408438998
114	108	4.0	11080.94827974981	20.282889167206285
47	74	1.5688	2452.3417160000045	1.5753671627844485
84	83	3.0	24045.102804932372	7.011324525470599
