iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	full_gap
0	0.0	1.1623332700771982E-4	0.0036513363399021115	0.00511778596427459	0.016230539299807334
1	3.3271283126357076E-6	1.0325550466649958E-4	4.129324850279392E-4	3.212141317232575E-4	3.934816655218887E-4
2	2.7734746927965404E-6	3.375282125883672E-5	6.792794366816679E-5	5.616747457215521E-5	1.0336839261460007E-4
3	3.0204146072021487E-6	1.084625165115316E-5	8.356151478872142E-6	9.116845840595467E-6	4.363703953358389E-5
4	3.016096147945291E-6	1.084625165115316E-5	2.5363069438011365E-6	3.581000709074189E-6	3.014908711707065E-5
5	2.8910284955996346E-6	1.084625165115316E-5	1.94083350146812E-6	3.790522398849916E-6	2.3812029426140136E-5
6	2.791742455321433E-6	1.084625165115316E-5	1.98837890219572E-6	3.877066241053662E-6	1.9238151682365867E-5
7	2.7109929739976835E-6	1.084625165115316E-5	2.098952630591455E-6	3.864442114531741E-6	1.5739532150615965E-5
8	2.6430746723482557E-6	1.084625165115316E-5	2.3506449911003813E-6	3.8044126627889696E-6	1.3136825651738349E-5
9	2.594386374732416E-6	1.084625165115316E-5	2.2988724966976903E-6	3.940279468928054E-6	1.1068518065204813E-5
10	2.5473572621281804E-6	1.084625165115316E-5	2.3823145934853684E-6	3.7998464046395952E-6	9.397264922661464E-6
