ODtype	Origin	Destination	Demand	Cost
Regular	1	64	1.93676	25.207588725766023
Regular	1	65	1.93676	23.524324006624134
Regular	1	2	63.802849	7.962390391796383
Regular	1	66	1.93676	25.292332259831237
Regular	1	3	471.81948	4.779925189328005
Regular	1	67	1.948398	21.925087041274573
Regular	1	69	1.965538	23.26100695848536
Regular	1	7	918.488499	4.456426620647507
Regular	1	21	28.772957	14.524250289100046
Regular	1	22	31.681824	12.414840269909018
Regular	1	29	29.681628	14.566162278692712
Regular	1	30	8.606275	17.11377079904097
Regular	1	31	8.606275	17.77201096655032
Regular	1	32	8.606275	19.08060557626608
Regular	1	33	8.606275	20.82737018856877
Regular	1	36	11.722161	25.52630082357401
Regular	1	37	20.428002	19.965062207102104
Regular	1	38	20.428002	18.90745566044225
Regular	1	39	20.428002	17.928001589537885
Regular	1	40	20.428002	17.52573221718452
Regular	1	42	23.394305	20.65510689610514
Regular	1	48	14.575279	23.957117271128595
Regular	1	49	8.505481	27.957216820441946
Regular	1	50	9.077854	31.701465316904557
Regular	1	51	9.077854	35.45947936635047
Regular	1	52	4.484028	31.21665029803287
Regular	1	53	4.452338	28.22469139731765
Regular	1	54	1.875118	26.052076802917956
Regular	1	59	2.02354	19.779515657600452
Regular	1	60	2.02354	19.39806859393962
Regular	1	61	1.880171	32.40166283268263
Regular	1	62	1.93676	24.13938474072453
Regular	1	63	1.93676	22.974446293811987
Regular	2	16	90.951624	9.818532822436987
Regular	2	1	44.610847	8.006594011234984
Regular	2	17	90.951624	10.244336069699717
Regular	2	18	90.951624	11.511879136494157
Regular	2	3	118.65221	3.200435207836015
Regular	2	6	381.411877	5.391260128571796
Regular	2	10	167.195351	8.489680212850148
Regular	2	13	104.283571	11.05568308451622
Regular	2	14	104.283571	12.355954128658263
Regular	3	1	67.639683	4.8061588033989695
Regular	3	2	72.07049	3.182465202468378
Regular	3	12	134.776233	15.75211789470795
Regular	6	1	56.935997	6.965635386563427
Regular	6	2	320.643351	5.341941785632836
Regular	6	3	329.230351	2.1594765831644582
Regular	6	37	30.94704	12.994312097038335
Regular	6	38	30.94704	11.936705550378473
Regular	6	39	30.94704	10.95725147947411
Regular	6	40	30.94704	10.554982107120741
Regular	6	10	957.700233	3.0984200842783536
Regular	6	42	32.851189	13.684356786041365
Regular	6	13	136.941407	5.664422955944424
Regular	6	14	136.941407	6.964694000086469
Regular	6	16	181.417875	4.427272693865192
Regular	6	48	20.758405	16.986367161064813
Regular	6	17	181.417875	4.853075941127923
Regular	6	49	10.05071	20.98646671037813
Regular	6	18	181.417875	6.120619007922362
Regular	6	50	11.007453	24.73071520684075
Regular	6	51	11.007453	28.488729256286632
Regular	6	52	4.830574	24.245900187969085
Regular	6	21	54.322955	7.553500179036247
Regular	6	53	4.854254	21.253941287253873
Regular	6	22	64.777032	5.444090159845253
Regular	6	29	60.697739	7.595412168628927
Regular	7	1	724.768919	4.378100801496034
Regular	10	1	4.448323	9.971094846191225
Regular	10	2	465.677208	8.347401245260633
Regular	10	3	4.605681	5.164936042792254
Regular	10	37	15.86574	10.075478331269688
Regular	10	6	190.63577	3.005459459627796
Regular	10	38	15.86574	11.075855719707135
Regular	10	39	15.86574	11.64161978661417
Regular	10	40	15.86574	11.239350414260802
Regular	10	42	17.17806	12.823506955370027
Regular	10	13	4.525612	8.669882415572221
Regular	10	14	4.525612	7.649062307226529
Regular	10	48	12.195396	17.670735468204875
Regular	10	49	7.651356	21.670835017518186
Regular	10	50	8.154251	25.415083513980843
Regular	10	51	8.154251	29.17309756342679
Regular	10	52	4.284714	24.93027344105289
Regular	10	53	4.26372	21.938309594393953
Regular	10	22	21.565511	6.128458466985313
Regular	10	29	20.731984	8.279780475768987
Regular	12	1	35.255907	10.93723652494089
Regular	12	3	123.040888	14.600749013367874
Regular	12	55	146.285293	32.05592999155374
Regular	12	56	146.285293	31.643468220809748
Regular	13	64	2.007117	23.82822798391513
Regular	13	65	2.007117	22.144963264773242
