source 	 destination 	 fft 	 flow 	 cost(min)
37	28	2.4491	3050.5884918148986	2.461492952261933
52	118	19.0	3000.0000000000005	19.369359999999997
11	10	0.52298	1825.9050270000007	0.523192877190088
20	21	5.97436	1634.4050733246722	6.105067274404523
13	9	1.3018	2265.1992191472673	10.07239237690787
82	83	10.0	7427.566372919337	17.018518814656534
121	120	4.0	9629.963503240462	12.25600215779215
36	44	2.26864	3815.5755999999988	2.3242934503147046
60	32	2.17214	1829.5236501370318	2.25023435743687
4	8	1.78788	0.0	1.78788
52	87	20.0	0.0	20.0
51	52	4.26956	1301.2397216905858	4.384318178389254
78	85	6.0	5578.1771584168055	7.50072428423419
49	73	4.98904	0.0	4.98904
9	1	8.06438	35.25590699999999	8.064381393102721
8	6	0.77328	2270.047171	0.7756566354050427
19	16	1.38492	339.30751600000013	1.38492112476603
37	38	0.95562	4347.363498	1.0003773884374485
60	63	2.70684	2419.4332150000027	3.576377699872367
99	100	6.0	4450.561496342481	6.000784673925076
118	117	4.0	8882.19304500024	9.962746422138528
34	35	2.6072	3179.993591000001	2.6518416674895215
57	59	5.3309	654.513526	5.340071625565928
112	109	4.0	9854.92043796697	14.007552423055186
27	33	4.5575	0.0	4.5575
28	27	0.97988	0.0	0.97988
101	110	4.0	10178.66140906191	4.021468053429261
8	16	3.55436	1440.8068489999998	3.5556943606546167
7	1	4.37804	724.768919	4.378100801496034
43	36	4.55336	0.0	4.55336
54	46	3.07662	1578.575817000001	3.079188149891472
14	13	2.50132	4189.596976	2.8331564084390046
107	106	10.0	6750.669214194228	14.789019601071296
100	104	5.0	5983.687728726195	6.590916789101863
96	97	4.0	9978.425519597196	13.51742171377357
70	69	1.65742	0.0	1.65742
89	84	6.0	24268.580019105302	15.365721254915364
47	74	1.5688	2452.3417160000004	1.5753671627844485
29	22	1.8607	2830.5738831914764	6.221931232828513
22	40	9.13784	0.0	9.13784
40	41	1.05954	4561.322640191476	1.1091665864632796
16	22	0.97204	3327.492926388995	1.01681746598006
110	111	3.0	12484.123625640868	3.02429026443503
6	17	7.29774	0.0	7.29774
87	86	3.0	12615.54002319777	3.0253293113872575
104	103	4.0	8807.103022195282	10.022355435067327
84	83	3.0	24044.63347151621	7.011011348431916
93	94	4.0	9603.592597545372	12.148926895939312
98	95	3.0	10466.445555969038	12.480341155110253
110	101	4.0	10124.460115654283	4.021014424035285
9	94	15.0	4000.0	15.9216
91	93	2.0	9930.432373818358	7.387439392110349
119	122	3.0	10284.840575325183	11.839289290416689
23	24	0.73378	3552.884788196484	0.738061753680501
114	108	4.0	11081.100608532366	20.283784543221756
9	12	2.8688	422.7559999999998	2.884079400566688
28	26	0.46532	3599.956859481615	0.4677518336642483
89	96	3.0	18477.020032879223	9.177369626127616
74	47	1.59466	293.605903	1.5946746758324917
79	78	2.0	20202.93947241295	2.4997807282831395
59	57	5.27548	454.963878	5.277599048640674
11	19	7.51206	0.0	7.51206
35	71	2.38376	0.0	2.38376
110	109	6.0	8446.736237267514	13.890189424123605
36	35	1.93026	872.1160019999998	1.9303892406368526
107	108	3.0	21896.890692129848	5.758741750469786
65	64	1.6824	483.886643	1.6832647191418868
7	3	6.9391	123.04088799999997	6.939351090940972
96	95	2.0	8649.160262430809	4.2440893774728545
94	96	5.0	7223.462025200977	8.07652196036355
26	27	1.00362	0.0	1.00362
49	41	11.662	144.88839799999997	11.662021062737919
31	30	0.65996	690.418499	0.6599773561561445
32	34	0.5289	6090.952367876789	1.9000169383369743
85	78	6.0	5813.348215969212	7.770259970326713
60	31	3.58638	0.0	3.58638
7	13	1.77118	1289.4544173197303	1.7717780099506792
60	72	2.24792	0.0	2.24792
85	88	4.0	10053.03414806597	14.8368737818189
113	112	5.0	9082.158227659966	12.382203170747058
45	43	2.1767	0.0	2.1767
53	52	2.49462	2147.9212463587273	2.9924133514227274
48	47	5.3877	0.0	5.3877
13	7	1.85498	1734.8007808527334	1.8555952745882058
82	81	3.0	12795.074982999937	6.189468393289492
14	22	3.05304	2804.343710611006	3.4881290681450166
43	45	2.15782	0.0	2.15782
80	82	2.0	13141.820529272327	17.540316194692416
39	38	0.97462	2738.6141358148993	0.9794540709043639
28	37	2.32326	3814.236354000001	2.3656461599100793
39	48	4.91218	4850.200083516544	6.029115681590704
76	75	6.0	5355.903095393824	6.00164573853602
121	122	2.0	7872.967505844965	3.732727937740149
25	24	0.53284	1506.2869619999997	0.535289677670697
52	48	4.80966	3199.8256809830964	7.032841969394538
116	105	2.0	18340.44823667013	2.1131461503796833
10	5	2.97398	0.0	2.97398
63	65	0.5279	1451.6599290000008	0.5498777128121484
59	58	2.71052	839.3251621964814	2.7231308646573518
31	60	3.52698	0.0	3.52698
19	18	1.11916	756.456144	1.1191950471174796
29	41	1.57752	4690.07163	1.9230212411945427
22	21	2.08476	2382.247677000001	2.109410019190994
26	28	0.54248	3642.9180280000005	0.5464907603961459
91	84	8.0	8099.999999999998	16.30801715074041
6	8	0.86024	3266.711876	0.8715783332105755
40	22	8.93234	1002.1749479936237	9.108436498560973
23	22	3.56516	0.0	3.56516
21	23	1.33934	2722.058778324675	1.3420328498964889
32	33	1.9213	3626.8932552602423	3.366333689309049
54	53	4.0929	1078.5824834834573	4.144829705776705
85	84	5.0	18083.477600569924	13.020271563585716
96	94	5.0	7008.097422950861	7.725705720843168
109	108	5.0	17608.65432589205	12.210509197373518
1	7	4.45626	918.488499	4.456426620647507
120	113	3.0	18401.074458254487	9.076431414340306
45	47	1.52214	0.0	1.52214
10	18	3.02168	717.390365	3.0221989236440083
41	49	11.46794	187.827221	11.468033300554655
101	102	4.0	14140.77238692809	4.279892052594568
58	20	3.81164	1379.7674171964811	3.854924370790978
33	27	4.77812	1839.4692307046307	4.91408636037105
60	30	2.35382	1544.692534	2.35759675708972
74	48	1.95868	2452.3417160000004	1.9668792417150966
84	90	4.0	11686.094840623446	24.141943892019352
53	48	4.09132	1578.0994357074896	4.329207807389966
48	51	11.50236	70.42055897361068	11.502362095221878
3	6	2.18998	1342.9921640000005	2.190824920735781
39	40	0.37524	4956.748959185101	0.3857947973998573
22	28	5.18454	171.31832600000004	5.184575777283003
87	52	20.0	0.0	20.0
94	95	6.0	6385.10764937941	8.282146036788435
65	63	0.57242	668.3212230000003	0.5734905996236597
72	60	2.18312	0.0	2.18312
78	77	4.0	16716.28768838216	4.5465845943882375
24	26	0.47382	3960.3140962953717	0.47813070823619297
57	56	3.25382	146.285293	3.2538339690690568
51	50	5.88184	99.558776	5.881845417546873
97	98	2.0	7981.272111387546	3.8300586700100503
113	117	3.0	19426.078117927307	4.424100121392172
71	35	2.40634	0.0	2.40634
60	61	12.98788	599.37131	13.003594238743009
44	43	1.36866	934.2671809999998	1.3848244041450464
55	57	3.7455	136.82675299999994	3.745512307367294
50	49	3.76776	516.59241	3.768307388573441
60	71	6.79448	0.0	6.79448
83	79	5.0	17342.263927765	11.783977968374371
93	91	2.0	9858.722287781397	7.23350082367067
72	59	1.63894	0.0	1.63894
108	113	6.0	23259.03488528587	13.901881712228919
104	106	2.0	12447.739781739458	14.508341410788072
106	114	5.0	8514.098309129018	11.079781909968895
22	17	3.3478	0.0	3.3478
69	67	5.62408	310.301041	5.624568827574611
97	88	4.0	8485.444604696699	9.28808688613292
47	46	0.80178	293.605903	0.8017832426152303
80	76	5.0	6423.938837025172	7.113378917992201
106	104	2.0	12486.385887044786	14.664403327220807
48	40	12.92354	0.0	12.92354
18	10	2.99508	1299.745069	3.012870885991627
60	59	2.48996	1583.2545460000003	2.636638554566824
93	89	3.0	20662.01066090475	4.822595632801
108	115	8.0	8100.0	16.308017150740422
17	16	0.44172	2149.505125388994	0.4462249427603991
57	58	3.24744	444.8763959999999	3.2486325315216873
20	30	3.70652	682.9435409999999	3.706613323670882
54	44	5.25274	0.0	5.25274
45	46	0.53824	2634.7415684834577	0.5412420251123207
84	91	8.0	8099.999999999998	16.30801715074041
117	113	3.0	19451.506510019295	4.431571262101909
22	29	1.9281	5511.2005880000015	2.1513220087836746
115	114	2.0	11660.694944791034	9.413821208348972
47	45	1.62606	0.0	1.62606
41	40	0.98966	4502.244409000001	1.0365486972972715
37	42	3.39272	0.0	3.39272
17	6	7.22742	0.0	7.22742
48	39	5.10246	4677.241791	5.590730702566055
25	22	3.80074	0.0	3.80074
95	98	3.0	10634.26791181022	13.103165816086808
18	21	1.5829	737.7873239999999	1.5829171755062725
2	3	2.13984	1193.292299	3.200435207836015
3	7	6.98116	0.0	6.98116
119	120	2.0	8673.325556046653	4.269274144738614
79	80	4.0	8779.143524517396	9.946243280492688
38	37	1.08288	2937.174324814899	1.0937696739420333
22	19	3.55502	0.0	3.55502
103	102	2.0	18166.252311828688	2.3267251921671357
1	9	8.04092	422.7559999999998	8.061879690742293
26	25	1.1323	0.0	1.1323
67	60	2.61018	310.02983099999994	2.6104060766287147
32	31	1.2071	1141.7661389999998	1.2074464163720562
85	86	6.0	9044.233451394904	16.37095509596336
29	49	17.25312	0.0	17.25312
9	13	1.28116	2003.1161686802695	6.559373628470719
42	43	1.65948	296.880699	1.6598432971410315
89	93	3.0	20462.31488532677	4.753149912312514
106	105	3.0	11784.310686804667	5.294899636364373
20	10	3.39014	883.9786809999996	3.3903781587601074
118	116	4.0	21541.72861412075	4.430677513527576
112	121	4.0	8411.600017223365	9.106397569142551
41	29	1.69782	4706.211038191477	1.77691941012842
71	36	4.0763	624.560928	4.163153919499592
34	60	2.81798	1965.8854861547834	2.823194789271323
116	77	25.0	0.0	25.0
88	89	5.0	9289.26532590543	13.078955367049867
116	118	4.0	22497.306895991092	4.512332760235324
48	49	4.92886	448.99652	4.930344672696766
108	114	4.0	11051.59122701803	20.11101891225294
77	116	25.0	262.19348703643567	25.000028355600456
106	107	10.0	6808.011292132078	14.953821717022606
22	25	4.19924	0.0	4.19924
66	65	1.92622	222.77374100000003	1.926264476761367
77	75	4.0	8762.677004754933	4.011791721433034
88	85	4.0	10186.46029318207	15.42374685171688
46	44	0.91226	1643.3034670000006	0.9130299738508036
90	84	4.0	11817.238909922424	25.06142823707491
75	76	6.0	5162.677004754932	6.0014207897501475
97	96	4.0	9847.474346181443	13.027565858805941
102	109	6.0	5200.000000000001	7.133300480179894
35	34	2.58198	1689.1313450000002	2.5844127238673753
11	5	7.4949	0.0	7.4949
46	54	3.1479	2790.8269054834573	3.1704108892859533
111	110	3.0	12571.196352921794	3.0249750541947513
80	79	4.0	8828.711286279295	10.081676804033343
8	11	1.70146	1825.9050270000007	1.70364887387769
27	28	0.9896	549.3683676667166	0.9904107406732064
115	108	8.0	8099.999999999999	16.30801715074042
19	11	7.45594	0.0	7.45594
48	74	2.22954	293.605903	2.229541917611641
28	22	5.1471	0.0	5.1471
12	9	2.85296	450.8673809999999	2.8728551318381697
83	82	10.0	7219.693274860463	16.2651906585633
63	62	1.16434	483.8866429999998	1.1649384469125441
15	13	5.93064	0.0	5.93064
109	110	6.0	8405.462216578959	13.737098029428495
94	93	4.0	9731.578287086388	12.592086329427383
103	104	4.0	8797.178285396978	9.99525488430076
67	69	5.58706	194.332498	5.5871347027078695
100	99	6.0	4479.282864849503	6.000805126184402
122	119	3.0	10239.17892197865	11.683356254843398
77	86	4.0	12878.033038370893	4.055008288866108
47	48	5.48942	0.0	5.48942
10	11	0.52556	1281.0182239999997	0.5256118292408384
33	24	3.459	8176.350849098885	5.893184521437692
21	20	5.61206	1037.6954369999999	5.64069021257259
16	17	0.42506	2076.9913882711226	0.42580324726273006
44	46	0.91204	3403.323901999999	0.9262016311545738
48	53	4.03918	1696.1214518752695	4.2675741261890625
65	60	4.81432	0.0	4.81432
60	69	3.84718	843.841318	3.862938364545739
30	31	0.64718	3485.8812618718093	0.6582401675093493
26	24	0.31382	3349.4988938148986	0.31526654278657085
120	121	4.0	9663.582089654237	12.371895407641542
24	23	0.71578	3432.631282814899	0.7194193137194866
33	34	1.35372	4049.05497027724	1.4158457119362517
13	14	2.71324	3388.0135219999997	2.8570629274184034
42	37	3.44578	0.0	3.44578
19	22	3.63906	0.0	3.63906
38	39	0.9852	2679.742985516543	0.9922541258874403
71	69	4.72208	569.943953	4.7655328459437545
44	54	5.24372	0.0	5.24372
69	70	1.54498	0.0	1.54498
91	90	2.0	11769.567626181646	9.69460636119131
79	83	5.0	16971.516642101844	11.222198770772549
112	113	5.0	9039.674840045573	12.245043117231118
22	16	0.97362	2668.165335271122	0.9758064920715761
50	51	5.77256	513.381987	5.776319258914258
48	52	4.76286	2576.516942667662	7.25953302690429
51	48	11.41664	108.31278830941409	11.416650570741284
122	121	2.0	7831.55643191057	3.696558614153057
94	9	23.0	3000.0000000000005	23.447119999999998
42	45	1.6821	2016.1739174834574	1.6853169924145401
81	82	3.0	13135.45359438109	6.542641936438916
20	58	3.75694	709.011595	3.7607085411001613
30	20	3.74744	1197.0917691281907	3.7483306985073868
32	60	2.2228	1618.2985868452167	2.27289399118926
21	22	2.1093	2338.2700088149	2.132494622782105
60	67	2.52294	644.3979720000001	2.5270184473349544
115	117	2.0	10039.30505520897	7.627614868215025
52	53	2.4859	1748.6617087074899	2.7038104871028046
75	77	4.0	8955.903095393824	4.012866710783052
86	87	3.0	12340.701334747533	3.0231931302676904
108	107	3.0	21955.10380229429	5.7881955191241135
23	21	1.32348	1613.8532588148996	1.3238087796039575
24	25	0.53574	3364.2418589999997	0.5608440688829229
40	48	12.49212	0.0	12.49212
57	55	3.66628	146.285293	3.6662957398130507
122	111	4.0	11057.808081170146	17.3514259431875
67	68	0.78412	0.0	0.78412
69	60	3.6628	770.7126069999997	3.6693387897622256
64	65	1.6541	222.77374100000006	1.6541381934623132
86	77	4.0	12391.51432979097	4.047154976166247
17	14	2.10788	1617.1456512711222	2.1116180589585465
23	31	9.17106	0.0	9.17106
6	13	5.66392	348.19221100000004	5.664422955944424
76	80	5.0	6230.712746386279	6.870349205466714
35	36	1.8506	3314.829026	1.8938366414814896
92	94	4.0	21073.417628883184	4.394429956710409
78	79	2.0	19782.62442498789	2.459469701799068
119	118	6.0	6023.921659120984	7.807955756419708
84	89	6.0	23958.65587243026	14.896384861752319
117	115	2.0	10020.38090183683	7.585302337271321
