iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	subnet_2_max 	 subnet_2_avg 	full_max 	 full_avg
0	0.0	0.0	0.013504760708618946	0.0015591640426137945	9.416461474753667	0.09409364447577079	3.5736319236352685	0.08993881145197413	9.416461474753298	0.04798729405859658
1	9.495129354633036E-4	1.3564470506618624E-4	0.03542980465826062	3.5381689518193776E-4	0.27461690787597703	0.009679363350580561	0.5466282635989614	0.009228518990825612	0.5466282635987625	0.005019824377475147
2	8.459370083926387E-4	1.2084814405609125E-4	0.011077638262019462	1.8110363502281583E-4	0.051587552501047185	0.0015805425592827756	0.09993909678991741	0.0010955211522759654	0.197209455214562	9.474645176122567E-4
3	9.294337848970713E-4	1.327762549852959E-4	9.97623073283549E-4	1.1577745344097533E-4	0.006018867102220327	2.1935233143213138E-4	0.010960729483507237	2.1326638339456676E-4	0.1586077165031483	2.8058557264070696E-4
4	9.364522658685814E-4	1.3377889512408307E-4	9.97623073283549E-4	1.1577745344097533E-4	9.901759101751395E-4	1.072961764130298E-4	9.982913986590347E-4	1.1321460054519963E-4	0.12244499634800121	1.9877534385948065E-4
5	9.039864814042176E-4	1.2914092591488822E-4	9.97623073283549E-4	1.1577745344097533E-4	9.585160869391984E-4	1.0114204030979192E-4	9.997737307152477E-4	1.1597860629330394E-4	0.09514874147883745	1.7972962406582728E-4
6	8.777840284466265E-4	1.2539771834951807E-4	9.97623073283549E-4	1.1577745344097533E-4	9.749450603386833E-4	9.842582079748336E-5	9.985658942923692E-4	1.1890383292874038E-4	0.07425084757657174	1.65968430503095E-4
7	8.56105553651787E-4	1.223007933788267E-4	9.97623073283549E-4	1.1577745344097533E-4	9.839984972614957E-4	1.1197829954029885E-4	9.958080518224222E-4	1.2277287350475466E-4	0.058126034470141974	1.5897114166938978E-4
8	8.375103623308178E-4	1.1964433747583112E-4	9.97623073283549E-4	1.1577745344097533E-4	9.395561072267355E-4	1.1368896050784786E-4	9.972285220243293E-4	1.186949922681228E-4	0.04583008943643563	1.5003505304730854E-4
9	8.242972339402854E-4	1.1775674770575506E-4	9.97623073283549E-4	1.1577745344097533E-4	9.906586235217674E-4	1.1498161801034395E-4	9.975277408322825E-4	1.2324221401899496E-4	0.03604691018156103	1.4489287989452113E-4
10	8.11069721947888E-4	1.1586710313541257E-4	9.97623073283549E-4	1.1577745344097533E-4	9.742699741863703E-4	1.154846414757823E-4	9.909564113499414E-4	1.2207753686622327E-4	0.02842969960353514	1.392731552204742E-4
