source 	 destination 	 fft 	 flow 	 cost(min)
77	116	25.0	262.19348703643567	25.000028355600456
100	75	17.0	0.0	17.0
52	118	19.0	3000.0000000000005	19.369359999999997
9	111	12.0	0.0	12.0
86	105	18.0	3737.8065129635643	18.84323963682541
75	100	24.0	0.0	24.0
116	77	25.0	0.0	25.0
94	9	23.0	3000.0000000000005	23.447119999999998
9	94	15.0	4000.0	15.9216
111	9	24.0	0.0	24.0
87	52	20.0	0.0	20.0
52	87	20.0	0.0	20.0
105	86	12.0	3000.0	12.233279999999999
118	52	25.0	4000.0	26.535999999999998
