origin 	 dest 	 flow 	 cost						
3	4	1930.804564	309.1974632			1 to 2	5.407432874	554.0409713	
1	3	1702.494661	190.4666349						
2	1	1175.603373	334.5555443			1 to 3	190.4666349	530.4296104	
1	2	269.1954361	5.407432874						
4	2	1203.913276	54.37687311			1 to 4	499.6640948	499.6640981	
3	1	1196.086724	358.1669018						
4	3	624.3966267	30.76551561						
2	4	1297.505339	494.256662						
									
origin 	 dest 	 flow 	 cost						
3	4	1365.024565	83.99211797			1 to 2	88.49211797	152.3496733	
1	3	965.0245651	27.73299537						
2	1	900	117.87408			1 to 3	27.73299537	3174.198958	
1	2	834.9754349	88.49211797						
4	2	1100	40.62456			1 to 4	3056.324878	111.7251133	
3	1	1300	498.03408						
4	3	900	117.87408						
2	4	2034.975435	2967.83276						
									
									
									
source 	 destination 	 fft 	 flow 	 cost(min)					
1	2	4.5	834.9754349	88.49211797		3	4	1365.024565	83.99211797
4	2	9	1100	40.62456		1	3	965.0245651	27.73299537
2	1	4.5	900	117.87408		2	1	900	117.87408
3	1	4.5	1300	498.03408		1	2	834.9754349	88.49211797
2	4	4.5	2034.975435	2967.83276		4	2	1100	40.62456
3	4	9	1365.024565	83.99211797		3	1	1300	498.03408
1	3	9	965.0245651	27.73299537		4	3	900	117.87408
4	3	4.5	900	117.87408		2	4	2034.975435	2967.83276
