Node	Associated_boundary_node
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	2
13	2
14	2
15	2
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	1
24	0
25	0
26	0
27	0
28	0
29	1
30	1
31	2
32	2
33	2
34	2
35	2
36	2
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	2
50	0
51	2
52	0
53	0
54	1
55	1
56	1
57	1
58	1
59	0
60	0
61	0
62	0
63	0
64	1
65	0
66	0
67	0
68	2
69	2
70	1
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	0
79	0
80	0
81	0
82	2
83	1
84	1
85	1
86	0
87	1
88	1
89	2
90	1
91	2
92	2
93	2
94	0
95	2
96	0
97	1
98	1
99	0
100	0
101	0
102	0
103	2
104	2
106	2
107	2
108	2
109	2
110	1
111	1
112	2
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	2
148	1
149	0
150	0
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	0
159	1
160	1
161	1
162	1
163	2
164	0
165	1
166	1
167	0
168	1
169	2
170	2
171	2
172	2
173	2
174	0
175	2
176	2
177	0
178	1
179	1
180	1
181	1
182	2
183	1
184	1
185	2
186	2
187	2
188	2
189	1
190	2
191	2
192	0
193	0
194	1
195	1
196	2
197	1
198	1
199	2
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	2
208	2
209	1
210	1
211	1
212	0
213	1
214	1
215	2
216	2
217	2
218	1
219	0
220	1
221	1
222	0
223	0
224	1
225	1
226	1
227	1
228	1
229	0
230	0
231	0
232	0
233	1
234	1
235	0
236	1
237	1
238	1
239	0
240	0
241	0
242	1
243	0
244	2
245	1
246	0
247	0
248	0
249	0
250	0
251	1
252	0
253	0
254	0
255	2
256	2
257	2
258	0
259	2
260	2
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	1
275	1
276	1
277	1
278	1
279	1
