source 	 destination 	 fft 	 flow 	 cost(min)
601	603	0.666667	0.0	0.666667
81	324	0.0	92.727	0.0
373	366	19.666667	525.6398264733317	21.95497131502737
708	44	0.0	0.0	0.0
258	888	2.666667	817.7415731143665	4.48411945461844
139	695	2.0	1186.2744952998903	2.0644374941609316
189	210	4.333333	555.316921394535	4.340037301983538
130	131	1.666667	39.40063373587653	1.6666671210644681
482	492	13.0	0.0	13.0
409	410	8.666667	82.20665454368662	8.66667892985161
597	93	0.0	11.547	0.0
497	490	3.666667	0.0	3.666667
551	64	0.0	1424.5812790531502	0.0
483	77	0.0	0.0	0.0
466	459	3.333333	21.1664698664854	3.3333340197703833
399	630	13.0	48.058427634902124	13.000001128208734
347	348	0.333333	0.0	0.333333
192	193	1.666667	0.0	1.666667
171	106	14.333333	31.188000000000002	14.333333220630305
967	517	3.666667	0.0	3.666667
68	602	0.0	0.0	0.0
229	231	7.666667	357.47047256636904	7.6687037380297935
312	94	0.0	0.0	0.0
818	1	0.0	0.0	0.0
33	347	0.0	0.0	0.0
609	927	1.0	9.689210101927477	1.0000000002656493
58	125	0.0	302.9350667625523	0.0
99	100	0.333333	0.0	0.333333
863	567	13.0	0.0	13.0
837	836	2.0	130.56647747782492	2.000885904092769
568	10	0.0	0.0	0.0
769	767	6.333333	0.0	6.333333
843	844	10.333333	577.4418727107677	10.352024381101513
763	759	10.666667	310.44160325778853	11.431107004315425
397	395	4.333333	402.2867568826766	4.506312632640183
16	770	0.0	0.0	0.0
42	830	0.0	316.3891565745161	0.0
767	368	9.666667	0.0	9.666667
266	269	6.666667	0.0	6.666667
330	321	4.0	0.0	4.0
885	935	0.666667	0.0	0.666667
42	912	0.0	0.0	0.0
745	778	4.666667	0.0	4.666667
217	216	0.666667	0.0	0.666667
456	24	0.0	532.623689187545	0.0
359	362	0.333333	163.75663004956573	0.33369834556758365
639	22	0.0	142.26077908544136	0.0
809	707	1.0	0.0	1.0
955	952	5.0	1196.4350965308843	20.615523332402496
878	278	10.666667	0.0	10.666667
248	247	1.666667	0.0	1.666667
364	335	1.0	0.0	1.0
84	308	0.0	0.0	0.0
45	936	0.0	0.0	0.0
345	32	0.0	0.0	0.0
173	217	9.0	0.0	9.0
603	714	11.0	109.53813436454342	11.002413703980809
108	90	0.0	0.0	0.0
705	799	21.333333	564.2822227278282	24.629992921040504
689	684	7.0	697.8323602031588	19.80847597522716
765	94	0.0	59.6761671924413	0.0
161	163	11.333333	32.625	11.333333208894787
887	883	5.666667	0.0	5.666667
368	311	15.333333	679.0955850651236	15.386388213963642
861	46	0.0	422.1371137865299	0.0
457	59	0.0	959.734440682466	0.0
32	352	0.0	0.0	0.0
780	786	5.666667	534.9492938731806	5.674216984172713
218	210	1.0	0.0	1.0
440	441	6.666667	0.0	6.666667
356	953	6.333333	1954.0052709608235	147.05637323642688
162	198	8.333333	0.0	8.333333
332	227	16.0	67.2637324610947	16.00000987185724
474	373	14.333333	0.0	14.333333
157	184	3.0	138.3967030903957	3.0000179057331122
352	32	0.0	496.27740074838766	0.0
678	580	15.0	611.0500895695828	18.18734056265156
305	298	18.333333	0.0	18.333333
291	909	1.0	0.0	1.0
781	2	0.0	0.0	0.0
701	41	0.0	0.0	0.0
96	894	0.0	0.0	0.0
489	495	5.333333	0.0	5.333333
40	801	0.0	0.0	0.0
472	17	0.0	0.0	0.0
155	156	0.666667	19.860468383668554	0.6666670031262373
362	877	11.333333	0.0	11.333333
261	788	8.666667	0.0	8.666667
376	883	9.0	0.0	9.0
609	68	0.0	1135.8189461321008	0.0
917	796	18.666667	0.0	18.666667
16	769	0.0	0.0	0.0
738	79	0.0	359.40448953617556	0.0
796	43	0.0	1678.8874861980091	0.0
749	304	13.333333	0.0	13.333333
589	590	7.0	370.8402215323377	7.002153839027091
297	299	14.666667	0.0	14.666667
313	455	3.0	1101.7301195672721	3.07191012098618
45	934	0.0	412.2975184741931	0.0
934	45	0.0	507.8322594056245	0.0
465	135	8.0	109.90043244479791	8.000018986961376
421	426	4.333333	0.0	4.333333
84	309	0.0	516.0352092088565	0.0
783	564	0.666667	312.83961201191806	0.7159379471526197
124	125	9.666667	0.0	9.666667
91	187	0.0	0.0	0.0
191	527	13.0	0.0	13.0
444	460	0.666667	0.0	0.666667
273	272	0.666667	0.0	0.666667
782	38	0.0	0.0	0.0
913	42	0.0	0.0	0.0
754	972	3.666667	96.2738427130291	3.6671471032647536
904	8	0.0	191.298	0.0
87	620	0.0	37.421527163728655	0.0
624	517	6.0	180.65860637364992	6.009741275708855
205	204	1.0	527.8696794185039	1.5991035136482905
556	161	13.333333	0.0	13.333333
111	114	0.666667	760.39081128218	0.6702929705563484
841	611	10.0	0.0	10.0
393	869	2.0	27.393	2.000000033942468
502	501	1.666667	442.366619859072	2.1591295719761767
948	541	10.666667	0.0	10.666667
81	322	0.0	59.84384664302081	0.0
62	266	0.0	0.0	0.0
695	691	0.666667	454.25996387931747	0.6671288433353104
684	13	0.0	697.8323602031588	0.0
296	101	7.333333	0.0	7.333333
595	596	3.333333	342.8374683836691	3.3347209916482794
310	269	18.0	2711.72388186404	47.33657450433331
534	76	0.0	311.8905993106394	0.0
40	800	0.0	0.0	0.0
278	284	0.666667	486.83475014101936	0.7237445341172281
632	633	12.0	0.0	12.0
110	120	1.333333	0.0	1.333333
266	145	7.0	0.0	7.0
143	140	2.666667	0.0	2.666667
861	47	0.0	652.1175517042287	0.0
653	678	2.333333	611.0500895695828	2.82914146113823
553	583	6.333333	563.0852428067404	6.352523396103527
938	22	0.0	0.0	0.0
90	520	0.0	0.0	0.0
434	104	1.0	0.0	1.0
880	882	3.666667	0.0	3.666667
415	416	1.0	531.3791288549612	1.0012971369913493
23	278	0.0	613.1405789921195	0.0
