Origin 	 destination 	 od demand 	od travel time
1	2	7.155	65.1926776230815
1	3	6.153	71.78242305238255
1	4	12.291	60.76773161112174
1	5	9.252	65.27057963511767
1	6	14.649	104.29599675994514
1	7	32.067	132.94786344260658
1	8	23.394	83.31935206885986
1	9	29.868	122.54643374138541
1	10	4.137	118.7669970381746
1	11	1.806	142.46519632360284
1	12	3.444	188.07222451858547
1	13	1.566	159.84115815928394
1	14	1.734	164.3086353580618
1	15	8.256	134.58574582719274
1	16	5.946	121.38920495824993
1	17	5.697	114.3742328168499
1	18	6.666	173.38996983802633
1	19	5.727	150.42433556206737
1	20	5.778	144.39611500940418
1	21	1.986	164.0899397743607
1	22	2.949	198.25228170505122
1	23	2.625	265.72847137182885
1	24	2.727	82.17038642795832
1	25	1.785	74.81926496789553
1	26	4.356	74.81926496789553
1	27	1.755	106.22758554975772
1	28	5.898	138.87371621810902
1	29	1.836	388.62786157159826
1	30	1.998	388.6433815112365
1	31	1.977	185.82913440758355
1	32	0.873	194.8455893186107
1	33	0.375	210.53993727318564
1	34	1.773	183.08343190110514
1	35	2.619	167.07153811739016
1	36	0.729	204.93227895556598
1	37	9.309	73.23988886646345
1	38	10.116	73.23988886646345
1	39	20.28	73.23988886646345
1	40	10.572	51.60388488411792
1	41	4.821	43.785729846103465
1	42	7.998	14.670432964026201
1	43	4.476	51.60388488411792
1	44	6.138	60.87535682073414
1	45	2.499	73.23988886646345
1	46	5.271	89.76013405702064
1	47	5.583	89.76013405702064
1	48	4.866	135.45741800354102
1	49	2.154	164.86700012962618
1	50	16.602	108.0313097957408
1	51	9.735	139.09399230003012
1	52	7.713	114.37423281684991
1	53	1.866	114.37423281684991
1	54	0.957	153.0583221240184
1	55	2.091	192.31908708925647
1	56	3.927	176.70154006769084
1	57	0.783	241.52464608122762
1	58	1.5	166.2111481595522
1	59	0.933	125.12827727407313
1	60	1.608	106.22758554975772
1	61	3.225	125.12827727407313
1	62	4.167	125.12827727407314
1	63	1.947	106.22758554975772
1	64	3.306	132.53566790186065
1	65	3.15	445.8933577901686
1	66	3.018	159.24048444257923
1	67	6.441	108.0313097957408
1	68	3.399	124.21919640421578
1	69	2.34	124.21919640421575
1	70	2.991	602.5628194354803
1	71	1.026	197.51265157279033
1	72	0.519	217.72333205031632
1	73	2.496	191.3983793053145
1	74	0.738	204.5391481532669
1	75	3.885	155.15637257932548
1	76	3.918	133.99831424293825
1	77	0.249	204.93227895556623
1	78	14.016	73.23988886646345
1	79	14.337	73.23988886646345
1	80	5.454	73.23988886646345
1	81	4.923	82.27280556823371
1	82	9.015	149.23758044156583
1	83	2.031	131.38058095733103
1	84	2.196	153.04015241790597
1	85	3.987	174.79808511281902
1	86	1.536	106.22758554975772
1	87	1.038	136.74777760366368
1	88	1.632	388.59964079813847
1	89	1.938	195.53403950436478
1	90	1.542	546.5932340519892
1	91	1.755	167.07153811739028
1	92	3.897	167.07153811739025
1	93	0.729	167.07153811739022
1	94	1.365	103.04081410213189
1	95	0.636	221.3795709176179
1	96	5.778	73.23988886646345
1	97	1.107	271.01603111290916
1	98	0.534	546.5192693507181
2	1	7.26	48.88622401769793
2	3	0.795	6.511843417264883
2	4	2.355	18.61843437557205
2	5	1.89	0.0
2	6	2.487	39.025417124827484
2	7	4.71	66.35959916548266
2	8	5.004	41.06242962369776
2	9	3.588	76.71696088714178
2	10	1.437	64.86052910827004
2	11	0.375	81.38861559102487
2	12	1.425	135.17510064182278
2	13	0.771	98.76457742670596
2	14	0.423	112.28541650728361
2	15	2.403	88.39038143423798
2	16	1.578	111.57500164663406
2	17	1.518	104.12399429072862
2	18	1.602	163.57576652641046
2	19	1.221	140.6101322504515
2	20	1.386	134.1458764832829
2	21	0.573	150.6095271850404
2	22	0.468	184.47230639319991
2	23	0.171	252.11938683617385
2	24	1.161	72.35618311634245
2	25	0.669	65.00506165627966
2	26	1.716	65.00506165627966
2	27	0.579	64.40669831910107
2	28	1.605	83.73427697664061
2	29	0.42	374.98369240101135
2	30	0.639	374.98369240101124
2	31	0.618	143.8724564997939
2	32	0.261	152.88891141082104
2	33	0.066	168.5832593653959
2	34	0.237	141.12675399331545
2	35	0.825	125.11486020960062
2	36	0.201	162.9756010477764
2	37	1.506	19.333420936558902
2	38	1.086	19.333420936558902
2	39	2.211	19.333420936558902
2	40	2.616	9.34696243895583
2	41	1.704	33.971526534487595
2	42	3.807	41.12449796135757
2	43	1.113	9.34696243895583
2	44	1.716	18.61843437557205
2	45	0.288	19.333420936558902
2	46	1.026	35.85366612711609
2	47	1.497	35.85366612711609
2	48	0.981	79.1387303105603
2	49	0.915	103.79041939704818
2	50	2.589	66.21042256508414
2	51	1.686	96.98648084569253
2	52	2.031	104.1239942907286
2	53	0.357	104.1239942907286
2	54	0.228	139.30496472303702
2	55	0.417	185.1571901711737
2	56	0.585	162.8050413310886
2	57	0.195	227.92731916458447
2	58	0.306	152.57438148571356
2	59	0.36	111.30723760892894
2	60	0.408	64.40669831910107
2	61	1.005	111.30723760892894
2	62	1.188	111.30723760892894
2	63	0.645	64.40669831910107
2	64	0.867	118.96070184644843
2	65	0.939	169.57012686012254
2	66	0.783	183.52339821094637
2	67	1.698	66.21042256508414
2	68	1.419	82.111684949878
2	69	0.633	82.111684949878
2	70	1.035	588.9393431828644
2	71	0.354	155.5559736650006
2	72	0.048	175.76665414252653
2	73	0.663	149.44170139752478
2	74	0.288	162.5824702454771
2	75	1.659	113.04886112498785
2	76	1.395	91.89080278860057
2	77	0.15	162.97560104777642
2	78	2.814	19.333420936558902
2	79	3.108	19.333420936558902
2	80	1.665	19.333420936558902
2	81	0.429	17.002225933116044
2	82	3.0	101.3718079542654
2	83	0.441	121.50157277365666
2	84	0.444	139.30496472303702
2	85	0.84	160.9871052645585
2	86	0.543	64.40669831910107
2	87	0.099	123.17656745129517
2	88	0.555	374.9836924010113
2	89	0.426	153.57399116404235
2	90	0.324	533.0073404506736
2	91	0.708	125.11486020960064
2	92	1.578	125.11486020960062
2	93	0.108	125.11486020960062
2	94	0.447	93.226610790516
2	95	0.099	180.14694421803392
2	96	0.957	19.333420936558902
2	97	0.186	257.42329993217226
2	98	0.036	533.0073404506737
3	1	6.417	61.22268288446586
3	2	0.789	12.336458866767934
3	4	1.74	17.81046839458481
3	5	1.704	12.336458866767934
3	6	2.13	32.5135737075626
3	7	5.571	59.847755748217786
3	8	3.798	40.25446364271052
3	9	4.512	70.2051174698769
3	10	1.17	77.19698797503798
3	11	0.336	74.87677217376
3	12	1.269	128.6632572245579
3	13	0.537	92.25273400944108
3	14	0.405	105.77357309001874
3	15	2.025	81.8785380169731
3	16	1.311	110.76703566564683
3	17	1.272	103.75206352424681
3	18	1.137	162.76780054542323
3	19	1.044	139.80216626946427
3	20	1.197	133.7739457168011
3	21	0.543	149.82638318948315
3	22	0.432	184.0466967842953
3	23	0.273	251.24246904481979
3	24	0.828	71.54821713535522
3	25	0.597	64.19709567529243
3	26	1.308	64.19709567529243
3	27	0.426	63.59873233811382
3	28	1.497	83.36234796344816
3	29	0.495	374.1067746096573
3	30	0.498	374.10677460965735
3	31	0.6	143.06449051880665
3	32	0.273	152.08094542983378
3	33	0.192	167.77529338440863
3	34	0.378	132.07859062216087
3	35	0.747	124.30689422861337
3	36	0.306	162.16763506678916
3	37	1.812	31.669879803326836
3	38	1.383	31.669879803326836
3	39	3.279	31.669879803326836
3	40	2.022	21.683421305723762
3	41	1.338	33.16356055350035
3	42	2.859	53.46095682812551
3	43	0.78	21.683421305723762
3	44	1.239	17.81046839458481
3	45	0.417	31.669879803326836
3	46	1.173	48.19012499388403
3	47	1.44	48.19012499388403
3	48	1.047	95.51372921065709
3	49	0.771	97.27857597978331
3	50	2.865	65.4024565840969
3	51	1.893	96.17851486470529
3	52	1.557	103.75206352424681
3	53	0.315	103.75206352424681
3	54	0.21	138.87935511413258
3	55	0.402	184.73158056226924
3	56	0.543	162.379431722184
3	57	0.201	227.05040137323036
3	58	0.282	151.69746369435953
3	59	0.297	110.93530684244712
3	60	0.354	63.59873233811382
3	61	0.744	110.93530684244713
3	62	1.032	110.93530684244713
3	63	0.57	63.59873233811383
3	64	0.687	118.57734244779215
3	65	0.867	267.13803692879014
3	66	0.597	209.54278415809827
3	67	1.764	65.4024565840969
3	68	0.954	81.30371896889075
3	69	0.69	81.30371896889075
3	70	0.81	588.0624253915103
3	71	0.45	154.74800768401334
3	72	0.204	174.95868816153927
3	73	0.744	148.63373541653752
3	74	0.324	161.77450426448985
3	75	1.437	107.61207190920491
3	76	1.146	91.08283680761332
3	77	0.234	162.16763506678916
3	78	2.505	31.669879803326836
3	79	2.799	31.669879803326833
3	80	1.2	31.669879803326833
3	81	0.537	29.33868479988398
3	82	2.664	94.85996453700052
3	83	0.366	121.12964200717484
3	84	0.393	138.87935511413264
3	85	0.861	160.56149565565403
3	86	0.456	63.59873233811382
3	87	0.138	122.29964965994107
3	88	0.423	374.10677460965735
3	89	0.534	152.76602518305512
3	90	0.426	532.1215635394065
3	91	0.696	124.30689422861337
3	92	1.47	124.30689422861336
3	93	0.159	124.30689422861339
3	94	0.333	92.41864480952877
3	95	0.168	179.34052373153534
3	96	1.002	31.669879803326836
3	97	0.18	256.54638214081814
3	98	0.06	532.1215635394069
4	1	12.342	58.52233478950979
4	2	2.274	27.69700913824378
4	3	1.728	15.360550271475844
4	5	3.81	27.69700913824378
4	6	4.323	47.874123979038444
4	7	11.994	72.46357780842789
4	8	6.492	22.44399524812571
4	9	9.33	66.27428036785312
4	10	2.388	90.37999812244563
4	11	0.813	87.49259423397008
4	12	2.583	127.40856134962063
4	13	1.038	104.86855606965118
4	14	0.945	107.75293890984473
4	15	4.425	78.3416242306239
4	16	2.487	92.95656727106201
4	17	2.52	85.941595129662
4	18	2.25	144.95733215083843
4	19	2.133	121.99169787487946
4	20	2.445	115.9634773222163
4	21	1.041	132.01591479489826
4	22	1.188	166.28990723213326
4	23	0.909	233.43200065023498
4	24	1.374	53.73774874077041
4	25	1.212	46.38662728070762
4	26	2.685	46.38662728070762
4	27	0.891	45.78826394352901
4	28	2.871	65.54854411387836
4	29	0.834	356.2963062150727
4	30	1.542	356.29630621507243
4	31	1.476	125.25402212422186
4	32	0.681	134.27047703524897
4	33	0.675	149.96482498982382
4	34	1.11	122.50831961774338
4	35	1.737	106.49642583402857
4	36	0.891	144.35716667220436
4	37	4.083	44.85288995073448
4	38	3.912	44.85288995073448
4	39	7.8	44.85288995073448
4	40	4.473	23.216885968388947
4	41	2.52	15.353092158915544
4	42	5.754	50.760608733169434
4	43	1.539	23.21688596838895
4	44	2.136	0.0
4	45	1.119	44.85288995073448
4	46	2.724	61.37313514129166
4	47	2.904	61.37313514129168
4	48	2.487	108.12955127086718
4	49	1.566	109.89439803999342
4	50	7.179	47.591988189512094
4	51	4.548	78.36804647012049
4	52	3.156	85.941595129662
4	53	0.711	85.941595129662
4	54	0.444	121.1225655619703
4	55	0.867	166.9747910101072
4	56	1.437	144.622642170022
4	57	0.429	209.23993297864547
4	58	0.735	133.88699529977464
4	59	0.579	93.12483844786232
4	60	0.66	45.78826394352901
4	61	1.521	93.12483844786232
4	62	2.076	93.12483844786232
4	63	1.002	45.78826394352901
4	64	1.647	100.76687405320732
4	65	1.611	245.69353007616107
4	66	1.401	139.70247347933872
4	67	2.724	47.5919881895121
4	68	2.61	63.49325057430595
4	69	1.095	63.49325057430595
4	70	2.694	570.2519569969254
4	71	1.077	136.93753928942854
4	72	0.714	157.14821976695447
4	73	1.863	130.82326702195272
4	74	0.771	143.96403586990505
4	75	2.73	94.43042674941582
4	76	2.433	73.27236841302852
4	77	0.699	144.35716667220436
4	78	5.382	44.85288995073448
4	79	6.576	44.85288995073448
4	80	2.289	44.85288995073448
4	81	1.455	44.69923507135982
4	82	5.604	92.69666663123118
4	83	0.798	103.31917361259013
4	84	0.987	121.12256556197035
4	85	1.752	142.80470610349164
4	86	0.912	45.788263943529
4	87	0.417	104.48918126535627
4	88	1.23	356.2963062150725
4	89	0.975	134.95555678847035
4	90	0.855	514.3110951448219
4	91	1.509	106.49642583402857
4	92	2.907	106.49642583402857
4	93	0.444	106.49642583402857
4	94	0.672	74.60817641494396
4	95	0.66	161.5316635480226
4	96	2.055	44.85288995073448
4	97	0.51	238.7359137462334
4	98	0.21	514.3110951448218
5	1	9.327	48.88622401769793
5	2	1.857	0.0
5	3	1.641	6.511843417264883
5	4	3.78	18.61843437557205
5	6	5.685	39.025417124827484
5	7	13.836	66.35959916548266
5	8	8.961	41.06242962369776
5	9	11.85	76.71696088714178
5	10	2.037	64.86052910827004
5	11	0.84	81.38861559102486
5	12	1.59	135.17510064182278
5	13	0.663	98.76457742670596
5	14	0.777	112.28541650728361
5	15	3.273	88.39038143423798
5	16	1.737	111.57500164663406
5	17	1.689	104.12399429072859
5	18	1.761	163.57576652641046
5	19	1.473	140.6101322504515
5	20	1.53	134.1458764832829
5	21	0.66	150.89234337923142
5	22	0.486	184.7574254989342
5	23	0.651	252.33037552704178
5	24	1.284	72.35618311634245
5	25	0.885	65.00506165627966
5	26	2.025	65.00506165627966
5	27	0.495	64.40669831910107
5	28	2.208	83.7237153966329
5	29	0.558	375.1953107570489
5	30	0.504	375.1674385772515
5	31	0.702	143.8724564997939
5	32	0.267	152.88891141082104
5	33	0.093	168.5832593653959
5	34	0.798	141.12675399331545
5	35	0.999	125.11486020960062
5	36	0.348	162.97560104777642
5	37	3.708	19.333420936558902
5	38	3.093	19.333420936558902
5	39	8.052	19.333420936558902
5	40	3.294	9.34696243895583
5	41	2.112	33.971526534487595
5	42	4.029	41.12449796135757
5	43	1.407	9.34696243895583
5	44	2.241	18.61843437557205
5	45	1.206	19.333420936558902
5	46	3.018	35.85366612711609
5	47	3.039	35.85366612711609
5	48	2.409	79.1387303105603
5	49	1.029	103.79041939704818
5	50	6.366	66.21042256508414
5	51	3.753	96.98648084569254
5	52	2.088	104.1239942907286
5	53	0.516	104.1239942907286
5	54	0.27	139.59754814073403
5	55	0.483	185.1932878612561
5	56	0.729	163.084318561926
5	57	0.237	228.1103480026627
5	58	0.327	152.75776680719332
5	59	0.354	111.74327282343438
5	60	0.624	64.40669831910107
5	61	1.008	111.74327282343438
5	62	1.305	111.74327282343438
5	63	0.756	64.40669831910107
5	64	0.816	119.17214756863324
5	65	1.116	313.7057297267425
5	66	0.753	386.0993765170837
5	67	2.316	66.21042256508414
5	68	1.164	82.111684949878
5	69	0.846	82.111684949878
5	70	0.894	589.1475302790475
5	71	0.312	155.5559736650006
5	72	0.048	175.76665414252653
5	73	0.852	149.44170139752478
5	74	0.225	162.5824702454771
5	75	1.647	113.04886112498785
5	76	1.407	91.89080278860057
5	77	0.093	162.97560104777642
5	78	5.994	19.333420936558902
5	79	3.681	19.333420936558902
5	80	2.127	19.333420936558902
5	81	1.788	17.002225933116044
5	82	3.669	101.3718079542654
5	83	0.498	121.50157277365668
5	84	0.486	139.59063372626431
5	85	1.089	161.25869652711674
5	86	0.582	64.40669831910107
5	87	0.354	123.38239014811066
5	88	0.525	375.1901911326339
5	89	0.621	153.5739911640424
5	90	0.426	533.1946922983541
5	91	0.69	125.11486020960062
5	92	1.434	125.11486020960062
5	93	0.303	125.11486020960062
5	94	0.525	93.226610790516
5	95	0.117	180.14759257001583
5	96	2.058	19.333420936558902
5	97	0.204	257.60753162952284
5	98	0.138	533.2909226233152
6	1	14.793	87.48188572512338
6	2	2.457	56.55366768932703
6	3	2.139	44.32010120708945
6	4	4.401	28.959550935613603
6	5	5.754	56.55366768932703
6	7	8.013	27.33418204065518
6	8	8.325	32.10993981193084
6	9	7.137	37.69154376231431
6	10	3.066	67.79705541502193
6	11	0.573	42.3631984661974
6	12	3.981	96.14968351699532
6	13	1.359	59.7391603018785
6	14	1.056	73.25999938245616
6	15	4.926	49.36496430941052
6	16	3.003	121.9161182066756
6	17	3.108	131.83267885610198
6	18	2.601	173.916883086452
6	19	2.298	150.95124881049304
6	20	2.973	161.85456104865625
6	21	1.539	143.27518856830523
6	22	1.44	177.25834637618132
6	23	0.672	244.75270941381348
6	24	2.472	64.53816088299727
6	25	1.47	75.34617821632122
6	26	3.507	75.34617821632122
6	27	1.392	56.60398568223532
6	28	3.798	76.29314906353838
6	29	1.317	367.61701497865096
6	30	2.346	367.6170149786512
6	31	2.424	120.67505749217133
6	32	1.182	129.69151240319846
6	33	1.158	145.3858603577733
6	34	1.008	99.55206164611278
6	35	2.556	101.91746120197804
6	36	1.254	139.77820204015381
6	37	4.389	73.81244088634809
6	38	3.042	73.81244088634809
6	39	5.889	73.81244088634809
6	40	7.134	52.17643690400255
6	41	3.84	44.31264309452914
6	42	7.008	79.72015966878303
6	43	2.616	52.17643690400255
6	44	3.282	28.959550935613603
6	45	0.837	73.81244088634809
6	46	2.361	90.33268607690528
6	47	3.174	90.33268607690528
6	48	1.962	63.0001555030945
6	49	2.4	64.76500227222073
6	50	6.582	58.40770992821841
6	51	4.695	65.35944835788574
6	52	4.383	131.83267885610198
6	53	0.861	131.83267885610198
6	54	0.582	132.0910047060184
6	55	1.047	201.25820062329768
6	56	1.728	155.5910813140699
6	57	0.633	220.56064174222416
6	58	1.032	145.2077040633533
6	59	0.789	103.94056018656863
6	60	0.906	56.60398568223532
6	61	2.193	103.94056018656863
6	62	2.802	103.94056018656863
6	63	1.458	56.60398568223532
6	64	2.316	111.59402442408813
6	65	2.289	190.64095604672826
6	66	1.926	173.13925993498546
6	67	4.125	58.4077099282184
6	68	3.804	74.30897231301226
6	69	1.743	74.30897231301225
6	70	4.176	581.572665760504
6	71	1.989	132.35857465737803
6	72	1.341	152.56925513490395
6	73	3.18	126.2443023899022
6	74	1.494	139.38507123785453
6	75	4.452	75.07274203970096
6	76	3.831	68.69340378097799
6	77	1.344	139.77820204015381
6	78	4.959	73.81244088634809
6	79	8.718	73.81244088634809
6	80	2.763	73.81244088634809
6	81	1.062	29.66890487754135
6	82	7.929	62.34639082943792
6	83	1.062	149.37275281070112
6	84	1.284	132.09100470601837
6	85	2.367	153.77314524753976
6	86	1.218	56.60398568223532
6	87	0.309	115.80989002893486
6	88	1.746	367.6170149786509
6	89	1.533	130.37659215641983
6	90	1.419	525.6406630283135
6	91	2.676	101.91746120197804
6	92	5.064	101.91746120197804
6	93	0.444	101.91746120197804
6	94	0.837	103.56772735055755
6	95	1.125	156.95288086597333
6	96	1.809	73.81244088634809
6	97	0.705	250.05662250981192
6	98	0.165	525.6406630283135
7	1	32.934	96.88535892689319
7	2	4.752	65.97210291029423
7	3	5.637	53.72357440885925
7	4	12.192	38.36302413738341
7	5	14.196	66.06003327562718
7	6	8.106	9.403473201769808
7	8	18.375	41.51341301370065
7	9	9.411	47.09501696408411
7	10	6.939	40.462873374366744
7	11	1.041	15.029016425542222
7	12	10.635	68.81550147634013
7	13	2.973	32.40497826122331
7	14	1.692	45.92581734180097
7	15	8.982	43.03213325117605
7	16	6.999	148.4032394801916
7	17	7.632	115.0497772221804
7	18	5.067	200.40400435996796
7	19	5.217	177.43916947676257
7	20	7.272	174.9112228215426
7	21	4.23	126.38890796191848
7	22	4.23	160.47544474225967
7	23	0.996	227.96980777989188
7	24	5.889	73.94163408476707
7	25	3.498	84.74965141809105
7	26	8.187	84.74965141809103
7	27	3.465	39.821084048313736
7	28	9.255	59.51397671173227
7	29	4.335	350.8341133447294
7	30	6.051	350.8341133447294
7	31	7.014	105.93252842047873
7	32	4.272	114.94898333150584
7	33	3.846	129.78572184141098
7	34	1.476	72.2178796054576
7	35	7.17	87.17493213028544
7	36	3.567	116.9906839923635
7	37	8.451	83.31385766111042
7	38	3.723	83.31385766111042
7	39	7.14	83.31385766111042
7	40	14.52	61.579910105772356
7	41	8.787	53.71611629629896
7	42	15.054	89.12363287055284
7	43	6.606	61.57991010577235
7	44	9.309	38.36302413738341
7	45	0.792	83.31385766111042
7	46	3.021	77.11216550654426
7	47	5.973	77.11216550654426
7	48	3.996	35.66597346243932
7	49	5.205	37.43082023156554
7	50	9.921	37.32012864397537
7	51	8.082	68.09618692458376
7	52	10.572	115.0497772221804
7	53	1.983	115.0497772221804
7	54	1.512	115.30810307209676
7	55	2.706	184.47529898937606
7	56	4.338	138.80817968014833
7	57	1.848	203.7777401083025
7	58	2.892	128.4248024294317
7	59	2.091	87.15765855264705
7	60	2.121	39.821084048313736
7	61	5.541	87.15765855264705
7	62	7.371	87.15765855264705
7	63	3.684	39.821084048313736
7	64	6.327	94.81112279016651
7	65	6.021	884.0184650714527
7	66	4.959	94.81112279016651
7	67	12.228	37.32012864397537
7	68	9.099	53.221391028769226
7	69	5.433	53.22139102876922
7	70	11.436	564.7897641265824
7	71	6.963	117.61604558568541
7	72	5.292	136.96911661854165
7	73	10.74	110.64416387353987
7	74	5.322	123.7849327214922
7	75	11.646	47.738559999045776
7	76	10.887	63.00050886749179
7	77	4.731	116.99068399236349
7	78	7.686	83.31385766111042
7	79	18.903	83.31385766111042
7	80	5.334	83.31385766111042
7	81	1.74	39.072378079311164
7	82	15.042	35.01220878878274
7	83	2.658	132.38627161243528
7	84	3.429	115.30810307209676
7	85	6.399	136.99024361361813
7	86	3.141	39.821084048313736
7	87	0.372	99.02698839501326
7	88	4.236	350.83411334472936
7	89	5.052	115.63406308472726
7	90	5.739	508.85776139439156
7	91	7.866	87.17493213028544
7	92	14.478	87.17493213028544
7	93	0.789	87.17493213028546
7	94	1.914	112.97120055232737
7	95	3.363	141.353152630012
7	96	2.988	83.31385766111042
7	97	2.145	233.27372087589032
7	98	0.216	508.85776139439156
8	1	23.562	92.8543198416778
8	2	4.86	63.12458343058917
8	3	3.792	50.78812456382124
8	4	6.516	35.427574292345405
8	5	9.057	63.12458343058918
8	6	8.202	55.0097848448995
8	7	18.102	66.7491683177472
8	9	11.418	47.35495824974444
8	10	4.062	107.21204169211396
8	11	1.401	81.77818474328942
8	12	5.067	108.85011607788874
8	13	2.04	99.1541465789705
8	14	1.671	88.43969347606148
8	15	6.954	59.02837879684065
8	16	4.821	102.3530548035705
8	17	5.145	95.33808266217048
8	18	4.404	154.35381968334693
8	19	4.449	131.38818540738794
8	20	5.217	125.35996485472477
8	21	2.376	144.5626300756078
8	22	3.054	178.55083072309463
8	23	1.8	245.4408541865055
8	24	2.337	32.42822107106643
8	25	2.055	55.783114813216116
8	26	5.337	55.783114813216116
8	27	1.323	57.4578423498551
8	28	5.565	77.14700573115816
8	29	1.959	368.1953414862833
8	30	3.672	368.15314883984877
8	31	3.444	130.3603152590762
8	32	1.926	139.37677017010347
8	33	1.923	155.07769903528745
8	34	2.049	110.62612020537902
8	35	3.777	111.60929987949227
8	36	2.034	149.47004071766804
8	37	6.351	80.26256531132344
8	38	5.601	80.26174957004395
8	39	10.821	80.26174957004395
8	40	9.897	58.62574558769841
8	41	4.824	49.68507721108358
8	42	10.206	85.09259378533746
8	43	3.366	58.62574558769841
8	44	4.179	35.427574292345405
