iteration 	 gap 	 fullGap
0	0.08196561789533151	0.32662434385837347
1	0.03671203235186495	0.2738396126392707
2	0.017975020682835765	0.24380524068366805
3	0.012414402549201294	0.2416269570068863
4	0.009151755670295447	0.24434952794266607
5	0.006834862015107006	0.24181454413659276
6	0.005096721080386202	0.24747643699504607
7	0.0037586926070797976	0.25822549792906035
8	0.002729640178227813	0.25949877610321637
9	0.0019744508443016494	0.2625672301744566
10	0.0016703106525889294	0.26669634855037705
11	0.001218249563301145	0.2771607696729168
12	7.395757212539079E-4	0.2769439338234678
13	8.049336126716747E-4	0.28298968451744066
14	0.0010830797343591235	0.2839288258762447
15	7.93367189090667E-4	0.28963014447545743
16	5.527327920183796E-4	0.294535276268289
17	4.017158032722857E-4	0.29221211954573467
18	4.012914108343588E-4	0.29372415698813215
19	1.9321907908259692E-5	0.30212581763133317
20	1.5658414069790136E-4	0.3051674652956482
21	-4.296424957681576E-5	0.3089064284024049
22	-1.3070110660857546E-5	0.31543467209415144
23	-1.950783073226461E-4	0.32050647446994107
24	-3.3008177327156074E-4	0.32668010991146235
25	-4.17034013389156E-4	0.33431329278371236
26	-5.009512984757741E-4	0.3367020170322752
27	-5.049246181669441E-4	0.34035529905883755
28	-5.713129933439545E-4	0.3445943505036222
29	-6.080579195077845E-4	0.3463359506909489
30	-6.445451674693344E-4	0.35151670222944065
31	-6.801845591950042E-4	0.353826359223561
32	-6.847907044047343E-4	0.35499335726528425
33	-7.243629590980028E-4	0.35558407614445
34	-7.51449200029043E-4	0.3609953862905144
35	-7.731202816066435E-4	0.3646499195023408
36	-7.582837125277649E-4	0.36763417161698675
37	-7.50154473235574E-4	0.36544309023383015
38	-7.687948540798518E-4	0.3654708838693558
39	-7.827746458327049E-4	0.371636692547872
40	-7.89166879248617E-4	0.3747750497153236
41	-7.936648322843517E-4	0.37530878391526945
42	-8.029676695309617E-4	0.3771829659795568
43	-8.078936548671767E-4	0.38625262356900136
44	-8.149671320269293E-4	0.39340271740033017
45	-8.192562820250208E-4	0.39412443387445106
46	-8.30315814217198E-4	0.39467194176362796
47	-8.359836234285756E-4	0.3952898694057406
48	-8.423919751898022E-4	0.3981516282774281
49	-8.471298012597167E-4	0.4004837917782389
50	-8.530662405918016E-4	0.4041005632006759
51	-8.563889636557695E-4	0.40539078199823675
52	-8.61780764993266E-4	0.40455247453430665
53	-8.657784260819899E-4	0.40672738850027945
54	-8.695668171199616E-4	0.4046593112386969
55	-8.731667125454563E-4	0.4048495477800814
56	-8.759295555835327E-4	0.4104532174881794
57	-8.794138481781315E-4	0.4065937368562875
58	-8.823495687811692E-4	0.4073450803931403
59	-8.851220238391343E-4	0.40793604509189074
60	-8.876928329071904E-4	0.4052567673455172
61	-8.901583220208204E-4	0.406992601420482
62	-8.925051917594847E-4	0.406176610694724
63	-8.947807787584206E-4	0.4043992295495257
64	-8.969998302586928E-4	0.40676900685823036
65	-8.990819696241545E-4	0.401449676453983
66	-9.011182485155185E-4	0.3716864669362022
67	-9.031716253564005E-4	0.35895139187054315
68	-9.051192057478587E-4	0.3608826068696125
69	-9.069835721678698E-4	0.36066915740203664
70	-9.087743265350927E-4	0.355352727950894
71	-9.105911972045529E-4	0.3466832261683497
72	-9.123233686837586E-4	0.3474751079468952
73	-9.139474956646244E-4	0.3485687853709537
74	-9.154779202367412E-4	0.33370492899978876
75	-9.169854198624525E-4	0.3301981765238551
76	-9.184728353086682E-4	0.3153584828177667
77	-9.199290243081222E-4	0.31498931213506354
78	-9.213639108687159E-4	0.3152368442763006
79	-9.227110994719613E-4	0.3150322025646515
80	-9.240366852123977E-4	0.31506222711793574
81	-9.252855021820451E-4	0.31741172334083867
82	-9.264457525233984E-4	0.31695645723816046
83	-9.275975963381182E-4	0.31900081522419477
84	-9.286744589748508E-4	0.3186119215742296
85	-9.297423715591303E-4	0.31696457321777327
86	-9.307940264645924E-4	0.3167018661225577
87	-9.31834907391121E-4	0.31599776754439457
88	-9.328616973292826E-4	0.31645636213854955
89	-9.338259345322657E-4	0.3211766400075594
90	-9.347306808451622E-4	0.3221259502105427
