source	dest	fft	coef	power	capacity
65	551	0.0	0.0	4.0	999999.0
65	555	0.0	0.0	4.0	999999.0
618	552	4.333333	1.0	4.0	900.0
168	144	5.666667	1.0	4.0	2800.0
520	521	2.333333	1.0	4.0	900.0
90	521	0.0	0.0	4.0	999999.0
967	95	0.0	0.0	4.0	999999.0
332	227	16.0	1.0	4.0	2400.0
70	147	0.0	0.0	4.0	999999.0
70	163	0.0	0.0	4.0	999999.0
70	175	0.0	0.0	4.0	999999.0
557	618	5.333333	1.0	4.0	900.0
66	146	0.0	0.0	4.0	999999.0
553	583	6.333333	1.0	4.0	2400.0
148	89	0.0	0.0	4.0	999999.0
615	149	1.0	1.0	4.0	2400.0
946	947	1.0	1.0	4.0	2400.0
889	686	7.0	1.0	4.0	900.0
521	90	0.0	0.0	4.0	999999.0
623	557	10.0	1.0	4.0	2400.0
517	95	0.0	0.0	4.0	999999.0
402	403	6.333333	1.0	4.0	900.0
402	401	1.0	1.0	4.0	900.0
226	336	12.0	1.0	4.0	2400.0
214	205	5.0	1.0	4.0	2800.0
214	219	0.666667	1.0	4.0	2800.0
95	517	0.0	0.0	4.0	999999.0
161	163	11.333333	1.0	4.0	2800.0
247	224	17.333333	1.0	4.0	2800.0
153	28	0.0	0.0	4.0	999999.0
243	244	1.333333	1.0	4.0	2800.0
108	90	0.0	0.0	4.0	999999.0
13	974	0.0	0.0	4.0	999999.0
95	967	0.0	0.0	4.0	999999.0
673	648	2.333333	1.0	4.0	2400.0
669	667	1.666667	1.0	4.0	2800.0
219	168	12.333333	1.0	4.0	2800.0
555	65	0.0	0.0	4.0	999999.0
665	663	8.666667	1.0	4.0	2400.0
612	402	18.0	1.0	4.0	900.0
219	214	0.666667	1.0	4.0	2800.0
149	615	0.333333	1.0	4.0	2400.0
551	65	0.0	0.0	4.0	999999.0
616	617	10.0	1.0	4.0	900.0
334	20	0.0	0.0	4.0	999999.0
88	401	0.0	0.0	4.0	999999.0
334	335	11.333333	1.0	4.0	900.0
146	66	0.0	0.0	4.0	999999.0
367	363	9.333333	1.0	4.0	900.0
686	974	2.333333	1.0	4.0	900.0
666	591	1.0	1.0	4.0	2800.0
175	70	0.0	0.0	4.0	999999.0
89	148	0.0	0.0	4.0	999999.0
617	618	3.333333	1.0	4.0	900.0
974	13	0.0	0.0	4.0	999999.0
244	962	2.666667	1.0	4.0	2800.0
167	153	8.333333	1.0	4.0	2800.0
523	518	13.0	1.0	4.0	900.0
163	70	0.0	0.0	4.0	999999.0
650	646	3.666667	1.0	4.0	900.0
646	654	0.333333	1.0	4.0	900.0
28	153	0.0	0.0	4.0	999999.0
552	553	5.666667	1.0	4.0	2800.0
147	70	0.0	0.0	4.0	999999.0
609	927	1.0	1.0	4.0	2400.0
65	184	0.0	0.0	4.0	999999.0
401	88	0.0	0.0	4.0	999999.0
147	148	11.666667	1.0	4.0	2800.0
184	65	0.0	0.0	4.0	999999.0
941	927	12.666667	1.0	4.0	900.0
20	334	0.0	0.0	4.0	999999.0
401	404	1.666667	1.0	4.0	900.0
401	402	0.333333	1.0	4.0	900.0
90	108	0.0	0.0	4.0	999999.0
