source	dest	fft	coef	power	capacity
356	358	0.333333	1.0	4.0	900.0
643	87	0.0	0.0	4.0	999999.0
356	354	2.666667	1.0	4.0	2400.0
57	354	0.0	0.0	4.0	999999.0
57	356	0.0	0.0	4.0	999999.0
57	358	0.0	0.0	4.0	999999.0
622	621	2.333333	1.0	4.0	900.0
622	620	2.0	1.0	4.0	2400.0
622	615	18.666667	1.0	4.0	2400.0
430	119	5.666667	1.0	4.0	2800.0
639	22	0.0	0.0	4.0	999999.0
938	22	0.0	0.0	4.0	999999.0
221	242	10.333333	1.0	4.0	2800.0
213	54	0.0	0.0	4.0	999999.0
426	55	0.0	0.0	4.0	999999.0
307	308	0.666667	1.0	4.0	900.0
618	616	24.666667	1.0	4.0	900.0
618	623	6.333333	1.0	4.0	600.0
954	519	18.0	1.0	4.0	900.0
127	131	10.666667	1.0	4.0	2800.0
209	54	0.0	0.0	4.0	999999.0
549	29	0.0	0.0	4.0	999999.0
209	84	0.0	0.0	4.0	999999.0
282	838	0.666667	1.0	4.0	900.0
98	519	0.0	0.0	4.0	999999.0
98	518	0.0	0.0	4.0	999999.0
614	622	4.333333	1.0	4.0	2400.0
168	157	1.0	1.0	4.0	2800.0
213	218	6.666667	1.0	4.0	2800.0
925	924	3.666667	1.0	4.0	2400.0
123	116	1.666667	1.0	4.0	2800.0
835	832	5.0	1.0	4.0	900.0
160	30	0.0	0.0	4.0	999999.0
545	64	0.0	0.0	4.0	999999.0
938	284	16.0	1.0	4.0	2400.0
549	152	10.0	1.0	4.0	600.0
278	834	11.333333	1.0	4.0	2400.0
209	213	3.0	1.0	4.0	2800.0
876	875	6.666667	1.0	4.0	900.0
430	429	1.333333	1.0	4.0	2400.0
131	430	0.666667	1.0	4.0	2800.0
119	180	6.0	1.0	4.0	2800.0
287	114	23.0	1.0	4.0	900.0
151	953	11.0	1.0	4.0	600.0
160	151	15.333333	1.0	4.0	2800.0
90	518	0.0	0.0	4.0	999999.0
90	520	0.0	0.0	4.0	999999.0
426	407	5.666667	1.0	4.0	2400.0
922	21	0.0	0.0	4.0	999999.0
360	919	1.666667	1.0	4.0	2400.0
877	23	0.0	0.0	4.0	999999.0
152	30	0.0	0.0	4.0	999999.0
29	151	0.0	0.0	4.0	999999.0
152	29	0.0	0.0	4.0	999999.0
29	152	0.0	0.0	4.0	999999.0
238	83	0.0	0.0	4.0	999999.0
156	166	0.666667	1.0	4.0	2800.0
111	114	0.666667	1.0	4.0	2800.0
414	236	33.0	1.0	4.0	2400.0
197	168	1.0	1.0	4.0	2800.0
287	289	1.0	1.0	4.0	600.0
242	237	27.0	1.0	4.0	2800.0
598	595	7.0	1.0	4.0	2400.0
152	151	1.666667	1.0	4.0	600.0
356	953	6.333333	1.0	4.0	900.0
197	214	5.666667	1.0	4.0	2800.0
152	161	8.333333	1.0	4.0	2800.0
418	414	3.333333	1.0	4.0	2400.0
406	122	6.333333	1.0	4.0	900.0
361	85	0.0	0.0	4.0	999999.0
238	221	13.333333	1.0	4.0	2800.0
283	280	0.333333	1.0	4.0	900.0
283	281	5.333333	1.0	4.0	2400.0
238	234	2.333333	1.0	4.0	900.0
496	283	0.333333	1.0	4.0	2400.0
594	593	2.0	1.0	4.0	2400.0
594	592	2.666667	1.0	4.0	900.0
594	595	0.333333	1.0	4.0	900.0
402	88	0.0	0.0	4.0	999999.0
111	289	8.333333	1.0	4.0	900.0
148	159	10.0	1.0	4.0	2800.0
414	419	1.0	1.0	4.0	2400.0
115	429	13.333333	1.0	4.0	2800.0
971	496	14.0	1.0	4.0	2400.0
123	626	4.0	1.0	4.0	2400.0
234	228	0.666667	1.0	4.0	2800.0
353	21	0.0	0.0	4.0	999999.0
58	124	0.0	0.0	4.0	999999.0
58	125	0.0	0.0	4.0	999999.0
189	197	2.0	1.0	4.0	2800.0
189	210	4.333333	1.0	4.0	2800.0
410	407	1.666667	1.0	4.0	900.0
627	496	1.666667	1.0	4.0	900.0
275	238	4.666667	1.0	4.0	900.0
