iteration 	 gap
0	NaN
1	0.9984878267733598
2	0.9979894168380936
3	0.027159851489897413
4	0.05006780519462761
5	7.688914819213855E-4
6	0.057276192443333596
7	4.551993407764243E-7
8	0.03835264035256536
9	5.936341341505891E-4
10	0.021417534763469304
11	2.2295430373198144E-4
12	0.00805308678508232
13	3.764946236883837E-5
14	9.438862525300573E-4
15	2.2447201497577396E-7
16	0.010540732051767532
17	3.1695436946699296E-5
18	0.0034922399225143508
19	1.5721201699236964E-5
20	4.3497868428521436E-4
21	1.4036810758177864E-7
22	0.0022846337451449816
23	1.4261595090436785E-6
24	0.003697766825019877
25	3.617751513917966E-6
26	0.01768986998819655
27	8.477735950263021E-5
28	0.003112921459989093
29	2.6015714268412538E-6
30	0.003462341519337886
31	3.1156516334673867E-6
32	0.015807077958571836
33	6.587992888584804E-5
34	0.0018470071248991582
35	8.893005530863363E-7
36	0.001953966213584235
37	9.688971062127294E-7
38	0.012140536143410041
39	3.7785735082507266E-5
40	3.8579158701435023E-4
41	3.7869108848731514E-8
42	0.009070373308059598
43	2.107007574647657E-5
44	2.298472640936966E-4
45	2.7701875460195424E-8
46	0.0063755001432430625
47	1.0394664888391247E-5
48	4.010059184462733E-4
49	8.287176622712167E-8
50	0.004165142906671582
51	4.4319389140845544E-6
52	3.922937114064773E-4
53	7.852407790664984E-8
54	0.0025000318297947466
55	1.5956854731991044E-6
56	3.080904286995034E-4
57	4.8177740796795376E-8
58	0.0013607726686620802
59	4.7253353563370126E-7
60	2.1011978388219E-4
61	2.2351888451233037E-8
62	6.606970974324389E-4
63	1.1135584676580379E-7
64	1.2726658346984276E-4
65	8.190841782607095E-9
66	2.797993102805485E-4
67	1.9965775366337368E-8
68	6.844291663077318E-5
69	2.367990470375503E-9
70	1.000060237196232E-4
71	2.550174960092022E-9
72	3.2246085402642954E-5
73	5.255664792258585E-10
74	2.8616084480015402E-5
75	2.0878399009660598E-10
76	1.2992891267105122E-5
77	8.53253023791467E-11
78	5.9298161566578855E-6
79	8.964717856940752E-12
80	4.319822665244111E-6
81	9.431899705703017E-12
82	6.659263845909535E-7
83	6.659263845909535E-7
84	8.02433181679163E-7
85	8.02433181679163E-7
86	5.887795766490456E-7
87	5.887795766490456E-7
