source 	 destination 	 fft 	 flow 	 cost(min)
1	2	4.5	2548.7571593967477	7296.683236522698
6	9	4.5	936.674178656066	137.51417674668096
8	9	9.0	4063.325821343935	5897.1700400726095
3	6	4.5	2383.1507140949384	5578.2793570737995
5	6	4.5	2553.523464561127	7351.383445966601
2	5	4.5	2165.60644530181	3805.185022335584
4	5	9.0	3313.6277498545887	2613.165765480625
1	4	9.0	4451.242840603252	8488.669072191326
5	8	9.0	2925.7107305952713	1591.6296193669677
2	3	4.5	2383.1507140949384	5578.2793570737995
7	8	9.0	3137.6150907486635	2102.4009245527236
4	7	9.0	3137.6150907486635	2102.4009245527236
