iteration 	 gap
0	0.9961107541451173
1	0.8494481507271989
2	0.9321832064023574
3	0.8881689713939442
4	0.8249696845964936
5	0.743629939924626
6	0.6509829007511683
7	0.5664475869384968
8	0.4867774063801098
9	0.3899466598682694
10	0.3802478049165754
11	0.3592017666267765
12	0.33126416544347237
13	0.3163620123068389
14	0.2751431717642775
15	0.23917763446083617
16	0.22074904700208464
17	0.17768727521029992
18	0.14478004913756715
19	0.1283048334965856
20	0.09454575115281194
21	0.08379258163316206
22	0.058477315391582074
23	0.05133015477256464
24	0.03400420926674819
25	0.029483135559012386
26	0.018793016073617164
27	0.01583080611126708
28	0.009695523886647184
29	0.007875048005001717
30	0.004620299839784625
31	0.00357752282795476
32	0.0019928605517666176
33	0.0014562276938484553
34	7.581918346833971E-4
35	5.154305002386117E-4
36	2.4699870428035453E-4
37	1.5322329154598968E-4
38	6.637522010799479E-5
39	3.646172179050389E-5
40	1.4794417014241112E-5
41	6.4582367165222365E-6
42	2.5207007666727677E-6
43	7.804049044768391E-7
