iteration 	 gap
0	0.9984878267733598
1	0.027159851489897413
2	7.688914819213855E-4
3	4.551993407764243E-7
4	5.936341341505891E-4
5	2.2295430373198144E-4
6	3.764946236883837E-5
7	2.2447201497577396E-7
8	3.1695436946699296E-5
9	1.5721201699236964E-5
10	1.4036810758177864E-7
11	1.4261595090436785E-6
12	3.617751513917966E-6
13	8.477735950263021E-5
14	2.6015714268412538E-6
15	3.1156516334673867E-6
16	6.587992888584804E-5
17	8.893005530863363E-7
18	9.688971062127294E-7
19	3.7785735082507266E-5
20	3.7869108848731514E-8
21	2.107007574647657E-5
22	2.7701875460195424E-8
23	1.0394664888391247E-5
24	8.287176622712167E-8
25	4.4319389140845544E-6
26	7.852407790664984E-8
27	1.5956854731991044E-6
28	4.8177740796795376E-8
29	4.7253353563370126E-7
30	2.2351888451233037E-8
31	1.1135584676580379E-7
32	8.190841782607095E-9
33	1.9965775366337368E-8
34	2.367990470375503E-9
35	2.550174960092022E-9
36	5.255664792258585E-10
37	2.0878399009660598E-10
38	8.53253023791467E-11
39	8.964717856940752E-12
40	9.431899705703017E-12
41	6.659263845909535E-7
42	8.02433181679163E-7
43	5.887795766490456E-7
