source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP
1	2	4.5	4.5	2548.755418	2548.757159396748
1	4	9.0	9.0	4451.244582	4451.242840603249
2	3	4.5	4.5	2383.14876	2383.1507140949398
2	5	4.5	4.5	2165.606658	2165.606445301809
3	6	4.5	4.5	2383.14876	2383.1507140949393
4	5	9.0	9.0	3313.628342	3313.6277498545874
4	7	9.0	9.0	3137.616239	3137.615090748664
5	6	4.5	4.5	2553.519311	2553.5234645611235
5	8	9.0	9.0	2925.71569	2925.7107305952727
6	9	4.5	4.5	936.6680709	936.674178656066
7	8	9.0	9.0	3137.616239	3137.6150907486635
8	9	9.0	9.0	4063.331929	4063.3258213439367
