iteration 	 pChnage
0	Infinity
1	0.11561272168752038
2	0.1413200569611187
3	0.12439921959508757
4	0.10727600731013727
5	0.0892161270055608
6	0.07125019288559117
7	0.05773845243006351
8	0.045165968850518906
9	0.03818569218024968
10	0.03543567180662557
11	0.03373896333518023
12	0.03163529242891886
13	0.026812697624716754
14	0.03120724593574428
15	0.028854585220847016
16	0.02190005542130565
17	0.028253347724451795
18	0.024335256431200696
19	0.01664353117872679
20	0.021482972775224107
21	0.013061311549849143
22	0.017137951314055253
23	0.009612432757958332
24	0.012483031584516831
25	0.006584881538482
26	0.008368385618506132
27	0.004168380368262344
28	0.005179851014958659
29	0.002417757452602326
30	0.0029680583267563407
31	0.0012755133726932567
32	0.0015435864961468471
33	6.083729018807213E-4
34	7.149890360818491E-4
35	2.542095185011409E-4
36	2.8925545838751955E-4
37	9.060201337677055E-5
38	9.989712539872168E-5
39	2.6507566057367272E-5
40	2.8484276217619077E-5
41	6.008679459362746E-6
42	6.369106755258784E-6
43	1.032285641435414E-6
