iteration 	 gap
0	-Infinity
1	0.9919015225137674
2	0.8518113047509147
3	0.7885805541305374
4	0.10982278108285748
5	0.07909427685586479
6	0.08030727340110866
7	0.05851764667056614
8	0.0601423394019166
9	0.0443782090797572
10	0.04537358722430462
11	0.03386581356700691
12	0.034476541364053315
13	0.02599236163866514
14	0.02636792473603633
15	0.02005091651712143
16	0.02028239282188804
17	0.015535237053066253
18	0.015678207663373134
19	0.012080876068541913
20	0.012169345991271618
21	0.009423336339204669
22	0.009478168574338142
23	0.007368843580119133
24	0.007402873050929792
25	0.005774042209974128
26	0.005795184506834916
27	0.0045318661423912054
28	0.004545013522294528
29	0.0035616457044186367
30	0.00356982738099898
31	0.00280211801972996
32	0.0028072125013272053
33	0.002206435937168405
34	0.0022096096079951
35	0.0017385632593126532
36	0.0017402544848832413
37	0.0013704151302625922
38	0.001371874166227749
39	0.0010810432347709842
40	0.0010817007338236317
41	8.528353206911365E-4
42	8.534026030475594E-4
43	6.731219098997654E-4
44	6.73377704851319E-4
45	5.31303036939601E-4
46	5.315237470755463E-4
47	4.194885106134638E-4
48	4.1958806947239857E-4
49	3.3121542569536366E-4
50	3.313013324085512E-4
51	2.615663165489446E-4
52	2.616050769121969E-4
53	2.0656707329114177E-4
54	2.066005194143461E-4
55	1.6315141502332153E-4
56	1.6316650786218911E-4
57	1.288622263282413E-4
58	1.2887164434816079E-4
59	1.0178406286065478E-4
60	1.0179378157437746E-4
61	8.040177428547679E-5
62	8.040544227383428E-5
63	6.351074251387256E-5
64	6.351303153495635E-5
65	5.016933049173389E-5
66	5.017169247545361E-5
67	3.963191464484428E-5
68	3.963280617980125E-5
69	3.130759373271008E-5
70	3.130815011931354E-5
71	2.473198872032789E-5
72	2.4732562827312066E-5
73	1.9537819765380604E-5
74	1.953803647369856E-5
75	1.5434484086807032E-5
76	1.5434619331844424E-5
77	1.2192996826310143E-5
78	1.2193081231570702E-5
79	9.63231421169386E-6
80	9.632419350813493E-6
81	7.609474009129258E-6
82	7.609506884942441E-6
83	6.011424763974205E-6
84	6.011445281672856E-6
85	4.748988302605284E-6
86	4.749001107695605E-6
87	3.751677504548745E-6
88	3.751685496156121E-6
89	2.96381071540619E-6
90	2.9638228327133476E-6
91	2.3414070401406306E-6
92	2.3414101527619025E-6
93	1.849705908885113E-6
94	1.8497078514423393E-6
95	1.461264140023566E-6
96	1.4612653523871089E-6
97	1.1543964687499297E-6
98	1.154397225366921E-6
99	9.119718362704532E-7
100	9.119723084483056E-7
101	7.204568930330169E-7
102	7.204577708863624E-7
103	5.691608709890161E-7
104	5.691610549529713E-7
105	4.496367541628743E-7
106	4.4963686895993504E-7
107	3.5521282737427384E-7
108	3.5521289887263663E-7
109	2.806180035008765E-7
110	2.806180481318421E-7
111	2.2168814162171202E-7
112	2.2168816948830994E-7
113	1.7513358130383239E-7
114	1.7513359862331157E-7
115	1.3835549772522882E-7
116	1.3835550860541446E-7
117	1.0930082350313342E-7
118	1.093008542563112E-7
119	8.634765735759942E-8
120	8.634766146542461E-8
121	6.821464160200463E-8
122	6.82146443775622E-8
123	5.388956203500328E-8
124	5.388956381136012E-8
125	4.257275121322124E-8
126	4.257275221242196E-8
127	3.3632471585498536E-8
128	3.363247225163235E-8
129	2.6569651367935876E-8
130	2.6569651812025086E-8
131	2.099002394118088E-8
132	2.0990024163225485E-8
133	1.658211845612101E-8
134	1.6582118678165614E-8
135	1.3099873408251028E-8
136	1.3099873408251028E-8
137	1.0348899848189319E-8
138	1.0348899959211622E-8
139	8.17563083899131E-9
140	8.175631172058218E-9
141	6.458748647020229E-9
142	6.458748647020229E-9
143	5.1024114933184705E-9
144	5.102411382296168E-9
145	4.030905054186462E-9
146	4.030905054186462E-9
147	3.1844149539494992E-9
148	3.1844149539494992E-9
149	2.515687658188881E-9
150	2.5156877692111834E-9
151	1.9873933609915184E-9
152	1.9873933609915184E-9
153	1.5700408750873862E-9
154	1.5700408750873862E-9
155	1.2403325033716328E-9
156	1.2403323923493303E-9
157	9.798625244528125E-10
158	9.798625244528125E-10
159	7.740914576004343E-10
160	7.740914576004343E-10
161	6.11532380290214E-10
162	6.11532380290214E-10
163	4.831105515634704E-10
164	4.831105515634704E-10
165	3.816574833948039E-10
166	3.816574833948039E-10
167	3.015095950686941E-10
168	3.0150948404639166E-10
169	2.3819268779590175E-10
170	2.3819268779590175E-10
171	1.8817214453292763E-10
172	1.8817214453292763E-10
173	1.486560874397469E-10
174	1.4865597641744444E-10
175	1.174383923441269E-10
176	1.1743828132182443E-10
177	9.277645318661598E-11
178	9.277645318661598E-11
179	7.32934823943765E-11
180	7.32934823943765E-11
181	5.790190549248564E-11
182	5.790190549248564E-11
183	4.5742520882186E-11
184	4.574263190448846E-11
185	3.6136871273129145E-11
186	3.613676025082668E-11
187	2.854805281060635E-11
188	2.854805281060635E-11
189	2.255307052223543E-11
190	2.255307052223543E-11
191	1.7816970121486975E-11
192	1.7817081143789437E-11
193	1.4075518528500197E-11
194	1.407562955080266E-11
195	1.1119882792343105E-11
196	1.1119771770040643E-11
197	8.784639682346551E-12
198	8.784528660044089E-12
199	6.939893104629391E-12
200	6.939893104629391E-12
201	5.4826143625064105E-12
202	5.4826143625064105E-12
203	4.331313085970123E-12
204	4.331313085970123E-12
205	3.4219294064996575E-12
206	3.421818384197195E-12
207	2.7032820426597937E-12
208	2.7032820426597937E-12
209	2.1355139878664886E-12
210	2.135625010168951E-12
211	1.6872059305228504E-12
212	1.6872059305228504E-12
213	1.3330447856674255E-12
214	1.332933763364963E-12
215	1.053046538856961E-12
216	1.053046538856961E-12
217	8.318901123516298E-13
218	8.318901123516298E-13
219	6.573630528805552E-13
220	6.573630528805552E-13
221	5.194733532221107E-13
222	5.194733532221107E-13
223	3.3306690738754696E-16
224	3.3306690738754696E-16
225	3.3306690738754696E-16
226	3.3306690738754696E-16
227	3.3306690738754696E-16
228	3.3306690738754696E-16
229	3.3306690738754696E-16
230	3.3306690738754696E-16
231	3.3306690738754696E-16
232	3.3306690738754696E-16
233	3.3306690738754696E-16
234	3.3306690738754696E-16
235	3.3306690738754696E-16
236	3.3306690738754696E-16
237	3.3306690738754696E-16
238	3.3306690738754696E-16
239	3.3306690738754696E-16
240	3.3306690738754696E-16
241	3.3306690738754696E-16
242	3.3306690738754696E-16
243	3.3306690738754696E-16
244	3.3306690738754696E-16
245	3.3306690738754696E-16
246	3.3306690738754696E-16
247	3.3306690738754696E-16
248	3.3306690738754696E-16
249	3.3306690738754696E-16
250	3.3306690738754696E-16
251	3.3306690738754696E-16
252	3.3306690738754696E-16
253	3.3306690738754696E-16
254	3.3306690738754696E-16
255	3.3306690738754696E-16
256	3.3306690738754696E-16
257	3.3306690738754696E-16
258	3.3306690738754696E-16
259	3.3306690738754696E-16
260	3.3306690738754696E-16
261	3.3306690738754696E-16
262	3.3306690738754696E-16
263	3.3306690738754696E-16
264	3.3306690738754696E-16
265	3.3306690738754696E-16
266	3.3306690738754696E-16
267	3.3306690738754696E-16
268	3.3306690738754696E-16
269	3.3306690738754696E-16
270	3.3306690738754696E-16
271	3.3306690738754696E-16
272	3.3306690738754696E-16
273	3.3306690738754696E-16
274	3.3306690738754696E-16
275	3.3306690738754696E-16
276	3.3306690738754696E-16
277	3.3306690738754696E-16
278	3.3306690738754696E-16
279	3.3306690738754696E-16
280	3.3306690738754696E-16
281	3.3306690738754696E-16
282	3.3306690738754696E-16
283	3.3306690738754696E-16
284	3.3306690738754696E-16
285	3.3306690738754696E-16
286	3.3306690738754696E-16
287	3.3306690738754696E-16
288	3.3306690738754696E-16
289	3.3306690738754696E-16
290	3.3306690738754696E-16
291	3.3306690738754696E-16
292	3.3306690738754696E-16
293	3.3306690738754696E-16
294	3.3306690738754696E-16
295	3.3306690738754696E-16
296	3.3306690738754696E-16
297	3.3306690738754696E-16
298	3.3306690738754696E-16
299	3.3306690738754696E-16
300	3.3306690738754696E-16
301	3.3306690738754696E-16
302	3.3306690738754696E-16
303	3.3306690738754696E-16
304	3.3306690738754696E-16
305	3.3306690738754696E-16
306	3.3306690738754696E-16
307	3.3306690738754696E-16
308	3.3306690738754696E-16
309	3.3306690738754696E-16
310	3.3306690738754696E-16
311	3.3306690738754696E-16
312	3.3306690738754696E-16
313	3.3306690738754696E-16
314	3.3306690738754696E-16
315	3.3306690738754696E-16
316	3.3306690738754696E-16
317	3.3306690738754696E-16
318	3.3306690738754696E-16
319	3.3306690738754696E-16
320	3.3306690738754696E-16
321	3.3306690738754696E-16
322	3.3306690738754696E-16
323	3.3306690738754696E-16
324	3.3306690738754696E-16
325	3.3306690738754696E-16
326	3.3306690738754696E-16
327	3.3306690738754696E-16
328	3.3306690738754696E-16
329	3.3306690738754696E-16
330	3.3306690738754696E-16
331	3.3306690738754696E-16
332	3.3306690738754696E-16
333	3.3306690738754696E-16
334	3.3306690738754696E-16
335	3.3306690738754696E-16
336	3.3306690738754696E-16
337	3.3306690738754696E-16
338	3.3306690738754696E-16
339	3.3306690738754696E-16
340	3.3306690738754696E-16
341	3.3306690738754696E-16
342	3.3306690738754696E-16
343	3.3306690738754696E-16
344	3.3306690738754696E-16
345	3.3306690738754696E-16
346	3.3306690738754696E-16
347	3.3306690738754696E-16
348	3.3306690738754696E-16
349	3.3306690738754696E-16
350	3.3306690738754696E-16
351	3.3306690738754696E-16
352	3.3306690738754696E-16
353	3.3306690738754696E-16
354	3.3306690738754696E-16
355	3.3306690738754696E-16
356	3.3306690738754696E-16
357	3.3306690738754696E-16
358	3.3306690738754696E-16
359	3.3306690738754696E-16
360	3.3306690738754696E-16
361	3.3306690738754696E-16
362	3.3306690738754696E-16
363	3.3306690738754696E-16
364	3.3306690738754696E-16
365	3.3306690738754696E-16
366	3.3306690738754696E-16
367	3.3306690738754696E-16
368	3.3306690738754696E-16
369	3.3306690738754696E-16
370	3.3306690738754696E-16
371	3.3306690738754696E-16
372	3.3306690738754696E-16
373	3.3306690738754696E-16
374	3.3306690738754696E-16
375	3.3306690738754696E-16
376	3.3306690738754696E-16
377	3.3306690738754696E-16
378	3.3306690738754696E-16
379	3.3306690738754696E-16
380	3.3306690738754696E-16
381	3.3306690738754696E-16
382	3.3306690738754696E-16
383	3.3306690738754696E-16
384	3.3306690738754696E-16
385	3.3306690738754696E-16
386	3.3306690738754696E-16
387	3.3306690738754696E-16
388	3.3306690738754696E-16
389	3.3306690738754696E-16
390	3.3306690738754696E-16
391	3.3306690738754696E-16
392	3.3306690738754696E-16
393	3.3306690738754696E-16
394	3.3306690738754696E-16
395	3.3306690738754696E-16
396	3.3306690738754696E-16
397	3.3306690738754696E-16
398	3.3306690738754696E-16
399	3.3306690738754696E-16
400	3.3306690738754696E-16
401	3.3306690738754696E-16
402	3.3306690738754696E-16
403	3.3306690738754696E-16
404	3.3306690738754696E-16
405	3.3306690738754696E-16
406	3.3306690738754696E-16
407	3.3306690738754696E-16
408	3.3306690738754696E-16
409	3.3306690738754696E-16
410	3.3306690738754696E-16
411	3.3306690738754696E-16
412	3.3306690738754696E-16
413	3.3306690738754696E-16
414	3.3306690738754696E-16
415	3.3306690738754696E-16
416	3.3306690738754696E-16
417	3.3306690738754696E-16
418	3.3306690738754696E-16
419	3.3306690738754696E-16
420	3.3306690738754696E-16
421	3.3306690738754696E-16
422	3.3306690738754696E-16
423	3.3306690738754696E-16
424	3.3306690738754696E-16
425	3.3306690738754696E-16
426	3.3306690738754696E-16
427	3.3306690738754696E-16
428	3.3306690738754696E-16
429	3.3306690738754696E-16
430	3.3306690738754696E-16
431	3.3306690738754696E-16
432	3.3306690738754696E-16
433	3.3306690738754696E-16
434	3.3306690738754696E-16
435	3.3306690738754696E-16
436	3.3306690738754696E-16
437	3.3306690738754696E-16
438	3.3306690738754696E-16
439	3.3306690738754696E-16
440	3.3306690738754696E-16
441	3.3306690738754696E-16
442	3.3306690738754696E-16
443	3.3306690738754696E-16
444	3.3306690738754696E-16
445	3.3306690738754696E-16
446	3.3306690738754696E-16
447	3.3306690738754696E-16
448	3.3306690738754696E-16
449	3.3306690738754696E-16
450	3.3306690738754696E-16
451	3.3306690738754696E-16
452	3.3306690738754696E-16
453	3.3306690738754696E-16
454	3.3306690738754696E-16
455	3.3306690738754696E-16
456	3.3306690738754696E-16
457	3.3306690738754696E-16
458	3.3306690738754696E-16
459	3.3306690738754696E-16
460	3.3306690738754696E-16
461	3.3306690738754696E-16
462	3.3306690738754696E-16
463	3.3306690738754696E-16
464	3.3306690738754696E-16
465	3.3306690738754696E-16
466	3.3306690738754696E-16
467	3.3306690738754696E-16
468	3.3306690738754696E-16
469	3.3306690738754696E-16
470	3.3306690738754696E-16
471	3.3306690738754696E-16
472	3.3306690738754696E-16
473	3.3306690738754696E-16
474	3.3306690738754696E-16
475	3.3306690738754696E-16
476	3.3306690738754696E-16
477	3.3306690738754696E-16
478	3.3306690738754696E-16
479	3.3306690738754696E-16
480	3.3306690738754696E-16
481	3.3306690738754696E-16
482	3.3306690738754696E-16
483	3.3306690738754696E-16
484	3.3306690738754696E-16
485	3.3306690738754696E-16
486	3.3306690738754696E-16
487	3.3306690738754696E-16
488	3.3306690738754696E-16
489	3.3306690738754696E-16
490	3.3306690738754696E-16
491	3.3306690738754696E-16
492	3.3306690738754696E-16
493	3.3306690738754696E-16
494	3.3306690738754696E-16
495	3.3306690738754696E-16
496	3.3306690738754696E-16
497	3.3306690738754696E-16
498	3.3306690738754696E-16
499	3.3306690738754696E-16
500	3.3306690738754696E-16
501	3.3306690738754696E-16
502	3.3306690738754696E-16
503	3.3306690738754696E-16
504	3.3306690738754696E-16
505	3.3306690738754696E-16
506	3.3306690738754696E-16
507	3.3306690738754696E-16
508	3.3306690738754696E-16
509	3.3306690738754696E-16
510	3.3306690738754696E-16
511	3.3306690738754696E-16
512	3.3306690738754696E-16
513	3.3306690738754696E-16
514	3.3306690738754696E-16
515	3.3306690738754696E-16
516	3.3306690738754696E-16
517	3.3306690738754696E-16
518	3.3306690738754696E-16
519	3.3306690738754696E-16
520	3.3306690738754696E-16
521	3.3306690738754696E-16
522	3.3306690738754696E-16
523	3.3306690738754696E-16
524	3.3306690738754696E-16
525	3.3306690738754696E-16
526	3.3306690738754696E-16
527	3.3306690738754696E-16
528	3.3306690738754696E-16
529	3.3306690738754696E-16
530	3.3306690738754696E-16
531	3.3306690738754696E-16
532	3.3306690738754696E-16
533	3.3306690738754696E-16
534	3.3306690738754696E-16
535	3.3306690738754696E-16
536	3.3306690738754696E-16
537	3.3306690738754696E-16
538	3.3306690738754696E-16
539	3.3306690738754696E-16
540	3.3306690738754696E-16
541	3.3306690738754696E-16
542	3.3306690738754696E-16
543	3.3306690738754696E-16
544	3.3306690738754696E-16
545	3.3306690738754696E-16
546	3.3306690738754696E-16
547	3.3306690738754696E-16
548	3.3306690738754696E-16
549	3.3306690738754696E-16
550	3.3306690738754696E-16
551	3.3306690738754696E-16
552	3.3306690738754696E-16
553	3.3306690738754696E-16
554	3.3306690738754696E-16
555	3.3306690738754696E-16
556	3.3306690738754696E-16
557	3.3306690738754696E-16
558	3.3306690738754696E-16
559	3.3306690738754696E-16
560	3.3306690738754696E-16
561	3.3306690738754696E-16
562	3.3306690738754696E-16
563	3.3306690738754696E-16
564	3.3306690738754696E-16
565	3.3306690738754696E-16
566	3.3306690738754696E-16
567	3.3306690738754696E-16
568	3.3306690738754696E-16
569	3.3306690738754696E-16
570	3.3306690738754696E-16
571	3.3306690738754696E-16
572	3.3306690738754696E-16
573	3.3306690738754696E-16
574	3.3306690738754696E-16
575	3.3306690738754696E-16
576	3.3306690738754696E-16
577	3.3306690738754696E-16
578	3.3306690738754696E-16
579	3.3306690738754696E-16
580	3.3306690738754696E-16
581	3.3306690738754696E-16
582	3.3306690738754696E-16
