iteration 	 gap
0	NaN
1	0.9998982850865594
2	0.9998807740402299
3	0.08155040172825467
4	0.06390032854266037
5	3.2107381723212036E-5
6	0.014582482264389629
7	4.3374073144253344E-7
8	0.011254839283313944
9	1.9538333118074291E-7
10	0.00871087681044369
11	8.907277548875214E-8
12	0.006770073184411807
13	4.123749186568659E-8
14	0.005279307991956861
15	1.9332371370417434E-8
16	0.004127833255370361
17	9.155566083052236E-9
18	0.003234400487206801
19	4.371547790427144E-9
20	0.002538650548900012
21	2.1010370110374765E-9
22	0.0019952536586548275
23	1.0151040008565815E-9
24	0.0015698510525081755
25	4.924995966604229E-10
26	0.0012361967054217438
27	2.397442244728154E-10
28	9.741120210605692E-4
29	1.1701517532713979E-10
30	7.680006235994963E-4
31	5.7233107142451445E-11
32	6.057554536360588E-4
33	2.8040236799142804E-11
34	4.7794501549269786E-4
35	4.7794501549269786E-4
36	8.552819681163504E-4
37	7.854827899222983E-11
38	2.977549091397469E-4
39	2.977549091397469E-4
40	5.328878666022163E-4
41	1.8990031769305915E-11
42	1.8562229433816135E-4
43	1.8562229433816135E-4
44	3.3222751913020154E-4
45	4.600431147139261E-12
46	1.1576647017985664E-4
47	1.1576647017985664E-4
48	2.07207808496368E-4
49	1.1162182289581324E-12
50	7.221854778582948E-5
51	7.221854778582948E-5
52	1.2926568007343153E-4
53	2.710054403110007E-13
54	4.505940454890833E-5
55	4.505940454890833E-5
56	8.065418391312029E-5
57	8.065418391312029E-5
58	1.0877271753007012E-4
59	1.609823385706477E-13
60	2.2210985482051804E-5
61	2.2210985482051804E-5
62	3.9757141216623104E-5
63	3.9757141216623104E-5
64	5.361827801841912E-5
65	1.965094753586527E-14
66	1.0949652519132158E-5
67	1.0949652519132158E-5
68	1.9599750937016047E-5
69	1.9599750937016047E-5
70	2.6433249385782176E-5
71	2.55351295663786E-15
72	5.398306861525981E-6
73	5.398306861525981E-6
74	9.662938393217857E-6
75	9.662938393217857E-6
76	1.303197802648981E-5
77	1.303197802648981E-5
78	1.5693507306568932E-5
79	5.551115123125783E-16
80	2.1025757821480084E-6
81	2.1025757821480084E-6
82	3.7636059638801456E-6
83	3.7636059638801456E-6
84	5.075816882582629E-6
85	5.075816882582629E-6
86	6.112461683471793E-6
87	6.112461683471793E-6
88	6.931409937016575E-6
89	6.661338147750939E-16
90	6.469650339901989E-7
91	6.469650339901989E-7
92	1.1580669663224796E-6
93	1.1580669663224796E-6
