iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	61501.695897617115	30750.847948808558	0.0	0.0	862.5316074821649	287.5105358273883	11776.168710171223	1928.7474178765067
2	10438.692483675488	5219.346241837744	0.0	0.0	0.34703378903941484	0.11567792967980495	10461.469469715848	1494.5947910419895
3	9754.714344745818	4877.357172372909	0.0	0.0	0.004587447545418399	0.0015291491818061331	9945.829565374504	1420.8341057527994
4	9387.685596358533	4693.8427981792665	0.0	0.0	0.002085839862957073	6.952799543190243E-4	9536.636405293462	1362.3772252818849
5	9095.66780012674	4547.83390006337	0.0	0.0	9.580831911080168E-4	3.1936106370267225E-4	9212.027899920222	1316.0042594409435
6	8863.605313098487	4431.802656549244	0.0	0.0	4.462402603166993E-4	1.4874675343889976E-4	8954.71363703355	1279.2449327877237
7	8679.406292172767	4339.703146086384	0.0	0.0	2.102104344885447E-4	7.00701448295149E-5	8750.873593092694	1250.1248590733653
8	8533.338635385757	4266.669317692878	0.0	0.0	9.993612729886081E-5	3.3312042432953604E-5	8589.481150926262	1227.0687643997865
9	8417.5978856865	4208.79894284325	0.0	0.0	4.786297540704254E-5	1.5954325135680847E-5	8461.753137705884	1208.8218904902617
10	8325.944083710687	4162.972041855343	0.0	0.0	2.3059634258970618E-5	7.686544752990207E-6	8360.70372150946	1194.38625251839
11	8253.400230323734	4126.700115161867	0.0	0.0	1.116260864364449E-5	3.7208695478814966E-6	8280.783646176067	1182.9690955001831
12	8196.004415195843	4098.002207597921	0.0	0.0	5.424052687885705E-6	1.8080175626285684E-6	8217.589483249569	1173.9413562996667
13	8150.607719803689	4075.3038599018446	0.0	0.0	2.643573679961264E-6	8.811912266537547E-7	8167.630090925284	1166.8042994589184
14	8114.710518682945	4057.3552593414724	0.0	0.0	1.2915197658003308E-6	4.3050658860011026E-7	8128.139582458134	1161.1627978630238
15	8086.330573934654	4043.165286967327	0.0	0.0	6.321724868030287E-7	2.1072416226767624E-7	8096.9279247253635	1156.7039894270997
16	8063.897187623472	4031.948593811736	0.0	0.0	3.099066816503182E-7	1.0330222721677274E-7	8072.261851454874	1153.1802645820974
17	8046.166542515528	4023.083271257764	0.0	0.0	5.284211283599689	1.7614037611998963	8054.087369445579	1152.0936845732538
18	8030.829313894554	4015.414656947277	0.0	0.0	8.688684829394333E-7	2.896228276464778E-7	8037.36816169385	1148.1954519187968
19	8021.081158498089	4010.5405792490446	0.0	0.0	3.2943675895930937	1.0981225298643646	8026.020573461976	1147.515615520165
20	8011.506397928264	4005.753198964132	0.0	0.0	2.101714926538989E-7	7.00571642179663E-8	8015.583034103223	1145.0832906462226
21	8005.417951672085	4002.7089758360426	0.0	0.0	2.0546480991988574	0.6848826997329525	8008.49909246397	1144.6583412374812
22	7999.441251292106	3999.720625646053	0.0	0.0	5.0932612793985754E-8	1.697753759799525E-8	8001.983822140359	1143.140546034602
23	7995.639651194091	3997.8198255970456	0.0	0.0	1.28177371662332	0.4272579055411067	7997.561988144247	1142.8750765110692
24	7991.909166256455	3995.9545831282276	0.0	0.0	1.2360032997094095E-8	4.120010999031365E-9	7993.495339302808	1141.9279056182172
25	7989.53588619404	3994.76794309702	0.0	0.0	0.7997477411618092	0.26658258038726973	7990.735381799672	1141.762125325997
26	7987.20752433885	3993.603762169425	0.0	0.0	3.0004230211488903E-9	1.0001410070496302E-9	7988.197203615911	1141.171029088844
27	7985.726087032084	3992.863043516042	0.0	0.0	0.4990418571396731	0.16634728571322435	7986.474600749507	1141.0675263519686
28	7984.272891615245	3992.1364458076223	0.0	0.0	0.8932849254761095	0.29776164182536985	7985.113722132914	1140.9857559976956
29	7983.124842134637	3991.5624210673186	0.0	0.0	1.7844286048784852E-9	5.948095349594951E-10	7983.737489990623	1140.5339271420269
30	7982.519124029806	3991.259562014903	0.0	0.0	0.24601360956785356	0.08200453652261785	7982.88813251715	1140.482879962326
31	7981.802615116909	3990.9013075584544	0.0	0.0	0.44036436014175706	0.14678812004725236	7982.21713467635	1140.4425519138033
32	7981.236566972797	3990.6182834863985	0.0	0.0	2.1827872842550278E-10	7.275957614183426E-11	7981.538582245774	1140.2197974637434
33	7980.937878092556	3990.468939046278	0.0	0.0	0.1212861630046973	0.04042872100156577	7981.119804438213	1140.1946252520308
34	7980.5846047139075	3990.2923023569538	0.0	0.0	0.2171022316606468	0.07236741055354894	7980.788968648254	1140.1747390159387
35	7980.305517261104	3990.152758630552	0.0	0.0	2.8194335754960775E-11	9.398111918320259E-12	7980.454411871324	1140.0649159816244
36	7980.158240756602	3990.079120378301	0.0	0.0	0.05979682965971733	0.01993227655323911	7980.2479352964765	1140.0525041365404
37	7979.984061613017	3989.9920308065084	0.0	0.0	0.10703632507375005	0.03567877502458335	7980.084818480951	1140.0426987330134
38	7979.846459728924	3989.923229864462	0.0	0.0	0.1443555264540919	0.04811850881803063	7979.955955996091	1140.0349524355704
39	7979.737754015387	3989.8688770076933	0.0	0.0	5.4569682106375694E-12	1.8189894035458565E-12	7979.81069599388	1139.9729565705543
40	7979.695336979907	3989.8476684899533	0.0	0.0	0.023290455976166413	0.007763485325388804	7979.73027255699	1139.968121924133
41	7979.627493694619	3989.8137468473096	0.0	0.0	0.0416899161918991	0.013896638730633034	7979.666737993082	1139.9643025464945
42	7979.573897444512	3989.786948722256	0.0	0.0	0.05622548976134567	0.018741829920448556	7979.61654565716	1139.9612852338112
43	7979.531556372776	3989.765778186388	0.0	0.0	0.06770859288371867	0.022569530961239554	7979.576893692789	1139.9589015540787
44	7979.498106904801	3989.7490534524004	0.0	0.0	5.4569682106375694E-12	1.8189894035458565E-12	7979.526373706816	1139.9323391009739
45	7979.490877070622	3989.745438535311	0.0	0.0	0.0071665424711682135	0.0023888474903894044	7979.501626874207	1139.9308514227332
46	7979.470001259126	3989.735000629563	0.0	0.0	0.012828111014641763	0.004276037004880588	7979.482076871829	1139.9296761562641
