iteration 	 gap
0	0.9919015225137674
1	0.7885805541305374
2	0.07909427685586479
3	0.05851764667056614
4	0.0443782090797572
5	0.03386581356700691
6	0.02599236163866514
7	0.02005091651712143
8	0.015535237053066253
9	0.012080876068541913
10	0.009423336339204669
11	0.007368843580119133
12	0.005774042209974128
13	0.0045318661423912054
14	0.0035616457044186367
15	0.00280211801972996
16	0.002206435937168405
17	0.0017385632593126532
18	0.0013704151302625922
19	0.0010810432347709842
20	8.528353206911365E-4
21	6.731219098997654E-4
22	5.31303036939601E-4
23	4.194885106134638E-4
24	3.3121542569536366E-4
25	2.615663165489446E-4
26	2.0656707329114177E-4
27	1.6315141502332153E-4
28	1.288622263282413E-4
29	1.0178406286065478E-4
30	8.040177428547679E-5
31	6.351074251387256E-5
32	5.016933049173389E-5
33	3.963191464484428E-5
34	3.130759373271008E-5
35	2.473198872032789E-5
36	1.9537819765380604E-5
37	1.5434484086807032E-5
38	1.2192996826310143E-5
39	9.63231421169386E-6
40	7.609474009129258E-6
41	6.011424763974205E-6
42	4.748988302605284E-6
43	3.751677504548745E-6
44	2.96381071540619E-6
45	2.3414070401406306E-6
46	1.849705908885113E-6
47	1.461264140023566E-6
48	1.1543964687499297E-6
49	9.119718362704532E-7
50	7.204568930330169E-7
51	5.691608709890161E-7
52	4.496367541628743E-7
53	3.5521282737427384E-7
54	2.806180035008765E-7
55	2.2168814162171202E-7
56	1.7513358130383239E-7
57	1.3835549772522882E-7
58	1.0930082350313342E-7
59	8.634765735759942E-8
60	6.821464160200463E-8
61	5.388956203500328E-8
62	4.257275121322124E-8
63	3.3632471585498536E-8
64	2.6569651367935876E-8
65	2.099002394118088E-8
66	1.658211845612101E-8
67	1.3099873408251028E-8
68	1.0348899848189319E-8
69	8.17563083899131E-9
70	6.458748647020229E-9
71	5.1024114933184705E-9
72	4.030905054186462E-9
73	3.1844149539494992E-9
74	2.515687658188881E-9
75	1.9873933609915184E-9
76	1.5700408750873862E-9
77	1.2403325033716328E-9
78	9.798625244528125E-10
79	7.740914576004343E-10
80	6.11532380290214E-10
81	4.831105515634704E-10
82	3.816574833948039E-10
83	3.015095950686941E-10
84	2.3819268779590175E-10
85	1.8817214453292763E-10
86	1.486560874397469E-10
87	1.174383923441269E-10
88	9.277645318661598E-11
89	7.32934823943765E-11
90	5.790190549248564E-11
91	4.5742520882186E-11
92	3.6136871273129145E-11
93	2.854805281060635E-11
94	2.255307052223543E-11
95	1.7816970121486975E-11
96	1.4075518528500197E-11
97	1.1119882792343105E-11
98	8.784639682346551E-12
99	6.939893104629391E-12
100	5.4826143625064105E-12
101	4.331313085970123E-12
102	3.4219294064996575E-12
103	2.7032820426597937E-12
104	2.1355139878664886E-12
105	1.6872059305228504E-12
106	1.3330447856674255E-12
107	1.053046538856961E-12
108	8.318901123516298E-13
109	6.573630528805552E-13
110	5.194733532221107E-13
111	3.3306690738754696E-16
112	3.3306690738754696E-16
113	3.3306690738754696E-16
114	3.3306690738754696E-16
115	3.3306690738754696E-16
116	3.3306690738754696E-16
117	3.3306690738754696E-16
118	3.3306690738754696E-16
119	3.3306690738754696E-16
120	3.3306690738754696E-16
121	3.3306690738754696E-16
122	3.3306690738754696E-16
123	3.3306690738754696E-16
124	3.3306690738754696E-16
125	3.3306690738754696E-16
126	3.3306690738754696E-16
127	3.3306690738754696E-16
128	3.3306690738754696E-16
129	3.3306690738754696E-16
130	3.3306690738754696E-16
131	3.3306690738754696E-16
132	3.3306690738754696E-16
133	3.3306690738754696E-16
134	3.3306690738754696E-16
135	3.3306690738754696E-16
136	3.3306690738754696E-16
137	3.3306690738754696E-16
138	3.3306690738754696E-16
139	3.3306690738754696E-16
140	3.3306690738754696E-16
141	3.3306690738754696E-16
142	3.3306690738754696E-16
143	3.3306690738754696E-16
144	3.3306690738754696E-16
145	3.3306690738754696E-16
146	3.3306690738754696E-16
147	3.3306690738754696E-16
148	3.3306690738754696E-16
149	3.3306690738754696E-16
150	3.3306690738754696E-16
151	3.3306690738754696E-16
152	3.3306690738754696E-16
153	3.3306690738754696E-16
154	3.3306690738754696E-16
155	3.3306690738754696E-16
156	3.3306690738754696E-16
157	3.3306690738754696E-16
158	3.3306690738754696E-16
159	3.3306690738754696E-16
160	3.3306690738754696E-16
161	3.3306690738754696E-16
162	3.3306690738754696E-16
163	3.3306690738754696E-16
164	3.3306690738754696E-16
165	3.3306690738754696E-16
166	3.3306690738754696E-16
167	3.3306690738754696E-16
168	3.3306690738754696E-16
169	3.3306690738754696E-16
170	3.3306690738754696E-16
171	3.3306690738754696E-16
172	3.3306690738754696E-16
173	3.3306690738754696E-16
174	3.3306690738754696E-16
175	3.3306690738754696E-16
