iteration 	 gap
0	0.9998982850865594
1	0.08155040172825467
2	3.2107381723212036E-5
3	4.3374073144253344E-7
4	1.9538333118074291E-7
5	8.907277548875214E-8
6	4.123749186568659E-8
7	1.9332371370417434E-8
8	9.155566083052236E-9
9	4.371547790427144E-9
10	2.1010370110374765E-9
11	1.0151040008565815E-9
12	4.924995966604229E-10
13	2.397442244728154E-10
14	1.1701517532713979E-10
15	5.7233107142451445E-11
16	2.8040236799142804E-11
17	4.7794501549269786E-4
18	7.854827899222983E-11
19	2.977549091397469E-4
20	1.8990031769305915E-11
21	1.8562229433816135E-4
22	4.600431147139261E-12
23	1.1576647017985664E-4
24	1.1162182289581324E-12
25	7.221854778582948E-5
26	2.710054403110007E-13
27	4.505940454890833E-5
28	8.065418391312029E-5
29	1.609823385706477E-13
30	2.2210985482051804E-5
31	3.9757141216623104E-5
32	1.965094753586527E-14
33	1.0949652519132158E-5
34	1.9599750937016047E-5
35	2.55351295663786E-15
36	5.398306861525981E-6
37	9.662938393217857E-6
38	1.303197802648981E-5
39	5.551115123125783E-16
40	2.1025757821480084E-6
41	3.7636059638801456E-6
42	5.075816882582629E-6
43	6.112461683471793E-6
44	6.661338147750939E-16
45	6.469650339901989E-7
46	1.1580669663224796E-6
47	1.561837216557116E-6
48	1.8808155409777427E-6
49	2.132808310073564E-6
50	2.220446049250313E-16
51	1.572683153705512E-7
52	2.8151025854850076E-7
53	3.796613775586266E-7
54	4.5720075070310173E-7
55	5.184568497851316E-7
56	5.668491640520301E-7
57	6.050790896106051E-7
58	5.551115123125783E-16
59	2.3859282438642992E-8
60	4.270811504447636E-8
61	5.759869270427487E-8
62	6.936224905551569E-8
63	7.86554581466703E-8
64	8.599709355738838E-8
65	9.179698479133691E-8
66	9.637889952784917E-8
67	9.999861216858363E-8
68	1.0285818474731201E-7
69	2.220446049250313E-16
70	1.7846590871783974E-9
71	3.1945400769117782E-9
72	4.30834623532661E-9
73	5.188252827359463E-9
74	5.883379228244223E-9
75	6.432528953936867E-9
76	6.866357260548739E-9
77	7.20908155393829E-9
78	7.479834085444281E-9
79	7.693728321100934E-9
80	7.862704931582698E-9
81	7.996196149662183E-9
82	8.101654236369882E-9
83	8.184966815427686E-9
84	8.250783389840421E-9
85	0.0
86	4.107647555429139E-11
87	7.352696229645517E-11
88	9.916234500195742E-11
89	1.194144783056572E-10
90	1.3541423538043773E-10
91	1.0050482668333416E-10
92	7.292766390776251E-11
93	5.114120238403075E-11
94	3.393041403398911E-11
95	2.0332846517590042E-11
96	9.591882843551502E-12
97	1.1058931548291184E-12
98	5.597633467857577E-12
99	1.0893508317622036E-11
100	1.5077272763619476E-11
101	1.8382850797138417E-11
102	2.0993318194939548E-11
103	2.305655666390294E-11
104	2.4685808952540356E-11
105	2.597333459419815E-11
106	2.6990409907057256E-11
107	2.7793545243071094E-11
108	2.842803770164437E-11
109	2.8929636464170017E-11
110	2.932554199475135E-11
111	2.9325430972448885E-11
112	2.9325430972448885E-11
113	2.9325430972448885E-11
114	2.9325430972448885E-11
115	2.9325430972448885E-11
116	2.9325430972448885E-11
117	2.9325430972448885E-11
118	2.9325430972448885E-11
119	2.9325430972448885E-11
120	3.3306690738754696E-16
121	3.3306690738754696E-16
122	3.3306690738754696E-16
123	3.3306690738754696E-16
124	3.3306690738754696E-16
125	3.3306690738754696E-16
