source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP	Cost_centralized	Cost_DSTAP
1	2	4.5	4.5	2548.755418	2000.0000000000007	7296.663312	2769.300000000005
1	4	9.0	9.0	4451.244582	5000.000000450589	8488.682339	13509.00000486636
2	3	4.5	4.5	2383.14876	2000.0000001126475	5578.261078	2769.3000006228963
2	5	4.5	4.5	2165.606658	1999.9999998873532	3805.186517	2769.2999993771086
3	6	4.5	4.5	2383.14876	2000.0000001126475	5578.261078	2769.3000006228963
4	5	9.0	9.0	3313.628342	0.0	2613.167628	9.0
4	7	9.0	9.0	3137.616239	7000.0	2102.403989	51870.6
5	6	4.5	4.5	2553.519311	2000.0000003379414	7351.33564	2769.30000186868
5	8	9.0	9.0	2925.71569	0.0	1591.64035	9.0
6	9	4.5	4.5	936.6680709	0.0	137.5107074	4.5
7	8	9.0	9.0	3137.616239	7000.0	2102.403989	51870.6
8	9	9.0	9.0	4063.331929	5000.0	5897.205443	13509.0
