iteration 	 pChnage
0	Infinity
1	0.18739179969551717
2	0.039664455269649304
3	0.03153253354409818
4	0.02503543153220119
5	0.01985653538571318
6	0.015736032121139273
7	0.012462450680526252
8	0.00986476041385675
9	0.007805326359516018
10	0.006173821637474661
11	0.004882081387358452
12	0.0038598216422300858
13	0.00305111982834047
14	0.0024115472156742445
15	0.0019058484752689179
16	0.001506073810521499
17	0.0011900815017039403
18	9.403412014079213E-4
19	7.429799365463218E-4
20	5.870230609959591E-4
21	4.637912346585115E-4
22	3.664219264181193E-4
23	2.8949008180142495E-4
24	2.2870762558020938E-4
25	1.806855534262822E-4
26	1.4274566235523615E-4
27	1.1277161669073306E-4
28	8.909116460457646E-5
29	7.038301077727288E-5
30	5.560319685023177E-5
31	4.392691142304534E-5
32	3.470250087527943E-5
33	2.7415126008447218E-5
34	2.1658043360442202E-5
35	1.710991280441542E-5
36	1.3516867656541875E-5
37	1.0678348254015244E-5
38	8.43590935358636E-6
39	6.664377272025555E-6
40	5.264863588721419E-6
41	4.1592456949383514E-6
42	3.2858062582919265E-6
43	2.5957882916744307E-6
44	2.05067359150786E-6
45	1.6200326621922041E-6
46	1.2798261306840891E-6
47	1.0110628477070584E-6
48	7.987397772287587E-7
49	6.310045037133951E-7
50	4.984936075861409E-7
51	3.9380998102736217E-7
52	3.111099043933636E-7
53	2.4577683657474466E-7
54	1.9416370839644053E-7
55	1.5338933437977267E-7
56	1.2117757707863147E-7
57	9.573028776476685E-8
58	7.562692842234569E-8
59	5.974527416073145E-8
60	4.7198767038206883E-8
61	3.7287026220058005E-8
62	2.9456750937408077E-8
63	2.3270833293152164E-8
64	1.8383958377142274E-8
65	1.4523327141937907E-8
66	1.1473428485511886E-8
67	9.064008517711904E-9
68	7.160566790406224E-9
69	5.656847776505242E-9
70	4.468909683768744E-9
71	3.5304386958711053E-9
72	2.789046533777273E-9
73	2.203346745601967E-9
74	1.7406439034835497E-9
75	1.3751087591635023E-9
76	1.0863359358913487E-9
77	8.582053951858109E-10
78	6.779822418250915E-10
79	5.356059688254604E-10
80	4.231287335978153E-10
81	3.342716904696746E-10
82	2.6407462866377967E-10
83	2.0861899075914162E-10
84	1.6480897200970818E-10
85	1.3019905378500845E-10
86	1.0285729455640256E-10
87	8.125730476500851E-11
88	6.419324689094497E-11
89	5.071261956962579E-11
90	4.0062979692140776E-11
91	3.164979829485827E-11
92	2.5003361116693855E-11
93	1.97525791120849E-11
94	1.5604603436961652E-11
95	1.232761852533606E-11
96	9.738766339089108E-12
97	7.69369930433675E-12
98	6.0779883443821054E-12
99	4.801593739040817E-12
100	3.793229495267315E-12
101	2.9967263345758715E-12
102	2.367327402319391E-12
103	1.8701988796484138E-12
104	1.4774343775551389E-12
105	1.1672390966347107E-12
106	9.220586323175992E-13
107	7.284536043720626E-13
108	5.755044954266717E-13
109	4.5467697309654236E-13
110	3.591948087462941E-13
111	1.3511375609778587E-12
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	0.0
137	0.0
138	0.0
139	0.0
140	0.0
141	0.0
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0
168	0.0
169	0.0
170	0.0
171	0.0
172	0.0
173	0.0
174	0.0
175	0.0
176	0.0
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.0
183	0.0
184	0.0
185	0.0
186	0.0
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.0
193	0.0
194	0.0
195	0.0
196	0.0
197	0.0
198	0.0
199	0.0
200	0.0
201	0.0
202	0.0
203	0.0
204	0.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	0.0
211	0.0
212	0.0
213	0.0
214	0.0
215	0.0
216	0.0
217	0.0
218	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	0.0
224	0.0
225	0.0
226	0.0
227	0.0
228	0.0
229	0.0
230	0.0
231	0.0
232	0.0
233	0.0
234	0.0
235	0.0
236	0.0
237	0.0
238	0.0
239	0.0
240	0.0
241	0.0
242	0.0
243	0.0
244	0.0
245	0.0
246	0.0
247	0.0
248	0.0
249	0.0
250	0.0
251	0.0
252	0.0
253	0.0
254	0.0
255	0.0
256	0.0
257	0.0
258	0.0
259	0.0
260	0.0
261	0.0
262	0.0
263	0.0
264	0.0
265	0.0
266	0.0
267	0.0
268	0.0
269	0.0
270	0.0
271	0.0
272	0.0
273	0.0
274	0.0
275	0.0
276	0.0
277	0.0
278	0.0
279	0.0
280	0.0
281	0.0
282	0.0
283	0.0
284	0.0
285	0.0
286	0.0
287	0.0
288	0.0
289	0.0
290	0.0
291	0.0
292	0.0
293	0.0
294	0.0
295	0.0
296	0.0
297	0.0
298	0.0
299	0.0
300	0.0
301	0.0
302	0.0
303	0.0
304	0.0
305	0.0
306	0.0
307	0.0
308	0.0
309	0.0
310	0.0
311	0.0
312	0.0
313	0.0
314	0.0
315	0.0
316	0.0
317	0.0
318	0.0
319	0.0
320	0.0
321	0.0
322	0.0
323	0.0
324	0.0
325	0.0
326	0.0
327	0.0
328	0.0
329	0.0
330	0.0
331	0.0
332	0.0
333	0.0
334	0.0
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	0.0
356	0.0
357	0.0
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
368	0.0
369	0.0
370	0.0
371	0.0
372	0.0
373	0.0
374	0.0
375	0.0
376	0.0
377	0.0
378	0.0
379	0.0
380	0.0
381	0.0
382	0.0
383	0.0
384	0.0
385	0.0
386	0.0
387	0.0
388	0.0
389	0.0
390	0.0
391	0.0
392	0.0
393	0.0
394	0.0
395	0.0
396	0.0
397	0.0
398	0.0
399	0.0
400	0.0
