source 	 destination 	 fft 	 flow 	 cost(min)
6	9	4.5	936.6008810356943	137.47254656830566
1	2	4.5	2548.865739649721	7297.92594055318
8	9	9.0	4063.3991189643057	5897.594914226861
3	6	4.5	2383.1557546351787	5578.326513047793
5	6	4.5	2553.4451264005147	7350.481923252849
2	5	4.5	2165.7099850145414	3805.911931990164
4	5	9.0	3313.5684722124884	2612.979426307185
1	4	9.0	4451.134260350279	8487.841715915949
5	8	9.0	2925.8333308265155	1591.894912790191
7	8	9.0	3137.5657881377906	2102.2693498432054
2	3	4.5	2383.1557546351787	5578.326513047793
4	7	9.0	3137.5657881377906	2102.2693498432054
