iteration 	 gap 	 fullGap
0	4054.6399999999985	0.0
1	0.07360284665982499	0.911870837397568
2	0.8140704547292696	0.9222071403106573
3	0.6669948801853405	0.8679237465717449
4	0.3685626336244426	0.5711631554194511
5	0.08907926921152774	0.24721042203434063
6	0.012796330335452508	0.09982788765539741
7	0.02649840596005824	0.05444500270397634
8	0.030291399181310776	0.04513706718407018
9	0.03105684519424325	0.028750821702796414
10	0.02722995576695035	0.03152035296725175
11	0.025316940954249204	0.02505374646872016
12	0.022907286315542664	0.02613603354421956
13	0.020738282941479273	0.023731255721401112
14	0.018615174596651168	0.023516694937271487
15	0.01657286994833856	0.022287969422948528
16	0.014653209183332362	0.021839322896632596
17	0.012856246758307663	0.021182487241184766
18	0.011172723076033616	0.020496993409539366
19	0.00961415847661336	0.020023356614872756
20	0.008171174136458778	0.019316133386642065
21	0.006844379288827251	0.01883108970270697
22	0.005621903188133113	0.018153933085345964
23	0.004499858520037313	0.01759890181339374
24	0.003473882058684868	0.017054048990067128
25	0.0025511121123931667	0.016401454707645646
26	0.0019267211268409888	0.01443179646549253
27	0.0014471232580449426	0.012112607963785993
28	0.0010732667521868129	0.010070193658919369
29	7.828307860317405E-4	0.008084104432483419
30	5.601424280387335E-4	0.006439089569361678
31	3.922508684971271E-4	0.00498667248144391
32	2.683102141978874E-4	0.0038244269560868682
33	1.7892681159145893E-4	0.002858412640401653
34	1.1611027024001798E-4	0.0021109248512007905
35	7.317260291987988E-5	0.0015198219229374255
36	4.468706377377841E-5	0.0010790485474926337
37	2.6383536981064782E-5	7.465724635012938E-4
38	1.5019146242994397E-5	5.086805732000821E-4
39	8.218612176176625E-6	3.336544830090382E-4
40	4.308122498933926E-6	2.2167179962906403E-4
41	2.154534024877653E-6	1.3657070875550126E-4
42	1.0232588256921918E-6	8.820289305777607E-5
