iteration 	 gap
0	0.9919015225137674
1	0.9996527065491672
2	0.04651431377202675
3	0.3759926303548832
4	0.32647560044825175
5	0.21626632969706006
6	0.06469125981822454
7	0.009619321101811629
8	0.018826488750500747
9	0.02079071295858459
10	0.020667769503901035
11	0.018555172335734782
12	0.016844344531378397
13	0.015535350349834331
14	0.01402276137313574
15	0.012544328639028213
16	0.011123402921774717
17	0.009785644110993696
18	0.008531729665063326
19	0.0073564897949237595
20	0.006266754243682837
21	0.005257006631719463
22	0.004327099495960551
23	0.0034700577273958366
24	0.0026832567707402166
25	0.001978547136426645
26	0.001556854661690088
27	0.001212830570071155
28	9.319384205980219E-4
29	7.010363669521791E-4
30	5.14492040453951E-4
31	3.6779895649541317E-4
32	2.5572307522669924E-4
33	1.7272660331180134E-4
34	1.1318829779849438E-4
35	7.186110017132208E-5
36	4.4127014515504825E-5
37	2.6157091307155156E-5
38	1.4932596970718137E-5
39	8.187503504952787E-6
40	4.297585163959283E-6
41	2.151262221250505E-6
42	1.0222844141205556E-6
