iteration 	 gap
0	0.9844921258856814
1	0.18027461841601633
2	2.8667580298513684E-7
3	1.083249625477567E-5
4	6.945538286173836E-6
5	4.995400167961961E-7
6	1.2924656012103242E-8
7	1.8857369748337405E-4
8	3.1929308327183215E-5
9	0.006434029485904769
10	1.1048503930632947E-6
11	2.1649638933807225E-6
12	9.486419868531826E-7
13	1.2735826678822448E-6
14	8.821123317348523E-7
15	9.657774540094977E-7
16	7.925460183688671E-7
17	7.933881511767993E-7
18	7.118347954415682E-7
19	6.4815263134399E-7
20	6.107998545834548E-7
21	5.492090956460416E-7
22	5.209054310117978E-7
23	4.676847316087418E-7
24	4.340417485426684E-7
25	3.930294721898875E-7
26	2.4765328376918916E-7
27	1.666524739318831E-7
28	9.649825527535683E-8
29	5.9230657267761444E-8
30	3.221674738096425E-8
31	1.839618701815482E-8
32	9.478894669179283E-9
33	5.016552617753689E-9
34	2.4082191796281904E-9
35	1.1684903045150463E-9
36	5.121503221516832E-10
37	2.2431534407729714E-10
38	8.763634262720643E-11
39	3.3963276635518014E-11
40	1.0736300737335114E-11
41	4.384048679639818E-12
42	7.105427357601002E-13
