source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP	Cost_centralized	Cost_DSTAP
1	2	4.5	4.5	2548.755418	2548.865739649721	7296.663312	7297.92594055318
1	4	9.0	9.0	4451.244582	4451.134260350279	8488.682339	8487.841715915949
2	3	4.5	4.5	2383.14876	2383.1557546351787	5578.261078	5578.326513047793
2	5	4.5	4.5	2165.606658	2165.7099850145414	3805.186517	3805.911931990164
3	6	4.5	4.5	2383.14876	2383.1557546351787	5578.261078	5578.326513047793
4	5	9.0	9.0	3313.628342	3313.5684722124884	2613.167628	2612.979426307185
4	7	9.0	9.0	3137.616239	3137.5657881377906	2102.403989	2102.2693498432054
5	6	4.5	4.5	2553.519311	2553.4451264005147	7351.33564	7350.481923252849
5	8	9.0	9.0	2925.71569	2925.8333308265155	1591.64035	1591.894912790191
6	9	4.5	4.5	936.6680709	936.6008810356943	137.5107074	137.47254656830566
7	8	9.0	9.0	3137.616239	3137.5657881377906	2102.403989	2102.2693498432054
8	9	9.0	9.0	4063.331929	4063.3991189643057	5897.205443	5897.594914226861
