iteration 	 pChnage
0	Infinity
1	0.2424036083176492
2	0.048831816499324644
3	0.07612933181623238
4	0.07993342848957845
5	0.044194531622468426
6	0.011789865507980703
7	0.0083191152655576
8	0.017528426352351405
9	0.021641223034670674
10	0.024546595160135586
11	0.02216630543384514
12	0.0232559827218153
13	0.02172470324960584
14	0.02136525123429108
15	0.020947567397832677
16	0.02047500879808237
17	0.019995460376169186
18	0.01950599001840118
19	0.018999743213737385
20	0.018497865804938136
21	0.017993755605657132
22	0.017501428000599287
23	0.017008280555946
24	0.016518088024726083
25	0.01584766426965207
26	0.012062489609303015
27	0.00963579646425709
28	0.007572187877784768
29	0.005847892978822332
30	0.004433430253300555
31	0.003295435138850648
32	0.002398469197803989
33	0.00170670945400117
34	0.0011854319766389444
35	8.022243902990526E-4
36	5.278862587337662E-4
37	3.3700241866937736E-4
38	2.0820016548279922E-4
39	1.2412436059858314E-4
40	7.118278077276134E-5
41	3.912556148029015E-5
42	2.0526417556650666E-5
