source 	 destination 	 fft 	 flow 	 cost(min)
1	2	4.5	1344.5996280720697	569.3273075921982
6	5	4.5	0.0	4.5
8	5	9.0	637.7680134853325	12.573589692615231
3	2	4.5	0.0	4.5
5	2	4.5	548.3281210045931	20.120891473018162
2	5	4.5	1644.747149192162	1269.0625248501924
4	5	9.0	2057.1656552315458	395.83949839231695
6	3	4.5	500.0	15.299999999999999
5	8	9.0	2418.0728175465233	747.4672695260432
2	3	4.5	1495.2161972680476	868.193617160595
7	8	9.0	1598.234716696393	149.93406925290142
9	8	9.0	1650.6165691959775	169.33877175641095
6	9	4.5	883.692465757099	109.8776106873778
8	9	9.0	266.9241034388872	9.109649062245802
3	6	4.5	1495.2161972680476	868.193617160595
5	6	4.5	1388.476268489047	646.7403438185313
2	1	4.5	652.9644026164535	35.91244642027578
4	1	9.0	951.6718789954068	26.717510433824156
9	6	4.5	1200.0	362.81808
1	4	9.0	2760.036653539794	1262.467706153849
8	7	9.0	862.2319865146674	20.938513946579437
5	4	9.0	984.803610868877	29.316658486393052
7	4	9.0	862.2319865146674	20.938513946579437
4	7	9.0	2598.2347166963923	993.3901889655028
