iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	0.08230196942855628	0.006132284648351012	0.5263811991665079	0.0419339701692055	0.0	0.0	2661.3345110738505	499.7816384933576
1	0.03704561642553017	0.0060055924891296774	0.16317417526443023	0.012818882327560633	0.0	0.0	584.011058397522	130.28418591571955
2	0.06465197372790499	0.009457272103757457	0.0021134843752861343	2.3883490546311876E-4	0.0	0.0	147.53248586084305	26.095204774407275
3	0.1438378013745023	0.030784447150418615	0.0012850896448526328	1.6195579766094153E-4	0.0	0.0	78.55151578781397	9.817388019306415
4	0.07972325581249606	0.023039724603760803	9.878925209250156E-4	1.458059562749598E-4	0.0	0.0	40.63628600012839	3.8816975134852703
5	0.03337095440338089	0.007889809550931659	9.92282919263232E-4	1.4576695767177538E-4	0.0	0.0	22.099469374414184	3.27667945120832
6	0.09969382794088233	0.022303039913733613	9.378993297559646E-4	1.4041002146733753E-4	0.0	0.0	18.719243963136933	2.1420758648713596
7	0.09129996610317903	0.019439038234155603	9.455813371630484E-4	1.3770868617021175E-4	0.0	0.0	13.011050257005081	1.6317718015070393
8	0.06497200474541387	0.014096954235238712	9.456601878525817E-4	1.4329792467894829E-4	0.0	0.0	10.415354857869943	1.2442062712826796
9	0.05139542277538567	0.011039763154505167	9.453942080099864E-4	1.4270637119241113E-4	0.0	0.0	7.824466414615927	0.9514688640844272
10	0.03881623433335335	0.008373606550499346	8.197994031888811E-4	1.255826428005181E-4	0.0	0.0	6.044201566291122	0.7279886465734189
11	0.029929162822554645	0.006454386179491678	9.790428471205814E-4	1.400782623603137E-4	0.0	0.0	4.611957051539093	0.557385478467143
12	0.022805429756317608	0.004926222458466967	9.585559481237738E-4	1.3930542956768039E-4	0.0	0.0	3.5387831635150633	0.4268500277719462
13	0.017498841866199655	0.003772641389996778	8.934664167483675E-4	1.3299453039103618E-4	0.0	0.0	2.7089922089712672	0.32695071450216673
14	0.013292366737459815	0.0028761072568794788	8.667535203130683E-4	1.3206993702178456E-4	0.0	0.0	2.076296767526401	0.2504785079022711
15	0.053280503994756145	0.010007848231438743	8.711116247468453E-4	1.296511613075014E-4	0.0	0.0	1.5647434454392624	0.19428806227967194
16	0.04070746923343904	0.007667666711100196	9.428781886526849E-4	1.3652896978628022E-4	0.0	0.0	1.2086992604658917	0.14900140887827784
17	0.03133218499579016	0.005876119439609084	9.69237467415951E-4	1.3848187626089943E-4	0.0	0.0	0.926177611257117	0.11446647268010138
