iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	3.145093472178839E-5	7.115724446338234E-6	0.0	0.5427742860385518
1	3.0146727550972585E-6	2.2922652120893616E-6	0.0	0.05503247688609891
2	5.606569278615581E-6	4.300023870307257E-8	-2.220446049250313E-16	0.01924549354514704
3	1.0322141430041398E-5	2.505647744843742E-8	0.0	0.0052111191441822635
4	6.301038043665663E-6	2.029014600779533E-8	0.0	0.0032207384241257353
5	2.462194198749046E-6	1.8959578351740447E-8	-2.220446049250313E-16	0.0021665221521554034
6	7.141507175512096E-6	1.764423651628988E-8	-2.220446049250313E-16	0.0016015233189057287
7	6.488557181993926E-6	1.6741182440327407E-8	0.0	0.0011594353769025512
8	4.6465697713937715E-6	1.714215014381182E-8	-2.220446049250313E-16	9.035495103536517E-4
9	3.6754412325867847E-6	1.6821881332340638E-8	0.0	6.831758249704611E-4
10	2.7912875801838766E-6	1.4669230274932943E-8	-2.220446049250313E-16	5.244319224477767E-4
11	2.1682505827458343E-6	1.6316460849097325E-8	0.0	4.0031790480188345E-4
12	1.6623766061485412E-6	1.5953083076780672E-8	-2.220446049250313E-16	3.065736205541958E-4
13	1.291607980236087E-6	1.5185138368956075E-8	0.0	2.345580865269481E-4
14	1.0023740047993002E-6	1.507337221706706E-8	0.0	1.7962165139850939E-4
15	3.7364486157320798E-6	1.4782052693007586E-8	-2.220446049250313E-16	1.3834084946962033E-4
16	2.8679462655833987E-6	1.5566341104999992E-8	-2.220446049250313E-16	1.0632410160471562E-4
17	2.2172780665963288E-6	1.577937347452263E-8	0.0	8.15530045430446E-5
